Country,City,Month,Day,Year,AvgTemperature
Australia,Melbourne,1,1,1995,22.83333333333333
Australia,Melbourne,1,2,1995,17.61111111111111
Australia,Melbourne,1,3,1995,20.55555555555556
Australia,Melbourne,1,4,1995,23.277777777777786
Australia,Melbourne,1,5,1995,23.111111111111107
Australia,Melbourne,1,6,1995,23.111111111111107
Australia,Melbourne,1,7,1995,19.444444444444443
Australia,Melbourne,1,8,1995,19.55555555555556
Australia,Melbourne,1,9,1995,20.33333333333333
Australia,Melbourne,1,10,1995,21.77777777777778
Australia,Melbourne,1,11,1995,21.83333333333333
Australia,Melbourne,1,12,1995,23.277777777777786
Australia,Melbourne,1,13,1995,22.33333333333333
Australia,Melbourne,1,14,1995,23.55555555555556
Australia,Melbourne,1,15,1995,23.38888888888889
Australia,Melbourne,1,16,1995,23.944444444444443
Australia,Melbourne,1,17,1995,24.5
Australia,Melbourne,1,18,1995,22.61111111111111
Australia,Melbourne,1,19,1995,22.5
Australia,Melbourne,1,20,1995,21.611111111111114
Australia,Melbourne,1,21,1995,18.38888888888889
Australia,Melbourne,1,22,1995,18.77777777777778
Australia,Melbourne,1,23,1995,18.88888888888889
Australia,Melbourne,1,24,1995,19.77777777777777
Australia,Melbourne,1,25,1995,20.72222222222222
Australia,Melbourne,1,26,1995,20.88888888888889
Australia,Melbourne,1,27,1995,21.888888888888893
Australia,Melbourne,1,28,1995,21.05555555555556
Australia,Melbourne,1,29,1995,23.000000000000004
Australia,Melbourne,1,30,1995,24.5
Australia,Melbourne,1,31,1995,20.055555555555557
Australia,Melbourne,2,1,1995,19.0
Australia,Melbourne,2,2,1995,23.33333333333333
Australia,Melbourne,2,3,1995,26.944444444444443
Australia,Melbourne,2,4,1995,22.666666666666668
Australia,Melbourne,2,5,1995,25.055555555555557
Australia,Melbourne,2,6,1995,19.944444444444446
Australia,Melbourne,2,7,1995,19.72222222222222
Australia,Melbourne,2,8,1995,21.722222222222214
Australia,Melbourne,2,9,1995,22.77777777777778
Australia,Melbourne,2,10,1995,20.83333333333333
Australia,Melbourne,2,11,1995,22.27777777777777
Australia,Melbourne,2,12,1995,22.722222222222225
Australia,Melbourne,2,13,1995,22.22222222222222
Australia,Melbourne,2,14,1995,22.83333333333333
Australia,Melbourne,2,15,1995,22.05555555555556
Australia,Melbourne,2,16,1995,21.11111111111111
Australia,Melbourne,2,17,1995,19.66666666666667
Australia,Melbourne,2,18,1995,20.33333333333333
Australia,Melbourne,2,19,1995,20.55555555555556
Australia,Melbourne,2,20,1995,20.611111111111107
Australia,Melbourne,2,21,1995,20.666666666666668
Australia,Melbourne,2,22,1995,22.77777777777778
Australia,Melbourne,2,23,1995,20.83333333333333
Australia,Melbourne,2,24,1995,20.72222222222222
Australia,Melbourne,2,25,1995,22.11111111111111
Australia,Melbourne,2,26,1995,23.277777777777786
Australia,Melbourne,2,27,1995,23.5
Australia,Melbourne,2,28,1995,22.11111111111111
Australia,Melbourne,3,1,1995,20.38888888888889
Australia,Melbourne,3,2,1995,20.222222222222225
Australia,Melbourne,3,3,1995,21.11111111111111
Australia,Melbourne,3,4,1995,19.72222222222222
Australia,Melbourne,3,5,1995,22.16666666666667
Australia,Melbourne,3,6,1995,22.61111111111111
Australia,Melbourne,3,7,1995,21.944444444444443
Australia,Melbourne,3,8,1995,23.444444444444443
Australia,Melbourne,3,9,1995,21.5
Australia,Melbourne,3,10,1995,19.5
Australia,Melbourne,3,11,1995,18.944444444444443
Australia,Melbourne,3,12,1995,22.22222222222222
Australia,Melbourne,3,13,1995,17.38888888888889
Australia,Melbourne,3,14,1995,21.666666666666668
Australia,Melbourne,3,15,1995,18.277777777777786
Australia,Melbourne,3,16,1995,18.277777777777786
Australia,Melbourne,3,17,1995,23.05555555555556
