Country,City,Month,Day,Year,AvgTemperature
Bahrain,Manama,1,1,1995,17.77777777777778
Bahrain,Manama,1,2,1995,16.555555555555557
Bahrain,Manama,1,3,1995,16.72222222222222
Bahrain,Manama,1,4,1995,16.88888888888889
Bahrain,Manama,1,5,1995,16.88888888888889
Bahrain,Manama,1,6,1995,17.166666666666668
Bahrain,Manama,1,7,1995,17.11111111111111
Bahrain,Manama,1,8,1995,16.944444444444443
Bahrain,Manama,1,9,1995,17.5
Bahrain,Manama,1,10,1995,18.05555555555556
Bahrain,Manama,1,11,1995,19.222222222222214
Bahrain,Manama,1,12,1995,19.83333333333333
Bahrain,Manama,1,13,1995,19.83333333333333
Bahrain,Manama,1,14,1995,18.77777777777778
Bahrain,Manama,1,15,1995,17.83333333333333
Bahrain,Manama,1,16,1995,18.000000000000004
Bahrain,Manama,1,17,1995,18.72222222222222
Bahrain,Manama,1,18,1995,19.27777777777778
Bahrain,Manama,1,19,1995,19.5
Bahrain,Manama,1,20,1995,18.111111111111107
Bahrain,Manama,1,21,1995,17.11111111111111
Bahrain,Manama,1,22,1995,17.166666666666668
Bahrain,Manama,1,23,1995,16.22222222222222
Bahrain,Manama,1,24,1995,16.88888888888889
Bahrain,Manama,1,25,1995,15.166666666666666
Bahrain,Manama,1,26,1995,14.61111111111111
Bahrain,Manama,1,27,1995,15.666666666666666
Bahrain,Manama,1,28,1995,16.444444444444443
Bahrain,Manama,1,29,1995,16.833333333333332
Bahrain,Manama,1,30,1995,16.444444444444443
Bahrain,Manama,1,31,1995,17.27777777777778
Bahrain,Manama,2,1,1995,18.33333333333333
Bahrain,Manama,2,2,1995,18.88888888888889
Bahrain,Manama,2,3,1995,20.500000000000004
Bahrain,Manama,2,4,1995,21.27777777777778
Bahrain,Manama,2,5,1995,22.27777777777777
Bahrain,Manama,2,6,1995,19.66666666666667
Bahrain,Manama,2,7,1995,19.944444444444446
Bahrain,Manama,2,8,1995,19.222222222222214
Bahrain,Manama,2,9,1995,17.666666666666668
Bahrain,Manama,2,10,1995,16.055555555555557
Bahrain,Manama,2,11,1995,16.0
Bahrain,Manama,2,12,1995,16.77777777777778
Bahrain,Manama,2,13,1995,17.0
Bahrain,Manama,2,14,1995,17.055555555555557
Bahrain,Manama,2,15,1995,18.277777777777786
Bahrain,Manama,2,16,1995,18.5
Bahrain,Manama,2,17,1995,18.666666666666664
Bahrain,Manama,2,18,1995,18.72222222222222
Bahrain,Manama,2,19,1995,18.55555555555556
Bahrain,Manama,2,20,1995,17.88888888888889
Bahrain,Manama,2,21,1995,17.666666666666668
Bahrain,Manama,2,22,1995,18.33333333333333
Bahrain,Manama,2,23,1995,19.77777777777777
Bahrain,Manama,2,24,1995,17.055555555555557
Bahrain,Manama,2,25,1995,17.5
Bahrain,Manama,2,26,1995,17.61111111111111
Bahrain,Manama,2,27,1995,18.77777777777778
Bahrain,Manama,2,28,1995,18.000000000000004
Bahrain,Manama,3,1,1995,17.77777777777778
Bahrain,Manama,3,2,1995,18.277777777777786
Bahrain,Manama,3,3,1995,20.27777777777778
Bahrain,Manama,3,4,1995,19.77777777777777
Bahrain,Manama,3,5,1995,19.77777777777777
Bahrain,Manama,3,6,1995,20.444444444444443
Bahrain,Manama,3,7,1995,20.27777777777778
Bahrain,Manama,3,8,1995,21.0
Bahrain,Manama,3,9,1995,21.5
Bahrain,Manama,3,10,1995,22.5
Bahrain,Manama,3,11,1995,21.83333333333333
Bahrain,Manama,3,12,1995,20.944444444444443
Bahrain,Manama,3,13,1995,18.33333333333333
Bahrain,Manama,3,14,1995,18.61111111111111
Bahrain,Manama,3,15,1995,18.72222222222222
Bahrain,Manama,3,16,1995,20.55555555555556
Bahrain,Manama,3,17,1995,21.722222222222214
Bahrain,Manama,3,18,1995,20.444444444444443
Bahrain,Manama,3,19,1995,20.33333333333333
Bahrain,Manama,3,20,1995,20.944444444444443
Bahrain,Manama,3,21,1995,20.11111111111111
Bahrain,Manama,3,22,1995,19.77777777777777
Bahrain,Manama,3,23,1995,19.944444444444446
Bahrain,Manama,3,24,1995,20.88888888888889
Bahrain,Manama,3,25,1995,22.666666666666668
Bahrain,Manama,3,26,1995,21.27777777777778
Bahrain,Manama,3,27,1995,19.388888888888893
Bahrain,Manama,3,28,1995,18.166666666666668
Bahrain,Manama,3,29,1995,19.33333333333333
Bahrain,Manama,3,30,1995,19.88888888888889
Bahrain,Manama,3,31,1995,21.5
Bahrain,Manama,4,1,1995,22.944444444444443
Bahrain,Manama,4,2,1995,22.16666666666667
Bahrain,Manama,4,3,1995,23.944444444444443
Bahrain,Manama,4,4,1995,25.72222222222222
Bahrain,Manama,4,5,1995,23.33333333333333
Bahrain,Manama,4,6,1995,19.388888888888893
Bahrain,Manama,4,7,1995,20.222222222222225
Bahrain,Manama,4,8,1995,21.166666666666664
Bahrain,Manama,4,9,1995,22.11111111111111
Bahrain,Manama,4,10,1995,22.88888888888889
Bahrain,Manama,4,11,1995,23.111111111111107
Bahrain,Manama,4,12,1995,23.05555555555556
Bahrain,Manama,4,13,1995,24.166666666666668
Bahrain,Manama,4,14,1995,26.83333333333333
Bahrain,Manama,4,15,1995,26.888888888888893
Bahrain,Manama,4,16,1995,24.166666666666668
Bahrain,Manama,4,17,1995,25.055555555555557
Bahrain,Manama,4,18,1995,25.777777777777786
Bahrain,Manama,4,19,1995,26.11111111111111
Bahrain,Manama,4,20,1995,26.722222222222214
Bahrain,Manama,4,21,1995,26.888888888888893
Bahrain,Manama,4,22,1995,28.111111111111107
Bahrain,Manama,4,23,1995,26.0
Bahrain,Manama,4,24,1995,23.55555555555556
Bahrain,Manama,4,25,1995,25.666666666666668
Bahrain,Manama,4,26,1995,25.38888888888889
Bahrain,Manama,4,27,1995,26.0
Bahrain,Manama,4,28,1995,27.22222222222222
Bahrain,Manama,4,29,1995,27.666666666666668
Bahrain,Manama,4,30,1995,28.05555555555556
Bahrain,Manama,5,1,1995,28.277777777777786
Bahrain,Manama,5,2,1995,28.83333333333333
Bahrain,Manama,5,3,1995,30.0
Bahrain,Manama,5,4,1995,30.83333333333333
Bahrain,Manama,5,5,1995,30.11111111111111
Bahrain,Manama,5,6,1995,32.388888888888886
Bahrain,Manama,5,7,1995,29.83333333333333
Bahrain,Manama,5,8,1995,29.83333333333333
Bahrain,Manama,5,9,1995,26.666666666666668
Bahrain,Manama,5,10,1995,26.22222222222222
Bahrain,Manama,5,11,1995,26.888888888888893
Bahrain,Manama,5,12,1995,27.444444444444446
Bahrain,Manama,5,13,1995,28.33333333333333
Bahrain,Manama,5,14,1995,29.166666666666668
Bahrain,Manama,5,15,1995,29.33333333333333
Bahrain,Manama,5,16,1995,28.944444444444443
Bahrain,Manama,5,17,1995,30.61111111111111
Bahrain,Manama,5,18,1995,30.88888888888889
Bahrain,Manama,5,19,1995,31.166666666666668
Bahrain,Manama,5,20,1995,31.444444444444443
Bahrain,Manama,5,21,1995,31.77777777777778
Bahrain,Manama,5,22,1995,32.05555555555556
Bahrain,Manama,5,23,1995,30.88888888888889
Bahrain,Manama,5,24,1995,30.444444444444443
Bahrain,Manama,5,25,1995,31.33333333333333
Bahrain,Manama,5,26,1995,31.11111111111111
Bahrain,Manama,5,27,1995,31.61111111111111
Bahrain,Manama,5,28,1995,33.22222222222222
Bahrain,Manama,5,29,1995,31.77777777777778
Bahrain,Manama,5,30,1995,32.666666666666664
Bahrain,Manama,5,31,1995,31.77777777777778
Bahrain,Manama,6,1,1995,33.0
Bahrain,Manama,6,2,1995,33.888888888888886
Bahrain,Manama,6,3,1995,32.666666666666664
Bahrain,Manama,6,4,1995,32.166666666666664
Bahrain,Manama,6,5,1995,32.77777777777778
Bahrain,Manama,6,6,1995,32.833333333333336
Bahrain,Manama,6,7,1995,33.666666666666664
Bahrain,Manama,6,8,1995,34.166666666666664
Bahrain,Manama,6,9,1995,34.5
Bahrain,Manama,6,10,1995,34.94444444444444
Bahrain,Manama,6,11,1995,34.05555555555556
Bahrain,Manama,6,12,1995,33.666666666666664
Bahrain,Manama,6,13,1995,33.27777777777778
Bahrain,Manama,6,14,1995,32.611111111111114
Bahrain,Manama,6,15,1995,32.666666666666664
Bahrain,Manama,6,16,1995,33.166666666666664
Bahrain,Manama,6,17,1995,33.833333333333336
Bahrain,Manama,6,18,1995,34.55555555555556
Bahrain,Manama,6,19,1995,33.72222222222222
Bahrain,Manama,6,20,1995,33.166666666666664
Bahrain,Manama,6,21,1995,32.27777777777778
Bahrain,Manama,6,22,1995,33.72222222222222
Bahrain,Manama,6,23,1995,33.333333333333336
Bahrain,Manama,6,24,1995,32.388888888888886
Bahrain,Manama,6,25,1995,32.611111111111114
Bahrain,Manama,6,26,1995,32.666666666666664
Bahrain,Manama,6,27,1995,33.44444444444444
Bahrain,Manama,6,28,1995,34.44444444444444
Bahrain,Manama,6,29,1995,34.611111111111114
Bahrain,Manama,6,30,1995,34.72222222222222
Bahrain,Manama,7,1,1995,33.77777777777778
Bahrain,Manama,7,2,1995,33.5
Bahrain,Manama,7,3,1995,32.0
Bahrain,Manama,7,4,1995,31.77777777777778
Bahrain,Manama,7,5,1995,33.55555555555556
Bahrain,Manama,7,6,1995,33.72222222222222
Bahrain,Manama,7,7,1995,34.55555555555556
Bahrain,Manama,7,8,1995,35.333333333333336
Bahrain,Manama,7,9,1995,34.55555555555556
Bahrain,Manama,7,10,1995,34.5
Bahrain,Manama,7,11,1995,34.611111111111114
Bahrain,Manama,7,12,1995,34.166666666666664
Bahrain,Manama,7,13,1995,34.44444444444444
