Country,City,Month,Day,Year,AvgTemperature
Bangladesh,Dhaka,1,1,1995,18.22222222222222
Bangladesh,Dhaka,1,2,1995,14.666666666666666
Bangladesh,Dhaka,1,3,1995,-72.77777777777777
Bangladesh,Dhaka,1,4,1995,15.333333333333334
Bangladesh,Dhaka,1,5,1995,18.277777777777786
Bangladesh,Dhaka,1,6,1995,-72.77777777777777
Bangladesh,Dhaka,1,7,1995,22.16666666666667
Bangladesh,Dhaka,1,8,1995,21.83333333333333
Bangladesh,Dhaka,1,9,1995,17.944444444444443
Bangladesh,Dhaka,1,10,1995,19.222222222222214
Bangladesh,Dhaka,1,11,1995,21.444444444444443
Bangladesh,Dhaka,1,12,1995,18.833333333333336
Bangladesh,Dhaka,1,13,1995,19.444444444444443
Bangladesh,Dhaka,1,14,1995,15.77777777777778
Bangladesh,Dhaka,1,15,1995,20.0
Bangladesh,Dhaka,1,16,1995,19.27777777777778
Bangladesh,Dhaka,1,17,1995,-72.77777777777777
Bangladesh,Dhaka,1,18,1995,18.61111111111111
Bangladesh,Dhaka,1,19,1995,19.0
Bangladesh,Dhaka,1,20,1995,-72.77777777777777
Bangladesh,Dhaka,1,21,1995,16.5
Bangladesh,Dhaka,1,22,1995,16.61111111111111
Bangladesh,Dhaka,1,23,1995,-72.77777777777777
Bangladesh,Dhaka,1,24,1995,-72.77777777777777
Bangladesh,Dhaka,1,25,1995,13.722222222222223
Bangladesh,Dhaka,1,26,1995,18.88888888888889
Bangladesh,Dhaka,1,27,1995,16.88888888888889
Bangladesh,Dhaka,1,28,1995,-72.77777777777777
Bangladesh,Dhaka,1,29,1995,-72.77777777777777
Bangladesh,Dhaka,1,30,1995,20.777777777777786
Bangladesh,Dhaka,1,31,1995,-72.77777777777777
Bangladesh,Dhaka,2,1,1995,22.33333333333333
Bangladesh,Dhaka,2,2,1995,20.55555555555556
Bangladesh,Dhaka,2,3,1995,-72.77777777777777
Bangladesh,Dhaka,2,4,1995,19.61111111111111
Bangladesh,Dhaka,2,5,1995,19.444444444444443
Bangladesh,Dhaka,2,6,1995,18.22222222222222
Bangladesh,Dhaka,2,7,1995,18.277777777777786
Bangladesh,Dhaka,2,8,1995,-72.77777777777777
Bangladesh,Dhaka,2,9,1995,22.5
Bangladesh,Dhaka,2,10,1995,22.22222222222222
Bangladesh,Dhaka,2,11,1995,24.388888888888893
Bangladesh,Dhaka,2,12,1995,23.277777777777786
Bangladesh,Dhaka,2,13,1995,-72.77777777777777
Bangladesh,Dhaka,2,14,1995,26.11111111111111
Bangladesh,Dhaka,2,15,1995,24.77777777777777
Bangladesh,Dhaka,2,16,1995,19.72222222222222
Bangladesh,Dhaka,2,17,1995,20.27777777777778
Bangladesh,Dhaka,2,18,1995,24.388888888888893
Bangladesh,Dhaka,2,19,1995,21.611111111111114
Bangladesh,Dhaka,2,20,1995,-72.77777777777777
Bangladesh,Dhaka,2,21,1995,24.111111111111114
Bangladesh,Dhaka,2,22,1995,-72.77777777777777
Bangladesh,Dhaka,2,23,1995,-72.77777777777777
Bangladesh,Dhaka,2,24,1995,-72.77777777777777
Bangladesh,Dhaka,2,25,1995,19.388888888888893
Bangladesh,Dhaka,2,26,1995,23.000000000000004
Bangladesh,Dhaka,2,27,1995,22.77777777777778
Bangladesh,Dhaka,2,28,1995,-72.77777777777777
Bangladesh,Dhaka,3,1,1995,-72.77777777777777
Bangladesh,Dhaka,3,2,1995,23.38888888888889
Bangladesh,Dhaka,3,3,1995,23.444444444444443
Bangladesh,Dhaka,3,4,1995,-72.77777777777777
Bangladesh,Dhaka,3,5,1995,21.11111111111111
Bangladesh,Dhaka,3,6,1995,-72.77777777777777
Bangladesh,Dhaka,3,7,1995,23.38888888888889
Bangladesh,Dhaka,3,8,1995,26.11111111111111
Bangladesh,Dhaka,3,9,1995,24.72222222222222
Bangladesh,Dhaka,3,10,1995,24.166666666666668
Bangladesh,Dhaka,3,11,1995,-72.77777777777777
Bangladesh,Dhaka,3,12,1995,24.05555555555556
Bangladesh,Dhaka,3,13,1995,-72.77777777777777
Bangladesh,Dhaka,3,14,1995,23.000000000000004
Bangladesh,Dhaka,3,15,1995,27.5
Bangladesh,Dhaka,3,16,1995,26.55555555555556
Bangladesh,Dhaka,3,17,1995,27.38888888888889
Bangladesh,Dhaka,3,18,1995,29.5
Bangladesh,Dhaka,3,19,1995,-72.77777777777777
Bangladesh,Dhaka,3,20,1995,27.61111111111111
Bangladesh,Dhaka,3,21,1995,30.61111111111111
Bangladesh,Dhaka,3,22,1995,33.0
Bangladesh,Dhaka,3,23,1995,30.11111111111111
Bangladesh,Dhaka,3,24,1995,29.5
Bangladesh,Dhaka,3,25,1995,31.38888888888889
Bangladesh,Dhaka,3,26,1995,31.444444444444443
Bangladesh,Dhaka,3,27,1995,26.55555555555556
Bangladesh,Dhaka,3,28,1995,28.666666666666668
Bangladesh,Dhaka,3,29,1995,-72.77777777777777
Bangladesh,Dhaka,3,30,1995,29.444444444444443
Bangladesh,Dhaka,3,31,1995,30.444444444444443
Bangladesh,Dhaka,4,1,1995,30.22222222222222
Bangladesh,Dhaka,4,2,1995,30.166666666666668
Bangladesh,Dhaka,4,3,1995,29.55555555555556
Bangladesh,Dhaka,4,4,1995,29.83333333333333
Bangladesh,Dhaka,4,5,1995,31.11111111111111
Bangladesh,Dhaka,4,6,1995,29.666666666666668
Bangladesh,Dhaka,4,7,1995,30.22222222222222
Bangladesh,Dhaka,4,8,1995,-72.77777777777777
Bangladesh,Dhaka,4,9,1995,-72.77777777777777
Bangladesh,Dhaka,4,10,1995,30.05555555555556
Bangladesh,Dhaka,4,11,1995,29.55555555555556
Bangladesh,Dhaka,4,12,1995,28.72222222222222
Bangladesh,Dhaka,4,13,1995,28.83333333333333
Bangladesh,Dhaka,4,14,1995,-72.77777777777777
Bangladesh,Dhaka,4,15,1995,27.77777777777778
Bangladesh,Dhaka,4,16,1995,29.38888888888889
Bangladesh,Dhaka,4,17,1995,29.944444444444443
Bangladesh,Dhaka,4,18,1995,-72.77777777777777
Bangladesh,Dhaka,4,19,1995,-72.77777777777777
Bangladesh,Dhaka,4,20,1995,32.666666666666664
Bangladesh,Dhaka,4,21,1995,32.388888888888886
Bangladesh,Dhaka,4,22,1995,-72.77777777777777
Bangladesh,Dhaka,4,23,1995,32.833333333333336
Bangladesh,Dhaka,4,24,1995,31.11111111111111
Bangladesh,Dhaka,4,25,1995,30.944444444444443
Bangladesh,Dhaka,4,26,1995,32.833333333333336
Bangladesh,Dhaka,4,27,1995,32.166666666666664
Bangladesh,Dhaka,4,28,1995,31.944444444444443
Bangladesh,Dhaka,4,29,1995,31.944444444444443
Bangladesh,Dhaka,4,30,1995,32.77777777777778
Bangladesh,Dhaka,5,1,1995,-72.77777777777777
Bangladesh,Dhaka,5,2,1995,32.666666666666664
Bangladesh,Dhaka,5,3,1995,31.0
Bangladesh,Dhaka,5,4,1995,32.166666666666664
Bangladesh,Dhaka,5,5,1995,28.83333333333333
Bangladesh,Dhaka,5,6,1995,30.55555555555556
Bangladesh,Dhaka,5,7,1995,31.444444444444443
Bangladesh,Dhaka,5,8,1995,29.83333333333333
Bangladesh,Dhaka,5,9,1995,30.22222222222222
Bangladesh,Dhaka,5,10,1995,29.72222222222222
Bangladesh,Dhaka,5,11,1995,30.944444444444443
Bangladesh,Dhaka,5,12,1995,29.83333333333333
Bangladesh,Dhaka,5,13,1995,31.55555555555556
Bangladesh,Dhaka,5,14,1995,-72.77777777777777
Bangladesh,Dhaka,5,15,1995,26.944444444444443
Bangladesh,Dhaka,5,16,1995,26.55555555555556
Bangladesh,Dhaka,5,17,1995,-72.77777777777777
Bangladesh,Dhaka,5,18,1995,29.944444444444443
Bangladesh,Dhaka,5,19,1995,29.72222222222222
Bangladesh,Dhaka,5,20,1995,29.77777777777778
Bangladesh,Dhaka,5,21,1995,-72.77777777777777
Bangladesh,Dhaka,5,22,1995,-72.77777777777777
Bangladesh,Dhaka,5,23,1995,30.27777777777778
Bangladesh,Dhaka,5,24,1995,31.166666666666668
Bangladesh,Dhaka,5,25,1995,30.166666666666668
Bangladesh,Dhaka,5,26,1995,30.5
Bangladesh,Dhaka,5,27,1995,30.83333333333333
Bangladesh,Dhaka,5,28,1995,31.27777777777778
Bangladesh,Dhaka,5,29,1995,31.55555555555556
