Country,City,Month,Day,Year,AvgTemperature
Brazil,Sao Paulo,1,1,1995,22.11111111111111
Brazil,Sao Paulo,1,2,1995,23.05555555555556
Brazil,Sao Paulo,1,3,1995,22.61111111111111
Brazil,Sao Paulo,1,4,1995,22.61111111111111
Brazil,Sao Paulo,1,5,1995,24.05555555555556
Brazil,Sao Paulo,1,6,1995,25.777777777777786
Brazil,Sao Paulo,1,7,1995,26.22222222222222
Brazil,Sao Paulo,1,8,1995,23.72222222222222
Brazil,Sao Paulo,1,9,1995,24.166666666666668
Brazil,Sao Paulo,1,10,1995,25.72222222222222
Brazil,Sao Paulo,1,11,1995,22.88888888888889
Brazil,Sao Paulo,1,12,1995,22.27777777777777
Brazil,Sao Paulo,1,13,1995,23.166666666666668
Brazil,Sao Paulo,1,14,1995,24.27777777777778
Brazil,Sao Paulo,1,15,1995,25.777777777777786
Brazil,Sao Paulo,1,16,1995,28.166666666666668
Brazil,Sao Paulo,1,17,1995,27.5
Brazil,Sao Paulo,1,18,1995,23.72222222222222
Brazil,Sao Paulo,1,19,1995,24.27777777777778
Brazil,Sao Paulo,1,20,1995,23.77777777777778
Brazil,Sao Paulo,1,21,1995,23.77777777777778
Brazil,Sao Paulo,1,22,1995,21.77777777777778
Brazil,Sao Paulo,1,23,1995,21.444444444444443
Brazil,Sao Paulo,1,24,1995,22.666666666666668
Brazil,Sao Paulo,1,25,1995,24.72222222222222
Brazil,Sao Paulo,1,26,1995,25.666666666666668
Brazil,Sao Paulo,1,27,1995,24.72222222222222
Brazil,Sao Paulo,1,28,1995,22.16666666666667
Brazil,Sao Paulo,1,29,1995,22.0
Brazil,Sao Paulo,1,30,1995,22.05555555555556
Brazil,Sao Paulo,1,31,1995,22.22222222222222
Brazil,Sao Paulo,2,1,1995,22.88888888888889
Brazil,Sao Paulo,2,2,1995,23.72222222222222
Brazil,Sao Paulo,2,3,1995,20.83333333333333
Brazil,Sao Paulo,2,4,1995,19.88888888888889
Brazil,Sao Paulo,2,5,1995,20.72222222222222
Brazil,Sao Paulo,2,6,1995,19.72222222222222
Brazil,Sao Paulo,2,7,1995,18.38888888888889
Brazil,Sao Paulo,2,8,1995,19.388888888888893
Brazil,Sao Paulo,2,9,1995,20.777777777777786
Brazil,Sao Paulo,2,10,1995,22.33333333333333
Brazil,Sao Paulo,2,11,1995,21.83333333333333
Brazil,Sao Paulo,2,12,1995,21.166666666666664
