Country,City,Month,Day,Year,AvgTemperature
Burundi,Bujumbura,1,1,1995,-72.77777777777777
Burundi,Bujumbura,1,2,1995,-72.77777777777777
Burundi,Bujumbura,1,3,1995,-72.77777777777777
Burundi,Bujumbura,1,4,1995,25.166666666666668
Burundi,Bujumbura,1,5,1995,26.0
Burundi,Bujumbura,1,6,1995,26.27777777777778
Burundi,Bujumbura,1,7,1995,24.72222222222222
Burundi,Bujumbura,1,8,1995,25.27777777777778
Burundi,Bujumbura,1,9,1995,27.444444444444446
Burundi,Bujumbura,1,10,1995,27.666666666666668
Burundi,Bujumbura,1,11,1995,25.222222222222225
Burundi,Bujumbura,1,12,1995,24.27777777777778
Burundi,Bujumbura,1,13,1995,-72.77777777777777
Burundi,Bujumbura,1,14,1995,22.666666666666668
Burundi,Bujumbura,1,15,1995,-72.77777777777777
Burundi,Bujumbura,1,16,1995,26.666666666666668
Burundi,Bujumbura,1,17,1995,27.77777777777778
Burundi,Bujumbura,1,18,1995,27.722222222222225
Burundi,Bujumbura,1,19,1995,26.22222222222222
Burundi,Bujumbura,1,20,1995,30.0
Burundi,Bujumbura,1,21,1995,28.166666666666668
Burundi,Bujumbura,1,22,1995,27.27777777777777
Burundi,Bujumbura,1,23,1995,24.77777777777777
Burundi,Bujumbura,1,24,1995,25.0
Burundi,Bujumbura,1,25,1995,-72.77777777777777
Burundi,Bujumbura,1,26,1995,27.666666666666668
Burundi,Bujumbura,1,27,1995,24.222222222222214
Burundi,Bujumbura,1,28,1995,-72.77777777777777
Burundi,Bujumbura,1,29,1995,-72.77777777777777
Burundi,Bujumbura,1,30,1995,-72.77777777777777
Burundi,Bujumbura,1,31,1995,25.500000000000004
Burundi,Bujumbura,2,1,1995,-72.77777777777777
Burundi,Bujumbura,2,2,1995,-72.77777777777777
Burundi,Bujumbura,2,3,1995,27.666666666666668
Burundi,Bujumbura,2,4,1995,-72.77777777777777
Burundi,Bujumbura,2,5,1995,29.77777777777778
Burundi,Bujumbura,2,6,1995,31.72222222222222
Burundi,Bujumbura,2,7,1995,27.61111111111111
Burundi,Bujumbura,2,8,1995,26.05555555555556
