Country,City,Month,Day,Year,AvgTemperature
Canada,Winnipeg,1,1,1995,-24.0
Canada,Winnipeg,1,2,1995,-15.944444444444445
Canada,Winnipeg,1,3,1995,-25.444444444444443
Canada,Winnipeg,1,4,1995,-24.38888888888889
Canada,Winnipeg,1,5,1995,-14.88888888888889
Canada,Winnipeg,1,6,1995,-19.666666666666668
Canada,Winnipeg,1,7,1995,-20.72222222222222
Canada,Winnipeg,1,8,1995,-20.72222222222222
Canada,Winnipeg,1,9,1995,-27.33333333333333
Canada,Winnipeg,1,10,1995,-15.22222222222222
Canada,Winnipeg,1,11,1995,-8.055555555555555
Canada,Winnipeg,1,12,1995,-7.555555555555555
Canada,Winnipeg,1,13,1995,-10.444444444444445
Canada,Winnipeg,1,14,1995,-13.88888888888889
Canada,Winnipeg,1,15,1995,-20.77777777777778
Canada,Winnipeg,1,16,1995,-9.11111111111111
Canada,Winnipeg,1,17,1995,-2.8888888888888884
Canada,Winnipeg,1,18,1995,-10.833333333333334
Canada,Winnipeg,1,19,1995,-11.27777777777778
Canada,Winnipeg,1,20,1995,-11.055555555555555
Canada,Winnipeg,1,21,1995,-14.555555555555555
Canada,Winnipeg,1,22,1995,-26.61111111111111
Canada,Winnipeg,1,23,1995,-28.0
Canada,Winnipeg,1,24,1995,-20.5
Canada,Winnipeg,1,25,1995,-19.33333333333333
Canada,Winnipeg,1,26,1995,-17.055555555555557
Canada,Winnipeg,1,27,1995,-16.27777777777778
Canada,Winnipeg,1,28,1995,-8.944444444444445
Canada,Winnipeg,1,29,1995,-12.666666666666666
Canada,Winnipeg,1,30,1995,-10.555555555555555
Canada,Winnipeg,1,31,1995,-0.3888888888888885
Canada,Winnipeg,2,1,1995,-11.27777777777778
Canada,Winnipeg,2,2,1995,-14.72222222222222
Canada,Winnipeg,2,3,1995,-6.777777777777778
Canada,Winnipeg,2,4,1995,-17.72222222222222
Canada,Winnipeg,2,5,1995,-23.166666666666668
Canada,Winnipeg,2,6,1995,-15.555555555555555
Canada,Winnipeg,2,7,1995,-17.38888888888889
Canada,Winnipeg,2,8,1995,-13.27777777777778
Canada,Winnipeg,2,9,1995,-9.0
Canada,Winnipeg,2,10,1995,-20.0
Canada,Winnipeg,2,11,1995,-24.33333333333333
Canada,Winnipeg,2,12,1995,-21.38888888888889
Canada,Winnipeg,2,13,1995,-23.72222222222222
Canada,Winnipeg,2,14,1995,-21.61111111111111
Canada,Winnipeg,2,15,1995,-21.77777777777778
Canada,Winnipeg,2,16,1995,-21.11111111111111
Canada,Winnipeg,2,17,1995,-19.61111111111111
Canada,Winnipeg,2,18,1995,-10.055555555555555
Canada,Winnipeg,2,19,1995,-13.666666666666666
Canada,Winnipeg,2,20,1995,-10.27777777777778
Canada,Winnipeg,2,21,1995,-10.11111111111111
Canada,Winnipeg,2,22,1995,-4.277777777777778
Canada,Winnipeg,2,23,1995,-5.555555555555555
Canada,Winnipeg,2,24,1995,-9.666666666666666
Canada,Winnipeg,2,25,1995,-13.444444444444445
Canada,Winnipeg,2,26,1995,-10.11111111111111
Canada,Winnipeg,2,27,1995,-17.944444444444443
Canada,Winnipeg,2,28,1995,-25.666666666666668
Canada,Winnipeg,3,1,1995,-24.944444444444443
Canada,Winnipeg,3,2,1995,-15.11111111111111
Canada,Winnipeg,3,3,1995,-12.38888888888889
Canada,Winnipeg,3,4,1995,-26.72222222222222
Canada,Winnipeg,3,5,1995,-22.55555555555556
Canada,Winnipeg,3,6,1995,-18.444444444444443
Canada,Winnipeg,3,7,1995,-18.944444444444443
Canada,Winnipeg,3,8,1995,-24.11111111111111
Canada,Winnipeg,3,9,1995,-15.666666666666666
Canada,Winnipeg,3,10,1995,-5.833333333333333
Canada,Winnipeg,3,11,1995,-0.2777777777777778
Canada,Winnipeg,3,12,1995,3.277777777777777
Canada,Winnipeg,3,13,1995,4.500000000000001
Canada,Winnipeg,3,14,1995,-0.2777777777777778
Canada,Winnipeg,3,15,1995,-5.444444444444445
Canada,Winnipeg,3,16,1995,-2.055555555555556
Canada,Winnipeg,3,17,1995,3.055555555555556
Canada,Winnipeg,3,18,1995,3.277777777777777
Canada,Winnipeg,3,19,1995,-0.5555555555555556
Canada,Winnipeg,3,20,1995,0.6111111111111119
Canada,Winnipeg,3,21,1995,1.9444444444444444
Canada,Winnipeg,3,22,1995,2.666666666666665
Canada,Winnipeg,3,23,1995,2.000000000000001
Canada,Winnipeg,3,24,1995,4.555555555555557
Canada,Winnipeg,3,25,1995,5.1111111111111125
Canada,Winnipeg,3,26,1995,3.111111111111112
Canada,Winnipeg,3,27,1995,3.2222222222222205
Canada,Winnipeg,3,28,1995,-0.2222222222222214
Canada,Winnipeg,3,29,1995,-2.666666666666667
Canada,Winnipeg,3,30,1995,-2.6111111111111107
Canada,Winnipeg,3,31,1995,-1.0555555555555547
Canada,Winnipeg,4,1,1995,-1.3888888888888888
Canada,Winnipeg,4,2,1995,1.1111111111111112
Canada,Winnipeg,4,3,1995,-9.055555555555555
Canada,Winnipeg,4,4,1995,-13.72222222222222
Canada,Winnipeg,4,5,1995,-7.777777777777778
Canada,Winnipeg,4,6,1995,-8.777777777777779
Canada,Winnipeg,4,7,1995,-2.833333333333334
Canada,Winnipeg,4,8,1995,-8.222222222222221
Canada,Winnipeg,4,9,1995,-6.277777777777778
Canada,Winnipeg,4,10,1995,-2.055555555555556
Canada,Winnipeg,4,11,1995,0.8888888888888897
Canada,Winnipeg,4,12,1995,3.6666666666666674
Canada,Winnipeg,4,13,1995,4.166666666666667
Canada,Winnipeg,4,14,1995,6.944444444444445
Canada,Winnipeg,4,15,1995,7.333333333333335
Canada,Winnipeg,4,16,1995,3.555555555555555
Canada,Winnipeg,4,17,1995,3.111111111111112
Canada,Winnipeg,4,18,1995,4.111111111111111
Canada,Winnipeg,4,19,1995,2.555555555555556
Canada,Winnipeg,4,20,1995,6.888888888888888
Canada,Winnipeg,4,21,1995,4.166666666666667
Canada,Winnipeg,4,22,1995,4.500000000000001
Canada,Winnipeg,4,23,1995,6.0555555555555545
Canada,Winnipeg,4,24,1995,2.833333333333334
Canada,Winnipeg,4,25,1995,1.6111111111111105
Canada,Winnipeg,4,26,1995,0.166666666666665
Canada,Winnipeg,4,27,1995,-0.2777777777777778
Canada,Winnipeg,4,28,1995,2.2777777777777786
Canada,Winnipeg,4,29,1995,6.277777777777776
Canada,Winnipeg,4,30,1995,5.555555555555555
Canada,Winnipeg,5,1,1995,6.0555555555555545
Canada,Winnipeg,5,2,1995,6.833333333333332
Canada,Winnipeg,5,3,1995,9.611111111111107
Canada,Winnipeg,5,4,1995,6.277777777777776
Canada,Winnipeg,5,5,1995,6.111111111111111
Canada,Winnipeg,5,6,1995,9.944444444444445
Canada,Winnipeg,5,7,1995,13.777777777777777
Canada,Winnipeg,5,8,1995,15.0
Canada,Winnipeg,5,9,1995,13.722222222222223
Canada,Winnipeg,5,10,1995,13.055555555555555
Canada,Winnipeg,5,11,1995,12.5
Canada,Winnipeg,5,12,1995,3.777777777777776
Canada,Winnipeg,5,13,1995,3.111111111111112
Canada,Winnipeg,5,14,1995,6.333333333333332
Canada,Winnipeg,5,15,1995,3.2222222222222205
Canada,Winnipeg,5,16,1995,8.555555555555555
Canada,Winnipeg,5,17,1995,8.666666666666666
Canada,Winnipeg,5,18,1995,15.555555555555555
Canada,Winnipeg,5,19,1995,12.944444444444445
Canada,Winnipeg,5,20,1995,9.11111111111111
Canada,Winnipeg,5,21,1995,7.611111111111112
Canada,Winnipeg,5,22,1995,8.555555555555555
Canada,Winnipeg,5,23,1995,8.277777777777779
Canada,Winnipeg,5,24,1995,6.833333333333332
Canada,Winnipeg,5,25,1995,10.5
Canada,Winnipeg,5,26,1995,13.833333333333334
Canada,Winnipeg,5,27,1995,15.055555555555555
Canada,Winnipeg,5,28,1995,15.944444444444445
Canada,Winnipeg,5,29,1995,19.55555555555556
Canada,Winnipeg,5,30,1995,24.388888888888893
Canada,Winnipeg,5,31,1995,25.11111111111111
Canada,Winnipeg,6,1,1995,21.22222222222222
Canada,Winnipeg,6,2,1995,18.88888888888889
Canada,Winnipeg,6,3,1995,21.05555555555556
Canada,Winnipeg,6,4,1995,22.61111111111111
Canada,Winnipeg,6,5,1995,23.666666666666664
Canada,Winnipeg,6,6,1995,20.222222222222225
Canada,Winnipeg,6,7,1995,9.555555555555555
Canada,Winnipeg,6,8,1995,9.77777777777778
Canada,Winnipeg,6,9,1995,15.5
Canada,Winnipeg,6,10,1995,14.38888888888889
Canada,Winnipeg,6,11,1995,14.944444444444445
Canada,Winnipeg,6,12,1995,19.27777777777778
Canada,Winnipeg,6,13,1995,22.61111111111111
Canada,Winnipeg,6,14,1995,22.88888888888889
Canada,Winnipeg,6,15,1995,25.0
Canada,Winnipeg,6,16,1995,28.22222222222222
Canada,Winnipeg,6,17,1995,30.22222222222222
Canada,Winnipeg,6,18,1995,30.33333333333333
Canada,Winnipeg,6,19,1995,27.27777777777777
Canada,Winnipeg,6,20,1995,26.888888888888893
Canada,Winnipeg,6,21,1995,22.61111111111111
Canada,Winnipeg,6,22,1995,23.5
Canada,Winnipeg,6,23,1995,20.500000000000004
Canada,Winnipeg,6,24,1995,17.333333333333332
Canada,Winnipeg,6,25,1995,16.88888888888889
Canada,Winnipeg,6,26,1995,18.33333333333333
Canada,Winnipeg,6,27,1995,21.22222222222222
Canada,Winnipeg,6,28,1995,22.33333333333333
Canada,Winnipeg,6,29,1995,16.22222222222222
Canada,Winnipeg,6,30,1995,13.0
Canada,Winnipeg,7,1,1995,14.666666666666666
Canada,Winnipeg,7,2,1995,17.72222222222222
Canada,Winnipeg,7,3,1995,18.77777777777778
Canada,Winnipeg,7,4,1995,18.666666666666664
Canada,Winnipeg,7,5,1995,15.944444444444445
Canada,Winnipeg,7,6,1995,16.5
Canada,Winnipeg,7,7,1995,17.555555555555557
Canada,Winnipeg,7,8,1995,20.83333333333333
Canada,Winnipeg,7,9,1995,21.0
Canada,Winnipeg,7,10,1995,21.666666666666668
Canada,Winnipeg,7,11,1995,22.83333333333333
Canada,Winnipeg,7,12,1995,27.0
Canada,Winnipeg,7,13,1995,24.61111111111111
Canada,Winnipeg,7,14,1995,21.444444444444443
Canada,Winnipeg,7,15,1995,20.222222222222225
Canada,Winnipeg,7,16,1995,19.27777777777778
Canada,Winnipeg,7,17,1995,18.88888888888889
Canada,Winnipeg,7,18,1995,18.77777777777778
Canada,Winnipeg,7,19,1995,19.05555555555556
Canada,Winnipeg,7,20,1995,18.77777777777778
Canada,Winnipeg,7,21,1995,20.72222222222222
Canada,Winnipeg,7,22,1995,17.77777777777778
Canada,Winnipeg,7,23,1995,21.77777777777778
Canada,Winnipeg,7,24,1995,19.61111111111111
Canada,Winnipeg,7,25,1995,17.555555555555557
Canada,Winnipeg,7,26,1995,20.55555555555556
Canada,Winnipeg,7,27,1995,22.444444444444446
Canada,Winnipeg,7,28,1995,21.444444444444443
Canada,Winnipeg,7,29,1995,19.111111111111114
Canada,Winnipeg,7,30,1995,24.88888888888889
Canada,Winnipeg,7,31,1995,17.72222222222222
Canada,Winnipeg,8,1,1995,19.61111111111111
Canada,Winnipeg,8,2,1995,22.16666666666667
Canada,Winnipeg,8,3,1995,18.166666666666668
Canada,Winnipeg,8,4,1995,18.61111111111111
Canada,Winnipeg,8,5,1995,22.5
Canada,Winnipeg,8,6,1995,24.388888888888893
Canada,Winnipeg,8,7,1995,25.55555555555556
Canada,Winnipeg,8,8,1995,25.444444444444443
Canada,Winnipeg,8,9,1995,20.55555555555556
Canada,Winnipeg,8,10,1995,18.55555555555556
Canada,Winnipeg,8,11,1995,16.333333333333332
Canada,Winnipeg,8,12,1995,17.72222222222222
Canada,Winnipeg,8,13,1995,20.55555555555556
Canada,Winnipeg,8,14,1995,17.77777777777778
Canada,Winnipeg,8,15,1995,21.0
Canada,Winnipeg,8,16,1995,24.77777777777777
Canada,Winnipeg,8,17,1995,25.88888888888889
Canada,Winnipeg,8,18,1995,23.77777777777778
Canada,Winnipeg,8,19,1995,18.33333333333333
Canada,Winnipeg,8,20,1995,20.33333333333333
Canada,Winnipeg,8,21,1995,17.055555555555557
Canada,Winnipeg,8,22,1995,20.222222222222225
Canada,Winnipeg,8,23,1995,15.833333333333334
Canada,Winnipeg,8,24,1995,17.333333333333332
Canada,Winnipeg,8,25,1995,17.38888888888889
Canada,Winnipeg,8,26,1995,16.77777777777778
Canada,Winnipeg,8,27,1995,19.66666666666667
Canada,Winnipeg,8,28,1995,17.5
Canada,Winnipeg,8,29,1995,19.0
Canada,Winnipeg,8,30,1995,21.22222222222222
Canada,Winnipeg,8,31,1995,14.77777777777778
Canada,Winnipeg,9,1,1995,17.77777777777778
Canada,Winnipeg,9,2,1995,18.111111111111107
Canada,Winnipeg,9,3,1995,16.61111111111111
Canada,Winnipeg,9,4,1995,21.27777777777778
Canada,Winnipeg,9,5,1995,16.5
Canada,Winnipeg,9,6,1995,17.22222222222222
Canada,Winnipeg,9,7,1995,8.277777777777779
Canada,Winnipeg,9,8,1995,10.666666666666668
Canada,Winnipeg,9,9,1995,9.77777777777778
Canada,Winnipeg,9,10,1995,14.833333333333334
Canada,Winnipeg,9,11,1995,18.22222222222222
Canada,Winnipeg,9,12,1995,20.88888888888889
Canada,Winnipeg,9,13,1995,16.11111111111111
Canada,Winnipeg,9,14,1995,9.72222222222222
Canada,Winnipeg,9,15,1995,16.22222222222222
Canada,Winnipeg,9,16,1995,14.38888888888889
Canada,Winnipeg,9,17,1995,8.555555555555555
Canada,Winnipeg,9,18,1995,7.277777777777778
Canada,Winnipeg,9,19,1995,3.777777777777776
Canada,Winnipeg,9,20,1995,3.1666666666666683
Canada,Winnipeg,9,21,1995,2.6111111111111125
Canada,Winnipeg,9,22,1995,3.777777777777776
Canada,Winnipeg,9,23,1995,6.333333333333332
Canada,Winnipeg,9,24,1995,10.61111111111111
Canada,Winnipeg,9,25,1995,13.166666666666668
Canada,Winnipeg,9,26,1995,11.11111111111111
Canada,Winnipeg,9,27,1995,14.333333333333334
Canada,Winnipeg,9,28,1995,17.22222222222222
Canada,Winnipeg,9,29,1995,14.944444444444445
Canada,Winnipeg,9,30,1995,11.500000000000002
Canada,Winnipeg,10,1,1995,9.000000000000002
Canada,Winnipeg,10,2,1995,7.5
Canada,Winnipeg,10,3,1995,9.833333333333336
Canada,Winnipeg,10,4,1995,5.833333333333333
Canada,Winnipeg,10,5,1995,8.499999999999998
Canada,Winnipeg,10,6,1995,5.888888888888889
Canada,Winnipeg,10,7,1995,4.555555555555557
Canada,Winnipeg,10,8,1995,6.166666666666668
Canada,Winnipeg,10,9,1995,8.555555555555555
Canada,Winnipeg,10,10,1995,10.555555555555555
Canada,Winnipeg,10,11,1995,14.11111111111111
Canada,Winnipeg,10,12,1995,13.11111111111111
Canada,Winnipeg,10,13,1995,7.88888888888889
Canada,Winnipeg,10,14,1995,4.222222222222223
Canada,Winnipeg,10,15,1995,2.555555555555556
Canada,Winnipeg,10,16,1995,5.166666666666665
Canada,Winnipeg,10,17,1995,9.27777777777778
Canada,Winnipeg,10,18,1995,2.166666666666666
Canada,Winnipeg,10,19,1995,4.000000000000002
Canada,Winnipeg,10,20,1995,2.8888888888888906
Canada,Winnipeg,10,21,1995,-1.277777777777778
Canada,Winnipeg,10,22,1995,0.5555555555555556
Canada,Winnipeg,10,23,1995,1.7777777777777797
Canada,Winnipeg,10,24,1995,0.1111111111111126
Canada,Winnipeg,10,25,1995,4.833333333333335
Canada,Winnipeg,10,26,1995,2.722222222222221
Canada,Winnipeg,10,27,1995,5.277777777777778
Canada,Winnipeg,10,28,1995,3.111111111111112
Canada,Winnipeg,10,29,1995,-0.7222222222222227
Canada,Winnipeg,10,30,1995,-1.9444444444444444
Canada,Winnipeg,10,31,1995,-2.999999999999999
Canada,Winnipeg,11,1,1995,0.777777777777777
Canada,Winnipeg,11,2,1995,-1.888888888888888
Canada,Winnipeg,11,3,1995,-8.944444444444445
Canada,Winnipeg,11,4,1995,-12.77777777777778
Canada,Winnipeg,11,5,1995,-6.722222222222223
Canada,Winnipeg,11,6,1995,-0.6111111111111119
Canada,Winnipeg,11,7,1995,-8.777777777777779
Canada,Winnipeg,11,8,1995,-10.27777777777778
Canada,Winnipeg,11,9,1995,-8.166666666666666
Canada,Winnipeg,11,10,1995,-9.166666666666666
Canada,Winnipeg,11,11,1995,-17.5
Canada,Winnipeg,11,12,1995,-21.0
Canada,Winnipeg,11,13,1995,-14.833333333333334
Canada,Winnipeg,11,14,1995,-6.888888888888888
Canada,Winnipeg,11,15,1995,-4.500000000000001
Canada,Winnipeg,11,16,1995,-6.888888888888888
Canada,Winnipeg,11,17,1995,-4.777777777777779
Canada,Winnipeg,11,18,1995,-3.2222222222222228
Canada,Winnipeg,11,19,1995,1.3333333333333326
Canada,Winnipeg,11,20,1995,-2.2777777777777786
Canada,Winnipeg,11,21,1995,-11.72222222222222
Canada,Winnipeg,11,22,1995,-9.22222222222222
Canada,Winnipeg,11,23,1995,-19.55555555555556
Canada,Winnipeg,11,24,1995,-11.666666666666666
Canada,Winnipeg,11,25,1995,-13.72222222222222
Canada,Winnipeg,11,26,1995,-19.88888888888889
Canada,Winnipeg,11,27,1995,-20.27777777777778
Canada,Winnipeg,11,28,1995,-16.11111111111111
Canada,Winnipeg,11,29,1995,-15.833333333333334
Canada,Winnipeg,11,30,1995,-9.0
Canada,Winnipeg,12,1,1995,-16.444444444444443
Canada,Winnipeg,12,2,1995,-10.055555555555555
Canada,Winnipeg,12,3,1995,-9.166666666666666
Canada,Winnipeg,12,4,1995,-8.277777777777779
Canada,Winnipeg,12,5,1995,-12.38888888888889
Canada,Winnipeg,12,6,1995,-20.55555555555556
Canada,Winnipeg,12,7,1995,-24.27777777777778
Canada,Winnipeg,12,8,1995,-21.83333333333333
Canada,Winnipeg,12,9,1995,-26.27777777777778
Canada,Winnipeg,12,10,1995,-30.444444444444443
Canada,Winnipeg,12,11,1995,-30.22222222222222
Canada,Winnipeg,12,12,1995,-32.611111111111114
Canada,Winnipeg,12,13,1995,-19.55555555555556
Canada,Winnipeg,12,14,1995,-9.944444444444445
Canada,Winnipeg,12,15,1995,-15.833333333333334
Canada,Winnipeg,12,16,1995,-18.666666666666668
Canada,Winnipeg,12,17,1995,-15.333333333333334
