Country,City,Month,Day,Year,AvgTemperature
China,Guangzhou,1,1,1995,13.777777777777777
China,Guangzhou,1,2,1995,14.22222222222222
China,Guangzhou,1,3,1995,9.000000000000002
China,Guangzhou,1,4,1995,10.111111111111112
China,Guangzhou,1,5,1995,10.833333333333334
China,Guangzhou,1,6,1995,11.055555555555555
China,Guangzhou,1,7,1995,12.833333333333334
China,Guangzhou,1,8,1995,16.055555555555557
China,Guangzhou,1,9,1995,18.000000000000004
China,Guangzhou,1,10,1995,17.38888888888889
China,Guangzhou,1,11,1995,14.555555555555555
China,Guangzhou,1,12,1995,10.666666666666668
China,Guangzhou,1,13,1995,11.38888888888889
China,Guangzhou,1,14,1995,11.72222222222222
China,Guangzhou,1,15,1995,11.88888888888889
China,Guangzhou,1,16,1995,13.11111111111111
China,Guangzhou,1,17,1995,14.333333333333334
China,Guangzhou,1,18,1995,16.555555555555557
China,Guangzhou,1,19,1995,19.83333333333333
China,Guangzhou,1,20,1995,18.944444444444443
China,Guangzhou,1,21,1995,20.444444444444443
China,Guangzhou,1,22,1995,21.38888888888889
China,Guangzhou,1,23,1995,11.944444444444445
China,Guangzhou,1,24,1995,9.5
China,Guangzhou,1,25,1995,11.500000000000002
China,Guangzhou,1,26,1995,10.27777777777778
China,Guangzhou,1,27,1995,8.944444444444445
China,Guangzhou,1,28,1995,10.22222222222222
China,Guangzhou,1,29,1995,10.444444444444445
China,Guangzhou,1,30,1995,9.11111111111111
China,Guangzhou,1,31,1995,11.72222222222222
China,Guangzhou,2,1,1995,11.944444444444445
China,Guangzhou,2,2,1995,12.666666666666664
China,Guangzhou,2,3,1995,11.166666666666666
China,Guangzhou,2,4,1995,11.555555555555554
China,Guangzhou,2,5,1995,11.444444444444445
China,Guangzhou,2,6,1995,12.111111111111107
China,Guangzhou,2,7,1995,14.11111111111111
China,Guangzhou,2,8,1995,14.055555555555554
China,Guangzhou,2,9,1995,16.944444444444443
China,Guangzhou,2,10,1995,17.61111111111111
China,Guangzhou,2,11,1995,18.000000000000004
China,Guangzhou,2,12,1995,19.61111111111111
China,Guangzhou,2,13,1995,17.555555555555557
China,Guangzhou,2,14,1995,13.38888888888889
China,Guangzhou,2,15,1995,14.555555555555555
China,Guangzhou,2,16,1995,13.27777777777778
China,Guangzhou,2,17,1995,15.38888888888889
China,Guangzhou,2,18,1995,16.333333333333332
China,Guangzhou,2,19,1995,14.333333333333334
China,Guangzhou,2,20,1995,13.055555555555555
China,Guangzhou,2,21,1995,11.38888888888889
China,Guangzhou,2,22,1995,10.5
China,Guangzhou,2,23,1995,10.111111111111112
China,Guangzhou,2,24,1995,10.444444444444445
China,Guangzhou,2,25,1995,10.77777777777778
China,Guangzhou,2,26,1995,12.0
China,Guangzhou,2,27,1995,13.61111111111111
China,Guangzhou,2,28,1995,16.555555555555557
China,Guangzhou,3,1,1995,13.27777777777778
China,Guangzhou,3,2,1995,15.27777777777778
China,Guangzhou,3,3,1995,16.27777777777778
China,Guangzhou,3,4,1995,15.61111111111111
China,Guangzhou,3,5,1995,16.166666666666668
China,Guangzhou,3,6,1995,16.11111111111111
China,Guangzhou,3,7,1995,17.333333333333332
China,Guangzhou,3,8,1995,20.444444444444443
China,Guangzhou,3,9,1995,18.33333333333333
China,Guangzhou,3,10,1995,20.0
China,Guangzhou,3,11,1995,16.27777777777778
China,Guangzhou,3,12,1995,13.61111111111111
China,Guangzhou,3,13,1995,13.444444444444446
China,Guangzhou,3,14,1995,15.666666666666666
China,Guangzhou,3,15,1995,19.444444444444443
China,Guangzhou,3,16,1995,22.16666666666667
China,Guangzhou,3,17,1995,13.444444444444446
China,Guangzhou,3,18,1995,12.555555555555555
China,Guangzhou,3,19,1995,13.27777777777778
China,Guangzhou,3,20,1995,16.166666666666668
