Country,City,Month,Day,Year,AvgTemperature
Colombia,Bogota,1,1,1995,12.27777777777778
Colombia,Bogota,1,2,1995,14.5
Colombia,Bogota,1,3,1995,10.333333333333334
Colombia,Bogota,1,4,1995,11.555555555555554
Colombia,Bogota,1,5,1995,11.38888888888889
Colombia,Bogota,1,6,1995,11.055555555555555
Colombia,Bogota,1,7,1995,11.555555555555554
Colombia,Bogota,1,8,1995,13.166666666666668
Colombia,Bogota,1,9,1995,13.22222222222222
Colombia,Bogota,1,10,1995,10.444444444444445
Colombia,Bogota,1,11,1995,12.27777777777778
Colombia,Bogota,1,12,1995,13.0
Colombia,Bogota,1,13,1995,11.500000000000002
Colombia,Bogota,1,14,1995,12.611111111111112
Colombia,Bogota,1,15,1995,11.77777777777778
Colombia,Bogota,1,16,1995,12.833333333333334
Colombia,Bogota,1,17,1995,12.388888888888888
Colombia,Bogota,1,18,1995,13.333333333333334
Colombia,Bogota,1,19,1995,12.888888888888893
Colombia,Bogota,1,20,1995,12.22222222222222
Colombia,Bogota,1,21,1995,12.944444444444445
Colombia,Bogota,1,22,1995,12.888888888888893
Colombia,Bogota,1,23,1995,13.38888888888889
Colombia,Bogota,1,24,1995,11.38888888888889
Colombia,Bogota,1,25,1995,11.77777777777778
Colombia,Bogota,1,26,1995,11.38888888888889
Colombia,Bogota,1,27,1995,13.61111111111111
Colombia,Bogota,1,28,1995,12.666666666666664
Colombia,Bogota,1,29,1995,11.055555555555555
Colombia,Bogota,1,30,1995,11.666666666666666
Colombia,Bogota,1,31,1995,14.055555555555554
Colombia,Bogota,2,1,1995,13.777777777777777
Colombia,Bogota,2,2,1995,12.611111111111112
Colombia,Bogota,2,3,1995,12.72222222222222
Colombia,Bogota,2,4,1995,13.38888888888889
Colombia,Bogota,2,5,1995,14.5
Colombia,Bogota,2,6,1995,14.666666666666666
Colombia,Bogota,2,7,1995,12.611111111111112
Colombia,Bogota,2,8,1995,11.11111111111111
Colombia,Bogota,2,9,1995,10.166666666666664
Colombia,Bogota,2,10,1995,12.444444444444445
Colombia,Bogota,2,11,1995,11.38888888888889
Colombia,Bogota,2,12,1995,9.888888888888888
Colombia,Bogota,2,13,1995,12.27777777777778
Colombia,Bogota,2,14,1995,12.22222222222222
Colombia,Bogota,2,15,1995,9.611111111111107
Colombia,Bogota,2,16,1995,10.111111111111112
Colombia,Bogota,2,17,1995,9.666666666666666
Colombia,Bogota,2,18,1995,11.88888888888889
Colombia,Bogota,2,19,1995,13.22222222222222
