Country,City,Month,Day,Year,AvgTemperature
Equador,Quito,1,1,1995,14.5
Equador,Quito,1,2,1995,14.555555555555555
Equador,Quito,1,3,1995,15.27777777777778
Equador,Quito,1,4,1995,14.166666666666666
Equador,Quito,1,5,1995,13.61111111111111
Equador,Quito,1,6,1995,12.666666666666664
Equador,Quito,1,7,1995,12.77777777777778
Equador,Quito,1,8,1995,14.666666666666666
Equador,Quito,1,9,1995,12.22222222222222
Equador,Quito,1,10,1995,12.055555555555555
Equador,Quito,1,11,1995,12.22222222222222
Equador,Quito,1,12,1995,12.72222222222222
Equador,Quito,1,13,1995,13.0
Equador,Quito,1,14,1995,13.166666666666668
Equador,Quito,1,15,1995,13.833333333333334
Equador,Quito,1,16,1995,13.27777777777778
Equador,Quito,1,17,1995,14.27777777777778
Equador,Quito,1,18,1995,14.61111111111111
Equador,Quito,1,19,1995,14.11111111111111
Equador,Quito,1,20,1995,15.27777777777778
Equador,Quito,1,21,1995,14.77777777777778
Equador,Quito,1,22,1995,14.166666666666666
Equador,Quito,1,23,1995,13.61111111111111
Equador,Quito,1,24,1995,14.5
Equador,Quito,1,25,1995,15.444444444444445
Equador,Quito,1,26,1995,15.11111111111111
Equador,Quito,1,27,1995,14.38888888888889
Equador,Quito,1,28,1995,13.833333333333334
Equador,Quito,1,29,1995,13.833333333333334
Equador,Quito,1,30,1995,-72.77777777777777
Equador,Quito,1,31,1995,16.77777777777778
Equador,Quito,2,1,1995,15.11111111111111
Equador,Quito,2,2,1995,15.166666666666666
Equador,Quito,2,3,1995,14.055555555555554
Equador,Quito,2,4,1995,13.61111111111111
Equador,Quito,2,5,1995,14.166666666666666
Equador,Quito,2,6,1995,16.11111111111111
Equador,Quito,2,7,1995,15.77777777777778
Equador,Quito,2,8,1995,15.166666666666666
Equador,Quito,2,9,1995,15.5
Equador,Quito,2,10,1995,14.000000000000002
Equador,Quito,2,11,1995,14.72222222222222
Equador,Quito,2,12,1995,14.944444444444445
Equador,Quito,2,13,1995,13.27777777777778
Equador,Quito,2,14,1995,14.666666666666666
Equador,Quito,2,15,1995,14.27777777777778
Equador,Quito,2,16,1995,11.222222222222223
Equador,Quito,2,17,1995,13.38888888888889
Equador,Quito,2,18,1995,14.22222222222222
Equador,Quito,2,19,1995,13.333333333333334
Equador,Quito,2,20,1995,-72.77777777777777
Equador,Quito,2,21,1995,11.72222222222222
Equador,Quito,2,22,1995,12.77777777777778
Equador,Quito,2,23,1995,11.38888888888889
Equador,Quito,2,24,1995,13.166666666666668
Equador,Quito,2,25,1995,13.666666666666666
Equador,Quito,2,26,1995,12.111111111111107
Equador,Quito,2,27,1995,14.555555555555555
Equador,Quito,2,28,1995,11.88888888888889
Equador,Quito,3,1,1995,15.38888888888889
Equador,Quito,3,2,1995,11.61111111111111
Equador,Quito,3,3,1995,-72.77777777777777
Equador,Quito,3,4,1995,-72.77777777777777
Equador,Quito,3,5,1995,18.000000000000004
Equador,Quito,3,6,1995,14.944444444444445
Equador,Quito,3,7,1995,13.944444444444445
Equador,Quito,3,8,1995,15.11111111111111
Equador,Quito,3,9,1995,10.999999999999998
Equador,Quito,3,10,1995,13.833333333333334
Equador,Quito,3,11,1995,14.38888888888889
Equador,Quito,3,12,1995,13.444444444444446
Equador,Quito,3,13,1995,13.777777777777777
Equador,Quito,3,14,1995,14.22222222222222
Equador,Quito,3,15,1995,13.0
Equador,Quito,3,16,1995,12.5
Equador,Quito,3,17,1995,13.055555555555555
Equador,Quito,3,18,1995,15.61111111111111
Equador,Quito,3,19,1995,14.555555555555555
Equador,Quito,3,20,1995,14.72222222222222
Equador,Quito,3,21,1995,13.166666666666668
Equador,Quito,3,22,1995,13.61111111111111
Equador,Quito,3,23,1995,12.72222222222222
Equador,Quito,3,24,1995,11.555555555555554
Equador,Quito,3,25,1995,13.666666666666666
Equador,Quito,3,26,1995,16.444444444444443
Equador,Quito,3,27,1995,14.11111111111111
Equador,Quito,3,28,1995,13.61111111111111
Equador,Quito,3,29,1995,14.555555555555555
Equador,Quito,3,30,1995,15.22222222222222
Equador,Quito,3,31,1995,14.5
Equador,Quito,4,1,1995,15.333333333333334
Equador,Quito,4,2,1995,13.499999999999998
Equador,Quito,4,3,1995,14.77777777777778
Equador,Quito,4,4,1995,14.555555555555555
Equador,Quito,4,5,1995,16.11111111111111
Equador,Quito,4,6,1995,14.61111111111111
Equador,Quito,4,7,1995,14.11111111111111
Equador,Quito,4,8,1995,-72.77777777777777
Equador,Quito,4,9,1995,-72.77777777777777
Equador,Quito,4,10,1995,-72.77777777777777
Equador,Quito,4,11,1995,-72.77777777777777
Equador,Quito,4,12,1995,-72.77777777777777
Equador,Quito,4,13,1995,14.77777777777778
Equador,Quito,4,14,1995,-72.77777777777777
Equador,Quito,4,15,1995,-72.77777777777777
Equador,Quito,4,16,1995,-72.77777777777777
Equador,Quito,4,17,1995,-72.77777777777777
Equador,Quito,4,18,1995,16.333333333333332
Equador,Quito,4,19,1995,13.055555555555555
Equador,Quito,4,20,1995,13.499999999999998
Equador,Quito,4,21,1995,14.11111111111111
Equador,Quito,4,22,1995,14.77777777777778
Equador,Quito,4,23,1995,14.38888888888889
Equador,Quito,4,24,1995,14.000000000000002
Equador,Quito,4,25,1995,14.666666666666666
Equador,Quito,4,26,1995,15.0
Equador,Quito,4,27,1995,14.444444444444445
Equador,Quito,4,28,1995,13.0
Equador,Quito,4,29,1995,14.22222222222222
Equador,Quito,4,30,1995,14.444444444444445
Equador,Quito,5,1,1995,13.333333333333334
Equador,Quito,5,2,1995,13.499999999999998
Equador,Quito,5,3,1995,14.555555555555555
Equador,Quito,5,4,1995,14.38888888888889
Equador,Quito,5,5,1995,14.333333333333334
Equador,Quito,5,6,1995,12.555555555555555
Equador,Quito,5,7,1995,12.77777777777778
Equador,Quito,5,8,1995,15.0
Equador,Quito,5,9,1995,13.944444444444445
Equador,Quito,5,10,1995,14.22222222222222
Equador,Quito,5,11,1995,14.22222222222222
Equador,Quito,5,12,1995,15.5
Equador,Quito,5,13,1995,14.11111111111111
Equador,Quito,5,14,1995,14.555555555555555
Equador,Quito,5,15,1995,14.72222222222222
Equador,Quito,5,16,1995,13.333333333333334
Equador,Quito,5,17,1995,13.22222222222222
Equador,Quito,5,18,1995,13.055555555555555
Equador,Quito,5,19,1995,13.499999999999998
Equador,Quito,5,20,1995,13.333333333333334
Equador,Quito,5,21,1995,13.777777777777777
Equador,Quito,5,22,1995,12.611111111111112
Equador,Quito,5,23,1995,13.22222222222222
Equador,Quito,5,24,1995,12.77777777777778
Equador,Quito,5,25,1995,12.666666666666664
Equador,Quito,5,26,1995,12.611111111111112
Equador,Quito,5,27,1995,13.38888888888889
Equador,Quito,5,28,1995,14.166666666666666
