Country,City,Month,Day,Year,AvgTemperature
Ethiopia,Addis Ababa,1,1,1995,16.22222222222222
Ethiopia,Addis Ababa,1,2,1995,13.666666666666666
Ethiopia,Addis Ababa,1,3,1995,14.333333333333334
Ethiopia,Addis Ababa,1,4,1995,16.61111111111111
Ethiopia,Addis Ababa,1,5,1995,16.833333333333332
Ethiopia,Addis Ababa,1,6,1995,15.166666666666666
Ethiopia,Addis Ababa,1,7,1995,14.61111111111111
Ethiopia,Addis Ababa,1,8,1995,13.88888888888889
Ethiopia,Addis Ababa,1,9,1995,16.5
Ethiopia,Addis Ababa,1,10,1995,17.77777777777778
Ethiopia,Addis Ababa,1,11,1995,16.22222222222222
Ethiopia,Addis Ababa,1,12,1995,15.0
Ethiopia,Addis Ababa,1,13,1995,15.22222222222222
Ethiopia,Addis Ababa,1,14,1995,17.38888888888889
Ethiopia,Addis Ababa,1,15,1995,14.88888888888889
Ethiopia,Addis Ababa,1,16,1995,17.72222222222222
Ethiopia,Addis Ababa,1,17,1995,16.0
Ethiopia,Addis Ababa,1,18,1995,16.22222222222222
Ethiopia,Addis Ababa,1,19,1995,13.777777777777777
Ethiopia,Addis Ababa,1,20,1995,15.444444444444445
Ethiopia,Addis Ababa,1,21,1995,15.22222222222222
Ethiopia,Addis Ababa,1,22,1995,17.22222222222222
Ethiopia,Addis Ababa,1,23,1995,15.833333333333334
Ethiopia,Addis Ababa,1,24,1995,15.72222222222222
Ethiopia,Addis Ababa,1,25,1995,14.833333333333334
Ethiopia,Addis Ababa,1,26,1995,14.166666666666666
Ethiopia,Addis Ababa,1,27,1995,15.27777777777778
Ethiopia,Addis Ababa,1,28,1995,15.38888888888889
Ethiopia,Addis Ababa,1,29,1995,17.22222222222222
Ethiopia,Addis Ababa,1,30,1995,14.833333333333334
Ethiopia,Addis Ababa,1,31,1995,16.944444444444443
Ethiopia,Addis Ababa,2,1,1995,17.61111111111111
Ethiopia,Addis Ababa,2,2,1995,17.0
Ethiopia,Addis Ababa,2,3,1995,19.33333333333333
Ethiopia,Addis Ababa,2,4,1995,18.77777777777778
Ethiopia,Addis Ababa,2,5,1995,22.11111111111111
Ethiopia,Addis Ababa,2,6,1995,18.277777777777786
Ethiopia,Addis Ababa,2,7,1995,17.555555555555557
Ethiopia,Addis Ababa,2,8,1995,19.0
Ethiopia,Addis Ababa,2,9,1995,17.83333333333333
Ethiopia,Addis Ababa,2,10,1995,16.555555555555557
Ethiopia,Addis Ababa,2,11,1995,15.77777777777778
Ethiopia,Addis Ababa,2,12,1995,16.22222222222222
Ethiopia,Addis Ababa,2,13,1995,16.666666666666668
Ethiopia,Addis Ababa,2,14,1995,17.5
Ethiopia,Addis Ababa,2,15,1995,18.000000000000004
Ethiopia,Addis Ababa,2,16,1995,15.88888888888889
Ethiopia,Addis Ababa,2,17,1995,17.166666666666668
Ethiopia,Addis Ababa,2,18,1995,18.666666666666664
Ethiopia,Addis Ababa,2,19,1995,18.111111111111107
Ethiopia,Addis Ababa,2,20,1995,16.61111111111111
Ethiopia,Addis Ababa,2,21,1995,17.666666666666668
Ethiopia,Addis Ababa,2,22,1995,20.11111111111111
Ethiopia,Addis Ababa,2,23,1995,18.77777777777778
Ethiopia,Addis Ababa,2,24,1995,20.500000000000004
Ethiopia,Addis Ababa,2,25,1995,18.33333333333333
Ethiopia,Addis Ababa,2,26,1995,-72.77777777777777
Ethiopia,Addis Ababa,2,27,1995,18.33333333333333
Ethiopia,Addis Ababa,2,28,1995,18.72222222222222
Ethiopia,Addis Ababa,3,1,1995,17.22222222222222
Ethiopia,Addis Ababa,3,2,1995,18.72222222222222
Ethiopia,Addis Ababa,3,3,1995,17.22222222222222
Ethiopia,Addis Ababa,3,4,1995,20.55555555555556
Ethiopia,Addis Ababa,3,5,1995,18.5
Ethiopia,Addis Ababa,3,6,1995,15.666666666666666
Ethiopia,Addis Ababa,3,7,1995,15.944444444444445
Ethiopia,Addis Ababa,3,8,1995,16.055555555555557
Ethiopia,Addis Ababa,3,9,1995,15.944444444444445
Ethiopia,Addis Ababa,3,10,1995,18.88888888888889
Ethiopia,Addis Ababa,3,11,1995,20.500000000000004
Ethiopia,Addis Ababa,3,12,1995,16.944444444444443
Ethiopia,Addis Ababa,3,13,1995,-72.77777777777777
Ethiopia,Addis Ababa,3,14,1995,17.83333333333333
Ethiopia,Addis Ababa,3,15,1995,19.388888888888893
Ethiopia,Addis Ababa,3,16,1995,18.05555555555556
Ethiopia,Addis Ababa,3,17,1995,17.944444444444443
Ethiopia,Addis Ababa,3,18,1995,19.77777777777777
Ethiopia,Addis Ababa,3,19,1995,19.77777777777777
Ethiopia,Addis Ababa,3,20,1995,18.61111111111111
Ethiopia,Addis Ababa,3,21,1995,18.000000000000004
Ethiopia,Addis Ababa,3,22,1995,15.11111111111111
Ethiopia,Addis Ababa,3,23,1995,17.333333333333332
Ethiopia,Addis Ababa,3,24,1995,18.77777777777778
Ethiopia,Addis Ababa,3,25,1995,17.166666666666668
Ethiopia,Addis Ababa,3,26,1995,18.5
Ethiopia,Addis Ababa,3,27,1995,17.27777777777778
Ethiopia,Addis Ababa,3,28,1995,15.11111111111111
Ethiopia,Addis Ababa,3,29,1995,17.0
Ethiopia,Addis Ababa,3,30,1995,19.444444444444443
Ethiopia,Addis Ababa,3,31,1995,18.61111111111111
Ethiopia,Addis Ababa,4,1,1995,18.55555555555556
Ethiopia,Addis Ababa,4,2,1995,17.83333333333333
Ethiopia,Addis Ababa,4,3,1995,17.27777777777778
Ethiopia,Addis Ababa,4,4,1995,16.944444444444443
Ethiopia,Addis Ababa,4,5,1995,15.22222222222222
Ethiopia,Addis Ababa,4,6,1995,16.444444444444443
Ethiopia,Addis Ababa,4,7,1995,15.944444444444445
Ethiopia,Addis Ababa,4,8,1995,16.11111111111111
Ethiopia,Addis Ababa,4,9,1995,18.111111111111107
Ethiopia,Addis Ababa,4,10,1995,17.444444444444443
Ethiopia,Addis Ababa,4,11,1995,16.166666666666668
