Country,City,Month,Day,Year,AvgTemperature
Finland,Helsinki,1,1,1995,1.6111111111111105
Finland,Helsinki,1,2,1995,-1.722222222222223
Finland,Helsinki,1,3,1995,-8.61111111111111
Finland,Helsinki,1,4,1995,-2.5
Finland,Helsinki,1,5,1995,-0.2222222222222214
Finland,Helsinki,1,6,1995,-2.055555555555556
Finland,Helsinki,1,7,1995,-2.555555555555556
Finland,Helsinki,1,8,1995,0.7222222222222207
Finland,Helsinki,1,9,1995,0.1111111111111126
Finland,Helsinki,1,10,1995,-0.777777777777777
Finland,Helsinki,1,11,1995,-3.277777777777777
Finland,Helsinki,1,12,1995,-5.388888888888889
Finland,Helsinki,1,13,1995,-9.27777777777778
Finland,Helsinki,1,14,1995,-5.611111111111112
Finland,Helsinki,1,15,1995,0.6666666666666683
Finland,Helsinki,1,16,1995,-0.6111111111111119
Finland,Helsinki,1,17,1995,0.7222222222222207
Finland,Helsinki,1,18,1995,-0.8333333333333334
Finland,Helsinki,1,19,1995,-5.388888888888889
Finland,Helsinki,1,20,1995,-4.888888888888889
Finland,Helsinki,1,21,1995,-5.388888888888889
Finland,Helsinki,1,22,1995,-5.333333333333334
Finland,Helsinki,1,23,1995,-2.6111111111111107
Finland,Helsinki,1,24,1995,0.9999999999999984
Finland,Helsinki,1,25,1995,-0.3888888888888885
Finland,Helsinki,1,26,1995,0.4444444444444428
Finland,Helsinki,1,27,1995,-1.277777777777778
Finland,Helsinki,1,28,1995,-7.777777777777778
Finland,Helsinki,1,29,1995,-5.388888888888889
Finland,Helsinki,1,30,1995,-7.722222222222222
Finland,Helsinki,1,31,1995,-12.0
Finland,Helsinki,2,1,1995,-4.666666666666666
Finland,Helsinki,2,2,1995,1.1111111111111112
Finland,Helsinki,2,3,1995,-1.722222222222223
Finland,Helsinki,2,4,1995,1.555555555555554
Finland,Helsinki,2,5,1995,-1.0555555555555547
Finland,Helsinki,2,6,1995,-0.1111111111111107
Finland,Helsinki,2,7,1995,-3.5000000000000004
Finland,Helsinki,2,8,1995,-5.333333333333334
Finland,Helsinki,2,9,1995,-4.333333333333333
Finland,Helsinki,2,10,1995,-0.7222222222222227
Finland,Helsinki,2,11,1995,-3.555555555555555
Finland,Helsinki,2,12,1995,-6.166666666666668
Finland,Helsinki,2,13,1995,1.4444444444444453
Finland,Helsinki,2,14,1995,0.9999999999999984
Finland,Helsinki,2,15,1995,2.000000000000001
Finland,Helsinki,2,16,1995,2.2777777777777786
Finland,Helsinki,2,17,1995,1.9444444444444444
Finland,Helsinki,2,18,1995,1.277777777777776
Finland,Helsinki,2,19,1995,1.3333333333333326
Finland,Helsinki,2,20,1995,1.5000000000000016
Finland,Helsinki,2,21,1995,0.777777777777777
Finland,Helsinki,2,22,1995,0.8888888888888897
Finland,Helsinki,2,23,1995,1.6111111111111105
Finland,Helsinki,2,24,1995,1.277777777777776
Finland,Helsinki,2,25,1995,0.777777777777777
Finland,Helsinki,2,26,1995,-0.7222222222222227
Finland,Helsinki,2,27,1995,-0.5555555555555556
Finland,Helsinki,2,28,1995,0.2777777777777778
Finland,Helsinki,3,1,1995,1.3333333333333326
Finland,Helsinki,3,2,1995,1.3888888888888888
Finland,Helsinki,3,3,1995,0.9999999999999984
Finland,Helsinki,3,4,1995,1.0555555555555547
Finland,Helsinki,3,5,1995,0.6666666666666683
Finland,Helsinki,3,6,1995,-0.6111111111111119
Finland,Helsinki,3,7,1995,0.6666666666666683
Finland,Helsinki,3,8,1995,0.0555555555555563
Finland,Helsinki,3,9,1995,0.9999999999999984
Finland,Helsinki,3,10,1995,0.4999999999999992
Finland,Helsinki,3,11,1995,1.222222222222224
Finland,Helsinki,3,12,1995,0.8888888888888897
Finland,Helsinki,3,13,1995,-0.3888888888888885
Finland,Helsinki,3,14,1995,-1.555555555555556
Finland,Helsinki,3,15,1995,-0.6111111111111119
Finland,Helsinki,3,16,1995,-0.6111111111111119
Finland,Helsinki,3,17,1995,-0.166666666666667
Finland,Helsinki,3,18,1995,0.166666666666665
Finland,Helsinki,3,19,1995,1.1666666666666674
Finland,Helsinki,3,20,1995,1.222222222222224
Finland,Helsinki,3,21,1995,0.2777777777777778
Finland,Helsinki,3,22,1995,-0.2777777777777778
Finland,Helsinki,3,23,1995,1.3333333333333326
Finland,Helsinki,3,24,1995,2.1111111111111094
Finland,Helsinki,3,25,1995,1.1666666666666674
Finland,Helsinki,3,26,1995,1.1666666666666674
Finland,Helsinki,3,27,1995,-0.166666666666667
Finland,Helsinki,3,28,1995,-1.222222222222222
Finland,Helsinki,3,29,1995,-1.4444444444444453
Finland,Helsinki,3,30,1995,-2.8888888888888884
Finland,Helsinki,3,31,1995,-2.444444444444444
Finland,Helsinki,4,1,1995,-0.7222222222222227
Finland,Helsinki,4,2,1995,-0.2777777777777778
Finland,Helsinki,4,3,1995,-1.4444444444444453
Finland,Helsinki,4,4,1995,0.166666666666665
Finland,Helsinki,4,5,1995,0.777777777777777
Finland,Helsinki,4,6,1995,0.0555555555555563
Finland,Helsinki,4,7,1995,0.3888888888888904
Finland,Helsinki,4,8,1995,1.555555555555554
Finland,Helsinki,4,9,1995,0.8333333333333334
Finland,Helsinki,4,10,1995,0.9999999999999984
Finland,Helsinki,4,11,1995,0.944444444444446
Finland,Helsinki,4,12,1995,2.2777777777777786
Finland,Helsinki,4,13,1995,3.444444444444446
Finland,Helsinki,4,14,1995,2.833333333333334
Finland,Helsinki,4,15,1995,5.833333333333333
Finland,Helsinki,4,16,1995,6.333333333333332
Finland,Helsinki,4,17,1995,3.2222222222222205
Finland,Helsinki,4,18,1995,3.055555555555556
Finland,Helsinki,4,19,1995,4.777777777777779
Finland,Helsinki,4,20,1995,9.000000000000002
Finland,Helsinki,4,21,1995,5.888888888888889
Finland,Helsinki,4,22,1995,6.111111111111111
Finland,Helsinki,4,23,1995,10.88888888888889
Finland,Helsinki,4,24,1995,13.22222222222222
Finland,Helsinki,4,25,1995,7.11111111111111
Finland,Helsinki,4,26,1995,4.222222222222223
Finland,Helsinki,4,27,1995,3.8333333333333326
Finland,Helsinki,4,28,1995,4.61111111111111
Finland,Helsinki,4,29,1995,1.1666666666666674
Finland,Helsinki,4,30,1995,0.8333333333333334
Finland,Helsinki,5,1,1995,1.722222222222223
Finland,Helsinki,5,2,1995,3.2222222222222205
Finland,Helsinki,5,3,1995,10.0
Finland,Helsinki,5,4,1995,9.166666666666666
Finland,Helsinki,5,5,1995,8.722222222222223
Finland,Helsinki,5,6,1995,7.88888888888889
Finland,Helsinki,5,7,1995,9.27777777777778
Finland,Helsinki,5,8,1995,5.277777777777778
Finland,Helsinki,5,9,1995,4.055555555555554
Finland,Helsinki,5,10,1995,3.944444444444445
Finland,Helsinki,5,11,1995,3.055555555555556
Finland,Helsinki,5,12,1995,2.1111111111111094
Finland,Helsinki,5,13,1995,6.888888888888888
Finland,Helsinki,5,14,1995,2.000000000000001
Finland,Helsinki,5,15,1995,3.3888888888888897
Finland,Helsinki,5,16,1995,5.444444444444443
Finland,Helsinki,5,17,1995,7.277777777777778
Finland,Helsinki,5,18,1995,10.0
Finland,Helsinki,5,19,1995,12.555555555555555
Finland,Helsinki,5,20,1995,8.555555555555555
Finland,Helsinki,5,21,1995,12.888888888888893
Finland,Helsinki,5,22,1995,8.777777777777777
Finland,Helsinki,5,23,1995,8.777777777777777
Finland,Helsinki,5,24,1995,8.88888888888889
Finland,Helsinki,5,25,1995,14.333333333333334
Finland,Helsinki,5,26,1995,15.166666666666666
Finland,Helsinki,5,27,1995,11.666666666666666
Finland,Helsinki,5,28,1995,15.22222222222222
Finland,Helsinki,5,29,1995,20.27777777777778
Finland,Helsinki,5,30,1995,21.666666666666668
Finland,Helsinki,5,31,1995,22.05555555555556
Finland,Helsinki,6,1,1995,20.88888888888889
Finland,Helsinki,6,2,1995,20.88888888888889
Finland,Helsinki,6,3,1995,22.944444444444443
Finland,Helsinki,6,4,1995,19.72222222222222
Finland,Helsinki,6,5,1995,17.166666666666668
Finland,Helsinki,6,6,1995,16.333333333333332
Finland,Helsinki,6,7,1995,15.22222222222222
Finland,Helsinki,6,8,1995,16.333333333333332
Finland,Helsinki,6,9,1995,17.5
Finland,Helsinki,6,10,1995,15.666666666666666
Finland,Helsinki,6,11,1995,15.444444444444445
Finland,Helsinki,6,12,1995,19.83333333333333
Finland,Helsinki,6,13,1995,20.777777777777786
Finland,Helsinki,6,14,1995,22.944444444444443
Finland,Helsinki,6,15,1995,22.05555555555556
Finland,Helsinki,6,16,1995,17.72222222222222
Finland,Helsinki,6,17,1995,16.88888888888889
Finland,Helsinki,6,18,1995,14.333333333333334
Finland,Helsinki,6,19,1995,13.555555555555555
Finland,Helsinki,6,20,1995,15.11111111111111
Finland,Helsinki,6,21,1995,17.27777777777778
Finland,Helsinki,6,22,1995,19.222222222222214
Finland,Helsinki,6,23,1995,16.11111111111111
Finland,Helsinki,6,24,1995,17.22222222222222
Finland,Helsinki,6,25,1995,21.444444444444443
Finland,Helsinki,6,26,1995,19.944444444444446
Finland,Helsinki,6,27,1995,16.27777777777778
Finland,Helsinki,6,28,1995,14.61111111111111
Finland,Helsinki,6,29,1995,13.055555555555555
Finland,Helsinki,6,30,1995,10.944444444444446
Finland,Helsinki,7,1,1995,11.11111111111111
Finland,Helsinki,7,2,1995,13.444444444444446
Finland,Helsinki,7,3,1995,14.555555555555555
