Country,City,Month,Day,Year,AvgTemperature
Georgia,Tbilisi,1,1,1995,3.444444444444446
Georgia,Tbilisi,1,2,1995,5.999999999999998
Georgia,Tbilisi,1,3,1995,8.166666666666668
Georgia,Tbilisi,1,4,1995,7.277777777777778
Georgia,Tbilisi,1,5,1995,3.111111111111112
Georgia,Tbilisi,1,6,1995,2.444444444444444
Georgia,Tbilisi,1,7,1995,1.7777777777777797
Georgia,Tbilisi,1,8,1995,2.6111111111111125
Georgia,Tbilisi,1,9,1995,5.222222222222221
Georgia,Tbilisi,1,10,1995,3.777777777777776
Georgia,Tbilisi,1,11,1995,3.1666666666666683
Georgia,Tbilisi,1,12,1995,5.444444444444443
Georgia,Tbilisi,1,13,1995,4.222222222222223
Georgia,Tbilisi,1,14,1995,6.388888888888889
Georgia,Tbilisi,1,15,1995,4.555555555555557
Georgia,Tbilisi,1,16,1995,8.166666666666668
Georgia,Tbilisi,1,17,1995,2.444444444444444
Georgia,Tbilisi,1,18,1995,0.166666666666665
Georgia,Tbilisi,1,19,1995,1.277777777777776
Georgia,Tbilisi,1,20,1995,1.0555555555555547
Georgia,Tbilisi,1,21,1995,-1.6111111111111105
Georgia,Tbilisi,1,22,1995,-1.1666666666666674
Georgia,Tbilisi,1,23,1995,-0.5555555555555556
Georgia,Tbilisi,1,24,1995,0.3888888888888904
Georgia,Tbilisi,1,25,1995,1.888888888888888
Georgia,Tbilisi,1,26,1995,4.166666666666667
Georgia,Tbilisi,1,27,1995,4.555555555555557
Georgia,Tbilisi,1,28,1995,5.1111111111111125
Georgia,Tbilisi,1,29,1995,6.944444444444445
Georgia,Tbilisi,1,30,1995,5.611111111111112
Georgia,Tbilisi,1,31,1995,4.666666666666666
Georgia,Tbilisi,2,1,1995,3.555555555555555
Georgia,Tbilisi,2,2,1995,4.055555555555554
Georgia,Tbilisi,2,3,1995,2.944444444444443
Georgia,Tbilisi,2,4,1995,3.611111111111111
Georgia,Tbilisi,2,5,1995,2.2777777777777786
Georgia,Tbilisi,2,6,1995,0.777777777777777
Georgia,Tbilisi,2,7,1995,4.555555555555557
Georgia,Tbilisi,2,8,1995,3.777777777777776
Georgia,Tbilisi,2,9,1995,4.777777777777779
Georgia,Tbilisi,2,10,1995,9.77777777777778
Georgia,Tbilisi,2,11,1995,8.277777777777779
Georgia,Tbilisi,2,12,1995,5.0
Georgia,Tbilisi,2,13,1995,7.222222222222222
Georgia,Tbilisi,2,14,1995,8.666666666666666
Georgia,Tbilisi,2,15,1995,4.777777777777779
Georgia,Tbilisi,2,16,1995,4.61111111111111
Georgia,Tbilisi,2,17,1995,4.27777777777778
Georgia,Tbilisi,2,18,1995,5.444444444444443
Georgia,Tbilisi,2,19,1995,7.055555555555557
Georgia,Tbilisi,2,20,1995,5.38888888888889
Georgia,Tbilisi,2,21,1995,7.055555555555557
Georgia,Tbilisi,2,22,1995,5.833333333333333
Georgia,Tbilisi,2,23,1995,4.888888888888888
Georgia,Tbilisi,2,24,1995,4.944444444444444
Georgia,Tbilisi,2,25,1995,3.888888888888889
Georgia,Tbilisi,2,26,1995,5.38888888888889
Georgia,Tbilisi,2,27,1995,6.944444444444445
Georgia,Tbilisi,2,28,1995,11.222222222222223
Georgia,Tbilisi,3,1,1995,5.888888888888889
Georgia,Tbilisi,3,2,1995,7.000000000000001
Georgia,Tbilisi,3,3,1995,8.333333333333334
Georgia,Tbilisi,3,4,1995,7.555555555555555
Georgia,Tbilisi,3,5,1995,6.944444444444445
Georgia,Tbilisi,3,6,1995,8.11111111111111
Georgia,Tbilisi,3,7,1995,9.11111111111111
Georgia,Tbilisi,3,8,1995,7.611111111111112
Georgia,Tbilisi,3,9,1995,9.555555555555555
Georgia,Tbilisi,3,10,1995,9.27777777777778
Georgia,Tbilisi,3,11,1995,9.666666666666666
Georgia,Tbilisi,3,12,1995,8.333333333333334
Georgia,Tbilisi,3,13,1995,4.055555555555554
Georgia,Tbilisi,3,14,1995,3.111111111111112
Georgia,Tbilisi,3,15,1995,0.2777777777777778
Georgia,Tbilisi,3,16,1995,3.055555555555556
Georgia,Tbilisi,3,17,1995,5.777777777777777
Georgia,Tbilisi,3,18,1995,7.333333333333335
Georgia,Tbilisi,3,19,1995,7.222222222222222
Georgia,Tbilisi,3,20,1995,9.333333333333332
Georgia,Tbilisi,3,21,1995,10.388888888888893
Georgia,Tbilisi,3,22,1995,12.0
Georgia,Tbilisi,3,23,1995,14.000000000000002
Georgia,Tbilisi,3,24,1995,10.0
Georgia,Tbilisi,3,25,1995,5.611111111111112
Georgia,Tbilisi,3,26,1995,6.333333333333332
Georgia,Tbilisi,3,27,1995,5.499999999999999
Georgia,Tbilisi,3,28,1995,8.944444444444445
Georgia,Tbilisi,3,29,1995,11.77777777777778
Georgia,Tbilisi,3,30,1995,11.61111111111111
Georgia,Tbilisi,3,31,1995,14.72222222222222
Georgia,Tbilisi,4,1,1995,13.555555555555555
Georgia,Tbilisi,4,2,1995,11.055555555555555
Georgia,Tbilisi,4,3,1995,4.000000000000002
Georgia,Tbilisi,4,4,1995,4.444444444444445
Georgia,Tbilisi,4,5,1995,8.38888888888889
Georgia,Tbilisi,4,6,1995,8.61111111111111
Georgia,Tbilisi,4,7,1995,8.944444444444445
Georgia,Tbilisi,4,8,1995,11.944444444444445
Georgia,Tbilisi,4,9,1995,13.22222222222222
Georgia,Tbilisi,4,10,1995,16.333333333333332
Georgia,Tbilisi,4,11,1995,13.555555555555555
