Country,City,Month,Day,Year,AvgTemperature
Germany,Bonn,1,1,1995,-72.77777777777777
Germany,Bonn,1,2,1995,0.3333333333333341
Germany,Bonn,1,3,1995,-0.1111111111111107
Germany,Bonn,1,4,1995,-72.77777777777777
Germany,Bonn,1,5,1995,-7.166666666666667
Germany,Bonn,1,6,1995,-6.666666666666667
Germany,Bonn,1,7,1995,-72.77777777777777
Germany,Bonn,1,8,1995,-72.77777777777777
Germany,Bonn,1,9,1995,2.1111111111111094
Germany,Bonn,1,10,1995,4.055555555555554
Germany,Bonn,1,11,1995,1.9444444444444444
Germany,Bonn,1,12,1995,-72.77777777777777
Germany,Bonn,1,13,1995,-72.77777777777777
Germany,Bonn,1,14,1995,-72.77777777777777
Germany,Bonn,1,15,1995,-72.77777777777777
Germany,Bonn,1,16,1995,2.1111111111111094
Germany,Bonn,1,17,1995,-72.77777777777777
Germany,Bonn,1,18,1995,4.722222222222222
Germany,Bonn,1,19,1995,4.444444444444445
Germany,Bonn,1,20,1995,7.555555555555555
Germany,Bonn,1,21,1995,-72.77777777777777
Germany,Bonn,1,22,1995,-72.77777777777777
Germany,Bonn,1,23,1995,6.4444444444444455
Germany,Bonn,1,24,1995,-72.77777777777777
Germany,Bonn,1,25,1995,3.1666666666666683
Germany,Bonn,1,26,1995,11.166666666666666
Germany,Bonn,1,27,1995,1.222222222222224
Germany,Bonn,1,28,1995,-72.77777777777777
Germany,Bonn,1,29,1995,-72.77777777777777
Germany,Bonn,1,30,1995,3.611111111111111
Germany,Bonn,1,31,1995,-0.6111111111111119
Germany,Bonn,2,1,1995,9.000000000000002
Germany,Bonn,2,2,1995,5.888888888888889
Germany,Bonn,2,3,1995,3.444444444444446
Germany,Bonn,2,4,1995,-72.77777777777777
Germany,Bonn,2,5,1995,-72.77777777777777
Germany,Bonn,2,6,1995,9.888888888888888
Germany,Bonn,2,7,1995,7.611111111111112
Germany,Bonn,2,8,1995,9.27777777777778
Germany,Bonn,2,9,1995,5.777777777777777
Germany,Bonn,2,10,1995,0.8888888888888897
Germany,Bonn,2,11,1995,-72.77777777777777
Germany,Bonn,2,12,1995,-72.77777777777777
Germany,Bonn,2,13,1995,5.999999999999998
Germany,Bonn,2,14,1995,6.277777777777776
Germany,Bonn,2,15,1995,10.555555555555555
Germany,Bonn,2,16,1995,5.166666666666665
Germany,Bonn,2,17,1995,6.944444444444445
Germany,Bonn,2,18,1995,-72.77777777777777
Germany,Bonn,2,19,1995,-72.77777777777777
Germany,Bonn,2,20,1995,-72.77777777777777
Germany,Bonn,2,21,1995,-72.77777777777777
Germany,Bonn,2,22,1995,4.333333333333332
Germany,Bonn,2,23,1995,-72.77777777777777
Germany,Bonn,2,24,1995,2.5
Germany,Bonn,2,25,1995,-72.77777777777777
Germany,Bonn,2,26,1995,-72.77777777777777
Germany,Bonn,2,27,1995,-72.77777777777777
Germany,Bonn,2,28,1995,-72.77777777777777
Germany,Bonn,3,1,1995,8.166666666666668
Germany,Bonn,3,2,1995,-72.77777777777777
Germany,Bonn,3,3,1995,-72.77777777777777
Germany,Bonn,3,4,1995,-72.77777777777777
Germany,Bonn,3,5,1995,-72.77777777777777
Germany,Bonn,3,6,1995,-72.77777777777777
Germany,Bonn,3,7,1995,-72.77777777777777
Germany,Bonn,3,8,1995,-72.77777777777777
Germany,Bonn,3,9,1995,-72.77777777777777
Germany,Bonn,3,10,1995,-72.77777777777777
Germany,Bonn,3,11,1995,-72.77777777777777
Germany,Bonn,3,12,1995,-72.77777777777777
Germany,Bonn,3,13,1995,-72.77777777777777
Germany,Bonn,3,14,1995,-72.77777777777777
Germany,Bonn,3,15,1995,-72.77777777777777
Germany,Bonn,3,16,1995,-72.77777777777777
Germany,Bonn,3,17,1995,-72.77777777777777
Germany,Bonn,3,18,1995,-72.77777777777777
Germany,Bonn,3,19,1995,-72.77777777777777
Germany,Bonn,3,20,1995,-72.77777777777777
Germany,Bonn,3,21,1995,-72.77777777777777
Germany,Bonn,3,22,1995,-72.77777777777777
Germany,Bonn,3,23,1995,-72.77777777777777
Germany,Bonn,3,24,1995,-72.77777777777777
Germany,Bonn,3,25,1995,-72.77777777777777
Germany,Bonn,3,26,1995,-72.77777777777777
Germany,Bonn,3,27,1995,3.444444444444446
Germany,Bonn,3,28,1995,1.6666666666666667
Germany,Bonn,3,29,1995,-72.77777777777777
Germany,Bonn,3,30,1995,2.999999999999999
Germany,Bonn,3,31,1995,-72.77777777777777
Germany,Bonn,4,1,1995,-72.77777777777777
Germany,Bonn,4,2,1995,-72.77777777777777
Germany,Bonn,4,3,1995,14.333333333333334
Germany,Bonn,4,4,1995,-72.77777777777777
Germany,Bonn,4,5,1995,-72.77777777777777
Germany,Bonn,4,6,1995,-72.77777777777777
Germany,Bonn,4,7,1995,12.611111111111112
Germany,Bonn,4,8,1995,-72.77777777777777
Germany,Bonn,4,9,1995,-72.77777777777777
Germany,Bonn,4,10,1995,5.777777777777777
Germany,Bonn,4,11,1995,6.666666666666667
Germany,Bonn,4,12,1995,7.722222222222222
Germany,Bonn,4,13,1995,-72.77777777777777
Germany,Bonn,4,14,1995,-72.77777777777777
Germany,Bonn,4,15,1995,-72.77777777777777
Germany,Bonn,4,16,1995,-72.77777777777777
Germany,Bonn,4,17,1995,-72.77777777777777
Germany,Bonn,4,18,1995,-72.77777777777777
Germany,Bonn,4,19,1995,5.277777777777778
Germany,Bonn,4,20,1995,6.77777777777778
Germany,Bonn,4,21,1995,-72.77777777777777
Germany,Bonn,4,22,1995,-72.77777777777777
Germany,Bonn,4,23,1995,-72.77777777777777
Germany,Bonn,4,24,1995,-72.77777777777777
Germany,Bonn,4,25,1995,-72.77777777777777
Germany,Bonn,4,26,1995,-72.77777777777777
Germany,Bonn,4,27,1995,9.333333333333332
Germany,Bonn,4,28,1995,8.944444444444445
Germany,Bonn,4,29,1995,-72.77777777777777
Germany,Bonn,4,30,1995,-72.77777777777777
Germany,Bonn,5,1,1995,-72.77777777777777
Germany,Bonn,5,2,1995,-72.77777777777777
Germany,Bonn,5,3,1995,17.166666666666668
Germany,Bonn,5,4,1995,18.77777777777778
Germany,Bonn,5,5,1995,20.166666666666668
Germany,Bonn,5,6,1995,-72.77777777777777
Germany,Bonn,5,7,1995,-72.77777777777777
Germany,Bonn,5,8,1995,-72.77777777777777
Germany,Bonn,5,9,1995,-72.77777777777777
Germany,Bonn,5,10,1995,9.833333333333336
Germany,Bonn,5,11,1995,10.61111111111111
Germany,Bonn,5,12,1995,11.055555555555555
Germany,Bonn,5,13,1995,-72.77777777777777
Germany,Bonn,5,14,1995,-72.77777777777777
Germany,Bonn,5,15,1995,10.833333333333334
Germany,Bonn,5,16,1995,-72.77777777777777
Germany,Bonn,5,17,1995,-72.77777777777777
Germany,Bonn,5,18,1995,8.833333333333334
Germany,Bonn,5,19,1995,-72.77777777777777
Germany,Bonn,5,20,1995,-72.77777777777777
Germany,Bonn,5,21,1995,-72.77777777777777
Germany,Bonn,5,22,1995,13.833333333333334
Germany,Bonn,5,23,1995,17.88888888888889
Germany,Bonn,5,24,1995,22.22222222222222
Germany,Bonn,5,25,1995,-72.77777777777777
Germany,Bonn,5,26,1995,17.166666666666668
Germany,Bonn,5,27,1995,-72.77777777777777
Germany,Bonn,5,28,1995,-72.77777777777777
Germany,Bonn,5,29,1995,15.72222222222222
Germany,Bonn,5,30,1995,15.055555555555555
Germany,Bonn,5,31,1995,15.88888888888889
Germany,Bonn,6,1,1995,-72.77777777777777
Germany,Bonn,6,2,1995,15.833333333333334
Germany,Bonn,6,3,1995,-72.77777777777777
Germany,Bonn,6,4,1995,-72.77777777777777
Germany,Bonn,6,5,1995,-72.77777777777777
Germany,Bonn,6,6,1995,15.5
Germany,Bonn,6,7,1995,-72.77777777777777
Germany,Bonn,6,8,1995,13.055555555555555
Germany,Bonn,6,9,1995,11.277777777777777
Germany,Bonn,6,10,1995,-72.77777777777777
