Country,City,Month,Day,Year,AvgTemperature
Germany,Munich,1,1,1995,0.944444444444446
Germany,Munich,1,2,1995,-1.6111111111111105
Germany,Munich,1,3,1995,-3.555555555555555
Germany,Munich,1,4,1995,-9.833333333333334
Germany,Munich,1,5,1995,-10.22222222222222
Germany,Munich,1,6,1995,-9.5
Germany,Munich,1,7,1995,-10.22222222222222
Germany,Munich,1,8,1995,-6.611111111111111
Germany,Munich,1,9,1995,-2.9444444444444446
Germany,Munich,1,10,1995,1.555555555555554
Germany,Munich,1,11,1995,0.2777777777777778
Germany,Munich,1,12,1995,-1.4444444444444453
Germany,Munich,1,13,1995,-3.611111111111111
Germany,Munich,1,14,1995,-6.222222222222222
Germany,Munich,1,15,1995,-1.555555555555556
Germany,Munich,1,16,1995,-4.944444444444444
Germany,Munich,1,17,1995,-8.38888888888889
Germany,Munich,1,18,1995,-6.555555555555555
Germany,Munich,1,19,1995,-1.4999999999999996
Germany,Munich,1,20,1995,-3.2222222222222228
Germany,Munich,1,21,1995,-0.8333333333333334
Germany,Munich,1,22,1995,6.388888888888889
Germany,Munich,1,23,1995,8.166666666666668
Germany,Munich,1,24,1995,3.611111111111111
Germany,Munich,1,25,1995,6.666666666666667
Germany,Munich,1,26,1995,10.0
Germany,Munich,1,27,1995,0.4999999999999992
Germany,Munich,1,28,1995,5.444444444444443
Germany,Munich,1,29,1995,6.944444444444445
Germany,Munich,1,30,1995,4.944444444444444
Germany,Munich,1,31,1995,-0.4999999999999992
Germany,Munich,2,1,1995,1.6111111111111105
Germany,Munich,2,2,1995,3.2222222222222205
Germany,Munich,2,3,1995,0.9999999999999984
Germany,Munich,2,4,1995,2.7777777777777777
Germany,Munich,2,5,1995,5.38888888888889
Germany,Munich,2,6,1995,6.222222222222224
Germany,Munich,2,7,1995,8.833333333333334
Germany,Munich,2,8,1995,7.666666666666665
Germany,Munich,2,9,1995,4.388888888888888
Germany,Munich,2,10,1995,2.555555555555556
Germany,Munich,2,11,1995,5.666666666666668
Germany,Munich,2,12,1995,5.499999999999999
