Country,City,Month,Day,Year,AvgTemperature
Guyana,Georgetown,1,1,1995,-72.77777777777777
Guyana,Georgetown,1,2,1995,-72.77777777777777
Guyana,Georgetown,1,3,1995,-72.77777777777777
Guyana,Georgetown,1,4,1995,-72.77777777777777
Guyana,Georgetown,1,5,1995,-72.77777777777777
Guyana,Georgetown,1,6,1995,-72.77777777777777
Guyana,Georgetown,1,7,1995,-72.77777777777777
Guyana,Georgetown,1,8,1995,-72.77777777777777
Guyana,Georgetown,1,9,1995,-72.77777777777777
Guyana,Georgetown,1,10,1995,-72.77777777777777
Guyana,Georgetown,1,11,1995,-72.77777777777777
Guyana,Georgetown,1,12,1995,-72.77777777777777
Guyana,Georgetown,1,13,1995,-72.77777777777777
Guyana,Georgetown,1,14,1995,-72.77777777777777
Guyana,Georgetown,1,15,1995,-72.77777777777777
Guyana,Georgetown,1,16,1995,-72.77777777777777
Guyana,Georgetown,1,17,1995,-72.77777777777777
Guyana,Georgetown,1,18,1995,-72.77777777777777
Guyana,Georgetown,1,19,1995,-72.77777777777777
Guyana,Georgetown,1,20,1995,-72.77777777777777
Guyana,Georgetown,1,21,1995,-72.77777777777777
Guyana,Georgetown,1,22,1995,-72.77777777777777
Guyana,Georgetown,1,23,1995,-72.77777777777777
Guyana,Georgetown,1,24,1995,-72.77777777777777
Guyana,Georgetown,1,25,1995,-72.77777777777777
Guyana,Georgetown,1,26,1995,-72.77777777777777
Guyana,Georgetown,1,27,1995,-72.77777777777777
Guyana,Georgetown,1,28,1995,-72.77777777777777
Guyana,Georgetown,1,29,1995,-72.77777777777777
Guyana,Georgetown,1,30,1995,-72.77777777777777
Guyana,Georgetown,1,31,1995,-72.77777777777777
Guyana,Georgetown,2,1,1995,-72.77777777777777
Guyana,Georgetown,2,2,1995,-72.77777777777777
Guyana,Georgetown,2,3,1995,-72.77777777777777
Guyana,Georgetown,2,4,1995,-72.77777777777777
Guyana,Georgetown,2,5,1995,-72.77777777777777
Guyana,Georgetown,2,6,1995,-72.77777777777777
Guyana,Georgetown,2,7,1995,-72.77777777777777
Guyana,Georgetown,2,8,1995,-72.77777777777777
Guyana,Georgetown,2,9,1995,-72.77777777777777
Guyana,Georgetown,2,10,1995,-72.77777777777777
Guyana,Georgetown,2,11,1995,-72.77777777777777
Guyana,Georgetown,2,12,1995,-72.77777777777777
Guyana,Georgetown,2,13,1995,-72.77777777777777
Guyana,Georgetown,2,14,1995,-72.77777777777777
Guyana,Georgetown,2,15,1995,-72.77777777777777
Guyana,Georgetown,2,16,1995,-72.77777777777777
Guyana,Georgetown,2,17,1995,-72.77777777777777
Guyana,Georgetown,2,18,1995,-72.77777777777777
Guyana,Georgetown,2,19,1995,-72.77777777777777
Guyana,Georgetown,2,20,1995,-72.77777777777777
Guyana,Georgetown,2,21,1995,-72.77777777777777
Guyana,Georgetown,2,22,1995,-72.77777777777777
Guyana,Georgetown,2,23,1995,-72.77777777777777
Guyana,Georgetown,2,24,1995,-72.77777777777777
Guyana,Georgetown,2,25,1995,-72.77777777777777
Guyana,Georgetown,2,26,1995,-72.77777777777777
Guyana,Georgetown,2,27,1995,-72.77777777777777
Guyana,Georgetown,2,28,1995,-72.77777777777777
Guyana,Georgetown,3,1,1995,-72.77777777777777
Guyana,Georgetown,3,2,1995,-72.77777777777777
Guyana,Georgetown,3,3,1995,-72.77777777777777
Guyana,Georgetown,3,4,1995,-72.77777777777777
Guyana,Georgetown,3,5,1995,-72.77777777777777
Guyana,Georgetown,3,6,1995,-72.77777777777777
Guyana,Georgetown,3,7,1995,-72.77777777777777
Guyana,Georgetown,3,8,1995,-72.77777777777777
