Country,City,Month,Day,Year,AvgTemperature
Hong Kong,Hong Kong,1,1,1995,17.88888888888889
Hong Kong,Hong Kong,1,2,1995,18.111111111111107
Hong Kong,Hong Kong,1,3,1995,15.166666666666666
Hong Kong,Hong Kong,1,4,1995,13.666666666666666
Hong Kong,Hong Kong,1,5,1995,14.166666666666666
Hong Kong,Hong Kong,1,6,1995,14.555555555555555
Hong Kong,Hong Kong,1,7,1995,16.88888888888889
Hong Kong,Hong Kong,1,8,1995,18.444444444444443
Hong Kong,Hong Kong,1,9,1995,20.0
Hong Kong,Hong Kong,1,10,1995,18.72222222222222
Hong Kong,Hong Kong,1,11,1995,18.444444444444443
Hong Kong,Hong Kong,1,12,1995,16.333333333333332
Hong Kong,Hong Kong,1,13,1995,16.555555555555557
Hong Kong,Hong Kong,1,14,1995,15.555555555555555
Hong Kong,Hong Kong,1,15,1995,16.38888888888889
Hong Kong,Hong Kong,1,16,1995,17.11111111111111
Hong Kong,Hong Kong,1,17,1995,17.38888888888889
Hong Kong,Hong Kong,1,18,1995,19.27777777777778
Hong Kong,Hong Kong,1,19,1995,20.444444444444443
Hong Kong,Hong Kong,1,20,1995,18.666666666666664
Hong Kong,Hong Kong,1,21,1995,20.055555555555557
Hong Kong,Hong Kong,1,22,1995,21.5
Hong Kong,Hong Kong,1,23,1995,17.555555555555557
Hong Kong,Hong Kong,1,24,1995,15.055555555555555
Hong Kong,Hong Kong,1,25,1995,17.166666666666668
Hong Kong,Hong Kong,1,26,1995,16.38888888888889
Hong Kong,Hong Kong,1,27,1995,12.27777777777778
Hong Kong,Hong Kong,1,28,1995,12.166666666666666
Hong Kong,Hong Kong,1,29,1995,13.499999999999998
Hong Kong,Hong Kong,1,30,1995,11.555555555555554
Hong Kong,Hong Kong,1,31,1995,13.555555555555555
Hong Kong,Hong Kong,2,1,1995,14.11111111111111
Hong Kong,Hong Kong,2,2,1995,13.944444444444445
Hong Kong,Hong Kong,2,3,1995,14.000000000000002
Hong Kong,Hong Kong,2,4,1995,14.555555555555555
Hong Kong,Hong Kong,2,5,1995,14.11111111111111
Hong Kong,Hong Kong,2,6,1995,14.11111111111111
Hong Kong,Hong Kong,2,7,1995,15.166666666666666
Hong Kong,Hong Kong,2,8,1995,17.11111111111111
Hong Kong,Hong Kong,2,9,1995,18.277777777777786
Hong Kong,Hong Kong,2,10,1995,16.833333333333332
Hong Kong,Hong Kong,2,11,1995,17.38888888888889
Hong Kong,Hong Kong,2,12,1995,19.444444444444443
Hong Kong,Hong Kong,2,13,1995,19.0
Hong Kong,Hong Kong,2,14,1995,16.055555555555557
Hong Kong,Hong Kong,2,15,1995,15.72222222222222
Hong Kong,Hong Kong,2,16,1995,15.77777777777778
Hong Kong,Hong Kong,2,17,1995,15.27777777777778
Hong Kong,Hong Kong,2,18,1995,17.83333333333333
Hong Kong,Hong Kong,2,19,1995,16.444444444444443
Hong Kong,Hong Kong,2,20,1995,15.666666666666666
Hong Kong,Hong Kong,2,21,1995,14.27777777777778
Hong Kong,Hong Kong,2,22,1995,14.555555555555555
Hong Kong,Hong Kong,2,23,1995,14.77777777777778
Hong Kong,Hong Kong,2,24,1995,15.666666666666666
Hong Kong,Hong Kong,2,25,1995,13.61111111111111
Hong Kong,Hong Kong,2,26,1995,13.22222222222222
Hong Kong,Hong Kong,2,27,1995,14.833333333333334
Hong Kong,Hong Kong,2,28,1995,17.38888888888889
Hong Kong,Hong Kong,3,1,1995,14.27777777777778
Hong Kong,Hong Kong,3,2,1995,16.72222222222222
Hong Kong,Hong Kong,3,3,1995,19.72222222222222
