Country,City,Month,Day,Year,AvgTemperature
Hungary,Budapest,1,1,1995,1.6111111111111105
Hungary,Budapest,1,2,1995,1.6111111111111105
Hungary,Budapest,1,3,1995,-1.6666666666666667
Hungary,Budapest,1,4,1995,-2.2222222222222223
Hungary,Budapest,1,5,1995,-0.5555555555555556
Hungary,Budapest,1,6,1995,-2.333333333333333
Hungary,Budapest,1,7,1995,-1.277777777777778
Hungary,Budapest,1,8,1995,-2.2777777777777786
Hungary,Budapest,1,9,1995,-2.7777777777777777
Hungary,Budapest,1,10,1995,-2.111111111111112
Hungary,Budapest,1,11,1995,-0.3333333333333341
Hungary,Budapest,1,12,1995,-0.1111111111111107
Hungary,Budapest,1,13,1995,-0.4999999999999992
Hungary,Budapest,1,14,1995,-4.944444444444444
Hungary,Budapest,1,15,1995,-7.722222222222222
Hungary,Budapest,1,16,1995,-4.777777777777779
Hungary,Budapest,1,17,1995,-7.166666666666667
Hungary,Budapest,1,18,1995,-9.72222222222222
Hungary,Budapest,1,19,1995,-6.4444444444444455
Hungary,Budapest,1,20,1995,-4.333333333333333
Hungary,Budapest,1,21,1995,-4.611111111111111
Hungary,Budapest,1,22,1995,-3.166666666666666
Hungary,Budapest,1,23,1995,1.555555555555554
Hungary,Budapest,1,24,1995,3.3888888888888897
Hungary,Budapest,1,25,1995,1.6111111111111105
Hungary,Budapest,1,26,1995,8.777777777777777
Hungary,Budapest,1,27,1995,4.944444444444444
Hungary,Budapest,1,28,1995,1.7777777777777797
Hungary,Budapest,1,29,1995,4.722222222222222
Hungary,Budapest,1,30,1995,5.277777777777778
Hungary,Budapest,1,31,1995,1.7777777777777797
Hungary,Budapest,2,1,1995,-0.6666666666666663
Hungary,Budapest,2,2,1995,0.2777777777777778
Hungary,Budapest,2,3,1995,1.722222222222223
Hungary,Budapest,2,4,1995,0.0555555555555563
Hungary,Budapest,2,5,1995,4.27777777777778
Hungary,Budapest,2,6,1995,5.7222222222222205
Hungary,Budapest,2,7,1995,10.166666666666664
Hungary,Budapest,2,8,1995,8.944444444444445
Hungary,Budapest,2,9,1995,5.999999999999998
Hungary,Budapest,2,10,1995,0.8333333333333334
Hungary,Budapest,2,11,1995,1.5000000000000016
Hungary,Budapest,2,12,1995,7.388888888888887
Hungary,Budapest,2,13,1995,6.111111111111111
Hungary,Budapest,2,14,1995,5.999999999999998
Hungary,Budapest,2,15,1995,7.388888888888887
Hungary,Budapest,2,16,1995,6.833333333333332
Hungary,Budapest,2,17,1995,7.277777777777778
Hungary,Budapest,2,18,1995,5.055555555555556
Hungary,Budapest,2,19,1995,4.444444444444445
Hungary,Budapest,2,20,1995,5.555555555555555
Hungary,Budapest,2,21,1995,8.333333333333334
Hungary,Budapest,2,22,1995,5.499999999999999
Hungary,Budapest,2,23,1995,6.388888888888889
Hungary,Budapest,2,24,1995,4.000000000000002
Hungary,Budapest,2,25,1995,7.11111111111111
Hungary,Budapest,2,26,1995,6.944444444444445
Hungary,Budapest,2,27,1995,4.555555555555557
Hungary,Budapest,2,28,1995,4.61111111111111
Hungary,Budapest,3,1,1995,5.833333333333333
Hungary,Budapest,3,2,1995,4.555555555555557
Hungary,Budapest,3,3,1995,5.555555555555555
Hungary,Budapest,3,4,1995,7.722222222222222
Hungary,Budapest,3,5,1995,4.27777777777778
Hungary,Budapest,3,6,1995,3.888888888888889
Hungary,Budapest,3,7,1995,5.38888888888889
Hungary,Budapest,3,8,1995,5.499999999999999
Hungary,Budapest,3,9,1995,4.555555555555557
Hungary,Budapest,3,10,1995,6.111111111111111
Hungary,Budapest,3,11,1995,4.722222222222222
Hungary,Budapest,3,12,1995,5.555555555555555
