Country,City,Month,Day,Year,AvgTemperature
India,Chennai (Madras),1,1,1995,22.444444444444446
India,Chennai (Madras),1,2,1995,23.05555555555556
India,Chennai (Madras),1,3,1995,22.555555555555557
India,Chennai (Madras),1,4,1995,24.0
India,Chennai (Madras),1,5,1995,23.77777777777778
India,Chennai (Madras),1,6,1995,24.66666666666667
India,Chennai (Madras),1,7,1995,25.777777777777786
India,Chennai (Madras),1,8,1995,25.88888888888889
India,Chennai (Madras),1,9,1995,25.611111111111107
India,Chennai (Madras),1,10,1995,26.27777777777778
India,Chennai (Madras),1,11,1995,25.500000000000004
India,Chennai (Madras),1,12,1995,26.11111111111111
India,Chennai (Madras),1,13,1995,23.000000000000004
India,Chennai (Madras),1,14,1995,24.83333333333333
India,Chennai (Madras),1,15,1995,23.166666666666668
India,Chennai (Madras),1,16,1995,25.0
India,Chennai (Madras),1,17,1995,21.722222222222214
India,Chennai (Madras),1,18,1995,22.555555555555557
India,Chennai (Madras),1,19,1995,24.5
India,Chennai (Madras),1,20,1995,24.27777777777778
India,Chennai (Madras),1,21,1995,23.444444444444443
India,Chennai (Madras),1,22,1995,23.5
India,Chennai (Madras),1,23,1995,23.77777777777778
India,Chennai (Madras),1,24,1995,23.944444444444443
India,Chennai (Madras),1,25,1995,23.88888888888889
India,Chennai (Madras),1,26,1995,24.83333333333333
India,Chennai (Madras),1,27,1995,24.33333333333333
India,Chennai (Madras),1,28,1995,23.72222222222222
India,Chennai (Madras),1,29,1995,23.944444444444443
India,Chennai (Madras),1,30,1995,25.11111111111111
India,Chennai (Madras),1,31,1995,25.500000000000004
India,Chennai (Madras),2,1,1995,25.500000000000004
India,Chennai (Madras),2,2,1995,24.88888888888889
India,Chennai (Madras),2,3,1995,25.666666666666668
India,Chennai (Madras),2,4,1995,25.666666666666668
India,Chennai (Madras),2,5,1995,26.05555555555556
India,Chennai (Madras),2,6,1995,26.0
India,Chennai (Madras),2,7,1995,24.944444444444446
India,Chennai (Madras),2,8,1995,24.88888888888889
India,Chennai (Madras),2,9,1995,25.444444444444443
India,Chennai (Madras),2,10,1995,25.500000000000004
India,Chennai (Madras),2,11,1995,25.38888888888889
India,Chennai (Madras),2,12,1995,25.055555555555557
India,Chennai (Madras),2,13,1995,24.77777777777777
India,Chennai (Madras),2,14,1995,24.944444444444446
India,Chennai (Madras),2,15,1995,25.166666666666668
India,Chennai (Madras),2,16,1995,26.5
India,Chennai (Madras),2,17,1995,27.16666666666667
India,Chennai (Madras),2,18,1995,27.722222222222225
India,Chennai (Madras),2,19,1995,27.722222222222225
India,Chennai (Madras),2,20,1995,27.33333333333333
India,Chennai (Madras),2,21,1995,26.77777777777778
India,Chennai (Madras),2,22,1995,26.77777777777778
India,Chennai (Madras),2,23,1995,26.38888888888889
India,Chennai (Madras),2,24,1995,27.0
India,Chennai (Madras),2,25,1995,26.55555555555556
India,Chennai (Madras),2,26,1995,25.944444444444443
India,Chennai (Madras),2,27,1995,27.22222222222222
India,Chennai (Madras),2,28,1995,26.77777777777778
India,Chennai (Madras),3,1,1995,26.83333333333333
India,Chennai (Madras),3,2,1995,27.0
India,Chennai (Madras),3,3,1995,27.11111111111111
India,Chennai (Madras),3,4,1995,27.0
India,Chennai (Madras),3,5,1995,28.000000000000004
India,Chennai (Madras),3,6,1995,27.33333333333333
India,Chennai (Madras),3,7,1995,26.444444444444443
India,Chennai (Madras),3,8,1995,26.888888888888893
India,Chennai (Madras),3,9,1995,26.77777777777778
India,Chennai (Madras),3,10,1995,27.05555555555556
India,Chennai (Madras),3,11,1995,27.83333333333333
India,Chennai (Madras),3,12,1995,27.88888888888889
India,Chennai (Madras),3,13,1995,27.5
India,Chennai (Madras),3,14,1995,27.77777777777778
India,Chennai (Madras),3,15,1995,27.444444444444446
India,Chennai (Madras),3,16,1995,27.666666666666668
India,Chennai (Madras),3,17,1995,27.22222222222222
India,Chennai (Madras),3,18,1995,28.05555555555556
India,Chennai (Madras),3,19,1995,28.77777777777778
India,Chennai (Madras),3,20,1995,28.000000000000004
India,Chennai (Madras),3,21,1995,27.555555555555557
India,Chennai (Madras),3,22,1995,27.666666666666668
India,Chennai (Madras),3,23,1995,28.72222222222222
India,Chennai (Madras),3,24,1995,28.5
India,Chennai (Madras),3,25,1995,28.88888888888889
India,Chennai (Madras),3,26,1995,29.0
India,Chennai (Madras),3,27,1995,28.111111111111107
