Country,City,Month,Day,Year,AvgTemperature
India,Delhi,1,1,1995,10.388888888888893
India,Delhi,1,2,1995,11.166666666666666
India,Delhi,1,3,1995,12.111111111111107
India,Delhi,1,4,1995,12.055555555555555
India,Delhi,1,5,1995,12.5
India,Delhi,1,6,1995,12.388888888888888
India,Delhi,1,7,1995,13.944444444444445
India,Delhi,1,8,1995,13.11111111111111
India,Delhi,1,9,1995,12.22222222222222
India,Delhi,1,10,1995,11.333333333333334
India,Delhi,1,11,1995,12.666666666666664
India,Delhi,1,12,1995,12.5
India,Delhi,1,13,1995,13.055555555555555
India,Delhi,1,14,1995,13.555555555555555
India,Delhi,1,15,1995,13.22222222222222
India,Delhi,1,16,1995,13.555555555555555
India,Delhi,1,17,1995,12.055555555555555
India,Delhi,1,18,1995,12.055555555555555
India,Delhi,1,19,1995,12.5
India,Delhi,1,20,1995,13.333333333333334
India,Delhi,1,21,1995,13.499999999999998
India,Delhi,1,22,1995,12.055555555555555
India,Delhi,1,23,1995,12.0
India,Delhi,1,24,1995,13.055555555555555
India,Delhi,1,25,1995,14.444444444444445
India,Delhi,1,26,1995,14.61111111111111
India,Delhi,1,27,1995,15.444444444444445
India,Delhi,1,28,1995,16.333333333333332
India,Delhi,1,29,1995,15.72222222222222
India,Delhi,1,30,1995,13.777777777777777
India,Delhi,1,31,1995,14.88888888888889
India,Delhi,2,1,1995,14.444444444444445
India,Delhi,2,2,1995,13.88888888888889
India,Delhi,2,3,1995,14.61111111111111
India,Delhi,2,4,1995,14.72222222222222
India,Delhi,2,5,1995,14.61111111111111
India,Delhi,2,6,1995,14.72222222222222
India,Delhi,2,7,1995,17.055555555555557
India,Delhi,2,8,1995,18.33333333333333
India,Delhi,2,9,1995,19.05555555555556
India,Delhi,2,10,1995,19.77777777777777
India,Delhi,2,11,1995,19.166666666666668
India,Delhi,2,12,1995,20.222222222222225
India,Delhi,2,13,1995,20.611111111111107
India,Delhi,2,14,1995,19.33333333333333
India,Delhi,2,15,1995,16.88888888888889
India,Delhi,2,16,1995,16.944444444444443
India,Delhi,2,17,1995,17.5
India,Delhi,2,18,1995,19.222222222222214
India,Delhi,2,19,1995,17.77777777777778
India,Delhi,2,20,1995,18.277777777777786
India,Delhi,2,21,1995,16.72222222222222
India,Delhi,2,22,1995,12.111111111111107
India,Delhi,2,23,1995,12.333333333333336
India,Delhi,2,24,1995,14.61111111111111
India,Delhi,2,25,1995,15.38888888888889
India,Delhi,2,26,1995,18.77777777777778
India,Delhi,2,27,1995,18.111111111111107
India,Delhi,2,28,1995,17.166666666666668
India,Delhi,3,1,1995,16.5
India,Delhi,3,2,1995,16.333333333333332
India,Delhi,3,3,1995,16.38888888888889
India,Delhi,3,4,1995,16.055555555555557
India,Delhi,3,5,1995,17.61111111111111
India,Delhi,3,6,1995,17.38888888888889
India,Delhi,3,7,1995,18.166666666666668
India,Delhi,3,8,1995,18.833333333333336
India,Delhi,3,9,1995,20.055555555555557
India,Delhi,3,10,1995,17.944444444444443
India,Delhi,3,11,1995,17.27777777777778
India,Delhi,3,12,1995,19.5
India,Delhi,3,13,1995,20.27777777777778
India,Delhi,3,14,1995,20.611111111111107
India,Delhi,3,15,1995,20.444444444444443
India,Delhi,3,16,1995,23.61111111111111
India,Delhi,3,17,1995,23.61111111111111
India,Delhi,3,18,1995,24.61111111111111
India,Delhi,3,19,1995,24.5
India,Delhi,3,20,1995,24.72222222222222
India,Delhi,3,21,1995,23.77777777777778
India,Delhi,3,22,1995,24.61111111111111
India,Delhi,3,23,1995,27.666666666666668
India,Delhi,3,24,1995,27.944444444444443
India,Delhi,3,25,1995,24.111111111111114
India,Delhi,3,26,1995,22.16666666666667
India,Delhi,3,27,1995,22.83333333333333
India,Delhi,3,28,1995,25.611111111111107
India,Delhi,3,29,1995,-72.77777777777777
India,Delhi,3,30,1995,23.277777777777786
India,Delhi,3,31,1995,22.88888888888889
India,Delhi,4,1,1995,23.833333333333336
India,Delhi,4,2,1995,23.833333333333336
India,Delhi,4,3,1995,23.5
India,Delhi,4,4,1995,24.166666666666668
India,Delhi,4,5,1995,25.611111111111107
India,Delhi,4,6,1995,25.72222222222222
India,Delhi,4,7,1995,27.0
India,Delhi,4,8,1995,27.77777777777778
India,Delhi,4,9,1995,28.944444444444443
India,Delhi,4,10,1995,29.38888888888889
India,Delhi,4,11,1995,27.16666666666667
India,Delhi,4,12,1995,26.444444444444443
India,Delhi,4,13,1995,25.944444444444443
India,Delhi,4,14,1995,28.277777777777786
India,Delhi,4,15,1995,29.38888888888889
India,Delhi,4,16,1995,30.22222222222222
India,Delhi,4,17,1995,30.11111111111111
India,Delhi,4,18,1995,28.277777777777786
India,Delhi,4,19,1995,29.05555555555556
India,Delhi,4,20,1995,26.5
India,Delhi,4,21,1995,26.944444444444443
India,Delhi,4,22,1995,29.88888888888889
India,Delhi,4,23,1995,29.88888888888889
India,Delhi,4,24,1995,31.05555555555556
India,Delhi,4,25,1995,32.44444444444444
India,Delhi,4,26,1995,31.83333333333333
India,Delhi,4,27,1995,30.55555555555556
India,Delhi,4,28,1995,32.05555555555556
India,Delhi,4,29,1995,32.22222222222222
India,Delhi,4,30,1995,33.833333333333336
India,Delhi,5,1,1995,32.666666666666664
India,Delhi,5,2,1995,30.5
India,Delhi,5,3,1995,32.5
India,Delhi,5,4,1995,31.88888888888889
India,Delhi,5,5,1995,31.666666666666668
India,Delhi,5,6,1995,30.83333333333333
India,Delhi,5,7,1995,33.5
India,Delhi,5,8,1995,32.0
India,Delhi,5,9,1995,33.55555555555556
