Country,City,Month,Day,Year,AvgTemperature
Ireland,Dublin,1,1,1995,1.277777777777776
Ireland,Dublin,1,2,1995,1.555555555555554
Ireland,Dublin,1,3,1995,4.500000000000001
Ireland,Dublin,1,4,1995,7.277777777777778
Ireland,Dublin,1,5,1995,7.944444444444443
Ireland,Dublin,1,6,1995,3.611111111111111
Ireland,Dublin,1,7,1995,9.77777777777778
Ireland,Dublin,1,8,1995,6.111111111111111
Ireland,Dublin,1,9,1995,8.11111111111111
Ireland,Dublin,1,10,1995,9.27777777777778
Ireland,Dublin,1,11,1995,3.777777777777776
Ireland,Dublin,1,12,1995,1.722222222222223
Ireland,Dublin,1,13,1995,7.166666666666667
Ireland,Dublin,1,14,1995,6.833333333333332
Ireland,Dublin,1,15,1995,7.444444444444445
Ireland,Dublin,1,16,1995,6.166666666666668
Ireland,Dublin,1,17,1995,4.944444444444444
Ireland,Dublin,1,18,1995,2.444444444444444
Ireland,Dublin,1,19,1995,1.833333333333332
Ireland,Dublin,1,20,1995,2.000000000000001
Ireland,Dublin,1,21,1995,3.277777777777777
Ireland,Dublin,1,22,1995,1.6666666666666667
Ireland,Dublin,1,23,1995,3.944444444444445
Ireland,Dublin,1,24,1995,3.055555555555556
Ireland,Dublin,1,25,1995,3.111111111111112
Ireland,Dublin,1,26,1995,1.5000000000000016
Ireland,Dublin,1,27,1995,4.833333333333335
Ireland,Dublin,1,28,1995,6.500000000000002
Ireland,Dublin,1,29,1995,5.444444444444443
Ireland,Dublin,1,30,1995,4.388888888888888
Ireland,Dublin,1,31,1995,10.166666666666664
Ireland,Dublin,2,1,1995,5.499999999999999
Ireland,Dublin,2,2,1995,4.888888888888888
Ireland,Dublin,2,3,1995,9.166666666666666
Ireland,Dublin,2,4,1995,8.333333333333334
Ireland,Dublin,2,5,1995,10.0
Ireland,Dublin,2,6,1995,10.055555555555555
Ireland,Dublin,2,7,1995,8.0
Ireland,Dublin,2,8,1995,4.166666666666667
Ireland,Dublin,2,9,1995,4.833333333333335
Ireland,Dublin,2,10,1995,6.500000000000002
Ireland,Dublin,2,11,1995,7.5
Ireland,Dublin,2,12,1995,6.944444444444445
Ireland,Dublin,2,13,1995,6.166666666666668
Ireland,Dublin,2,14,1995,6.944444444444445
Ireland,Dublin,2,15,1995,5.555555555555555
Ireland,Dublin,2,16,1995,4.222222222222223
Ireland,Dublin,2,17,1995,3.333333333333333
Ireland,Dublin,2,18,1995,5.055555555555556
Ireland,Dublin,2,19,1995,5.166666666666665
Ireland,Dublin,2,20,1995,5.1111111111111125
Ireland,Dublin,2,21,1995,3.722222222222224
Ireland,Dublin,2,22,1995,4.500000000000001
