Country,City,Month,Day,Year,AvgTemperature
Israel,Tel Aviv,1,1,1995,14.055555555555554
Israel,Tel Aviv,1,2,1995,13.38888888888889
Israel,Tel Aviv,1,3,1995,13.27777777777778
Israel,Tel Aviv,1,4,1995,13.833333333333334
Israel,Tel Aviv,1,5,1995,13.666666666666666
Israel,Tel Aviv,1,6,1995,14.5
Israel,Tel Aviv,1,7,1995,16.11111111111111
Israel,Tel Aviv,1,8,1995,14.27777777777778
Israel,Tel Aviv,1,9,1995,13.944444444444445
Israel,Tel Aviv,1,10,1995,15.0
Israel,Tel Aviv,1,11,1995,13.944444444444445
Israel,Tel Aviv,1,12,1995,12.555555555555555
Israel,Tel Aviv,1,13,1995,13.499999999999998
Israel,Tel Aviv,1,14,1995,14.61111111111111
Israel,Tel Aviv,1,15,1995,15.72222222222222
Israel,Tel Aviv,1,16,1995,13.61111111111111
Israel,Tel Aviv,1,17,1995,12.111111111111107
Israel,Tel Aviv,1,18,1995,11.333333333333334
Israel,Tel Aviv,1,19,1995,12.555555555555555
Israel,Tel Aviv,1,20,1995,12.22222222222222
Israel,Tel Aviv,1,21,1995,10.833333333333334
Israel,Tel Aviv,1,22,1995,13.0
Israel,Tel Aviv,1,23,1995,12.944444444444445
Israel,Tel Aviv,1,24,1995,13.444444444444446
Israel,Tel Aviv,1,25,1995,14.22222222222222
Israel,Tel Aviv,1,26,1995,13.722222222222223
Israel,Tel Aviv,1,27,1995,13.722222222222223
Israel,Tel Aviv,1,28,1995,13.88888888888889
Israel,Tel Aviv,1,29,1995,14.833333333333334
Israel,Tel Aviv,1,30,1995,14.22222222222222
Israel,Tel Aviv,1,31,1995,13.499999999999998
Israel,Tel Aviv,2,1,1995,14.77777777777778
Israel,Tel Aviv,2,2,1995,13.499999999999998
Israel,Tel Aviv,2,3,1995,13.555555555555555
Israel,Tel Aviv,2,4,1995,14.055555555555554
Israel,Tel Aviv,2,5,1995,13.666666666666666
Israel,Tel Aviv,2,6,1995,13.88888888888889
Israel,Tel Aviv,2,7,1995,12.555555555555555
Israel,Tel Aviv,2,8,1995,11.61111111111111
Israel,Tel Aviv,2,9,1995,12.5
Israel,Tel Aviv,2,10,1995,13.11111111111111
Israel,Tel Aviv,2,11,1995,13.499999999999998
Israel,Tel Aviv,2,12,1995,13.88888888888889
Israel,Tel Aviv,2,13,1995,17.666666666666668
Israel,Tel Aviv,2,14,1995,16.22222222222222
Israel,Tel Aviv,2,15,1995,14.61111111111111
Israel,Tel Aviv,2,16,1995,14.444444444444445
Israel,Tel Aviv,2,17,1995,14.61111111111111
Israel,Tel Aviv,2,18,1995,14.055555555555554
Israel,Tel Aviv,2,19,1995,14.11111111111111
Israel,Tel Aviv,2,20,1995,14.166666666666666
Israel,Tel Aviv,2,21,1995,13.944444444444445
Israel,Tel Aviv,2,22,1995,13.11111111111111
Israel,Tel Aviv,2,23,1995,14.77777777777778
Israel,Tel Aviv,2,24,1995,13.833333333333334
Israel,Tel Aviv,2,25,1995,13.944444444444445
Israel,Tel Aviv,2,26,1995,14.22222222222222
Israel,Tel Aviv,2,27,1995,13.88888888888889
Israel,Tel Aviv,2,28,1995,14.77777777777778
Israel,Tel Aviv,3,1,1995,14.22222222222222
Israel,Tel Aviv,3,2,1995,15.27777777777778
Israel,Tel Aviv,3,3,1995,20.27777777777778
Israel,Tel Aviv,3,4,1995,19.111111111111114
Israel,Tel Aviv,3,5,1995,17.83333333333333
Israel,Tel Aviv,3,6,1995,16.38888888888889
Israel,Tel Aviv,3,7,1995,16.333333333333332
Israel,Tel Aviv,3,8,1995,15.38888888888889
Israel,Tel Aviv,3,9,1995,15.11111111111111
Israel,Tel Aviv,3,10,1995,15.055555555555555
Israel,Tel Aviv,3,11,1995,14.38888888888889
Israel,Tel Aviv,3,12,1995,15.944444444444445
Israel,Tel Aviv,3,13,1995,14.61111111111111
Israel,Tel Aviv,3,14,1995,18.000000000000004
Israel,Tel Aviv,3,15,1995,19.77777777777777
Israel,Tel Aviv,3,16,1995,16.5
Israel,Tel Aviv,3,17,1995,16.5
Israel,Tel Aviv,3,18,1995,15.166666666666666
Israel,Tel Aviv,3,19,1995,16.333333333333332
Israel,Tel Aviv,3,20,1995,16.11111111111111
Israel,Tel Aviv,3,21,1995,17.333333333333332
Israel,Tel Aviv,3,22,1995,17.22222222222222
Israel,Tel Aviv,3,23,1995,17.72222222222222
Israel,Tel Aviv,3,24,1995,16.5
Israel,Tel Aviv,3,25,1995,13.0
Israel,Tel Aviv,3,26,1995,14.61111111111111
Israel,Tel Aviv,3,27,1995,15.77777777777778
Israel,Tel Aviv,3,28,1995,14.38888888888889
Israel,Tel Aviv,3,29,1995,15.666666666666666
Israel,Tel Aviv,3,30,1995,17.333333333333332
Israel,Tel Aviv,3,31,1995,16.666666666666668
Israel,Tel Aviv,4,1,1995,18.38888888888889
Israel,Tel Aviv,4,2,1995,15.444444444444445
