Country,City,Month,Day,Year,AvgTemperature
Japan,Tokyo,1,1,1995,6.111111111111111
Japan,Tokyo,1,2,1995,4.888888888888888
Japan,Tokyo,1,3,1995,6.277777777777776
Japan,Tokyo,1,4,1995,7.166666666666667
Japan,Tokyo,1,5,1995,8.666666666666666
Japan,Tokyo,1,6,1995,4.555555555555557
Japan,Tokyo,1,7,1995,8.277777777777779
Japan,Tokyo,1,8,1995,8.944444444444445
Japan,Tokyo,1,9,1995,12.77777777777778
Japan,Tokyo,1,10,1995,6.388888888888889
Japan,Tokyo,1,11,1995,6.4444444444444455
Japan,Tokyo,1,12,1995,6.0555555555555545
Japan,Tokyo,1,13,1995,6.166666666666668
Japan,Tokyo,1,14,1995,3.4999999999999982
Japan,Tokyo,1,15,1995,4.500000000000001
Japan,Tokyo,1,16,1995,4.333333333333332
Japan,Tokyo,1,17,1995,4.111111111111111
Japan,Tokyo,1,18,1995,6.388888888888889
Japan,Tokyo,1,19,1995,4.666666666666666
Japan,Tokyo,1,20,1995,4.888888888888888
Japan,Tokyo,1,21,1995,7.555555555555555
Japan,Tokyo,1,22,1995,6.611111111111111
Japan,Tokyo,1,23,1995,10.555555555555555
Japan,Tokyo,1,24,1995,7.555555555555555
Japan,Tokyo,1,25,1995,5.833333333333333
Japan,Tokyo,1,26,1995,7.222222222222222
Japan,Tokyo,1,27,1995,5.555555555555555
Japan,Tokyo,1,28,1995,5.888888888888889
Japan,Tokyo,1,29,1995,6.388888888888889
Japan,Tokyo,1,30,1995,3.555555555555555
Japan,Tokyo,1,31,1995,4.166666666666667
Japan,Tokyo,2,1,1995,5.1111111111111125
Japan,Tokyo,2,2,1995,6.388888888888889
Japan,Tokyo,2,3,1995,6.388888888888889
Japan,Tokyo,2,4,1995,3.944444444444445
Japan,Tokyo,2,5,1995,2.944444444444443
Japan,Tokyo,2,6,1995,5.7222222222222205
Japan,Tokyo,2,7,1995,6.111111111111111
Japan,Tokyo,2,8,1995,8.444444444444446
Japan,Tokyo,2,9,1995,7.833333333333333
Japan,Tokyo,2,10,1995,4.777777777777779
Japan,Tokyo,2,11,1995,5.777777777777777
Japan,Tokyo,2,12,1995,7.722222222222222
Japan,Tokyo,2,13,1995,8.61111111111111
Japan,Tokyo,2,14,1995,5.888888888888889
Japan,Tokyo,2,15,1995,7.055555555555557
Japan,Tokyo,2,16,1995,6.4444444444444455
Japan,Tokyo,2,17,1995,5.666666666666668
Japan,Tokyo,2,18,1995,7.277777777777778
Japan,Tokyo,2,19,1995,7.777777777777778
Japan,Tokyo,2,20,1995,6.555555555555554
Japan,Tokyo,2,21,1995,7.388888888888887
Japan,Tokyo,2,22,1995,7.333333333333335
Japan,Tokyo,2,23,1995,7.833333333333333
