Country,City,Month,Day,Year,AvgTemperature
Kenya,Nairobi,1,1,1995,-72.77777777777777
Kenya,Nairobi,1,2,1995,23.166666666666668
Kenya,Nairobi,1,3,1995,21.888888888888893
Kenya,Nairobi,1,4,1995,20.222222222222225
Kenya,Nairobi,1,5,1995,18.5
Kenya,Nairobi,1,6,1995,21.11111111111111
Kenya,Nairobi,1,7,1995,-72.77777777777777
Kenya,Nairobi,1,8,1995,-72.77777777777777
Kenya,Nairobi,1,9,1995,17.83333333333333
Kenya,Nairobi,1,10,1995,23.5
Kenya,Nairobi,1,11,1995,20.166666666666668
Kenya,Nairobi,1,12,1995,-72.77777777777777
Kenya,Nairobi,1,13,1995,20.83333333333333
Kenya,Nairobi,1,14,1995,-72.77777777777777
Kenya,Nairobi,1,15,1995,21.722222222222214
Kenya,Nairobi,1,16,1995,-72.77777777777777
Kenya,Nairobi,1,17,1995,19.27777777777778
Kenya,Nairobi,1,18,1995,-72.77777777777777
Kenya,Nairobi,1,19,1995,24.05555555555556
Kenya,Nairobi,1,20,1995,27.5
Kenya,Nairobi,1,21,1995,19.5
Kenya,Nairobi,1,22,1995,23.61111111111111
Kenya,Nairobi,1,23,1995,20.666666666666668
Kenya,Nairobi,1,24,1995,24.61111111111111
Kenya,Nairobi,1,25,1995,-72.77777777777777
Kenya,Nairobi,1,26,1995,23.05555555555556
Kenya,Nairobi,1,27,1995,21.0
Kenya,Nairobi,1,28,1995,20.222222222222225
Kenya,Nairobi,1,29,1995,23.33333333333333
Kenya,Nairobi,1,30,1995,22.77777777777778
Kenya,Nairobi,1,31,1995,25.38888888888889
Kenya,Nairobi,2,1,1995,19.166666666666668
Kenya,Nairobi,2,2,1995,22.444444444444446
Kenya,Nairobi,2,3,1995,17.5
Kenya,Nairobi,2,4,1995,24.55555555555556
Kenya,Nairobi,2,5,1995,-72.77777777777777
Kenya,Nairobi,2,6,1995,23.77777777777778
Kenya,Nairobi,2,7,1995,24.61111111111111
Kenya,Nairobi,2,8,1995,23.61111111111111
Kenya,Nairobi,2,9,1995,19.55555555555556
Kenya,Nairobi,2,10,1995,22.88888888888889
