Country,City,Month,Day,Year,AvgTemperature
Kuwait,Kuwait,1,1,1995,13.0
Kuwait,Kuwait,1,2,1995,13.444444444444446
Kuwait,Kuwait,1,3,1995,14.11111111111111
Kuwait,Kuwait,1,4,1995,13.444444444444446
Kuwait,Kuwait,1,5,1995,13.944444444444445
Kuwait,Kuwait,1,6,1995,13.777777777777777
Kuwait,Kuwait,1,7,1995,14.72222222222222
Kuwait,Kuwait,1,8,1995,15.27777777777778
Kuwait,Kuwait,1,9,1995,15.88888888888889
Kuwait,Kuwait,1,10,1995,15.944444444444445
Kuwait,Kuwait,1,11,1995,18.277777777777786
Kuwait,Kuwait,1,12,1995,18.38888888888889
Kuwait,Kuwait,1,13,1995,16.166666666666668
Kuwait,Kuwait,1,14,1995,13.166666666666668
Kuwait,Kuwait,1,15,1995,12.666666666666664
Kuwait,Kuwait,1,16,1995,14.944444444444445
Kuwait,Kuwait,1,17,1995,16.0
Kuwait,Kuwait,1,18,1995,14.666666666666666
Kuwait,Kuwait,1,19,1995,15.11111111111111
Kuwait,Kuwait,1,20,1995,12.72222222222222
Kuwait,Kuwait,1,21,1995,13.38888888888889
Kuwait,Kuwait,1,22,1995,13.0
Kuwait,Kuwait,1,23,1995,11.555555555555554
Kuwait,Kuwait,1,24,1995,13.722222222222223
Kuwait,Kuwait,1,25,1995,10.77777777777778
Kuwait,Kuwait,1,26,1995,11.72222222222222
Kuwait,Kuwait,1,27,1995,12.944444444444445
Kuwait,Kuwait,1,28,1995,13.666666666666666
Kuwait,Kuwait,1,29,1995,13.055555555555555
Kuwait,Kuwait,1,30,1995,14.666666666666666
Kuwait,Kuwait,1,31,1995,14.944444444444445
Kuwait,Kuwait,2,1,1995,16.666666666666668
Kuwait,Kuwait,2,2,1995,14.944444444444445
Kuwait,Kuwait,2,3,1995,15.11111111111111
Kuwait,Kuwait,2,4,1995,15.944444444444445
Kuwait,Kuwait,2,5,1995,15.444444444444445
Kuwait,Kuwait,2,6,1995,15.166666666666666
Kuwait,Kuwait,2,7,1995,15.055555555555555
Kuwait,Kuwait,2,8,1995,15.5
Kuwait,Kuwait,2,9,1995,12.833333333333334
Kuwait,Kuwait,2,10,1995,12.5
Kuwait,Kuwait,2,11,1995,13.38888888888889
Kuwait,Kuwait,2,12,1995,14.22222222222222
Kuwait,Kuwait,2,13,1995,14.000000000000002
Kuwait,Kuwait,2,14,1995,15.22222222222222
Kuwait,Kuwait,2,15,1995,17.5
Kuwait,Kuwait,2,16,1995,15.88888888888889
Kuwait,Kuwait,2,17,1995,15.555555555555555
Kuwait,Kuwait,2,18,1995,15.055555555555555
Kuwait,Kuwait,2,19,1995,15.22222222222222
Kuwait,Kuwait,2,20,1995,15.666666666666666
Kuwait,Kuwait,2,21,1995,15.0
Kuwait,Kuwait,2,22,1995,15.833333333333334
Kuwait,Kuwait,2,23,1995,16.666666666666668
Kuwait,Kuwait,2,24,1995,15.11111111111111
Kuwait,Kuwait,2,25,1995,15.055555555555555
Kuwait,Kuwait,2,26,1995,14.11111111111111
Kuwait,Kuwait,2,27,1995,15.61111111111111
Kuwait,Kuwait,2,28,1995,16.22222222222222
Kuwait,Kuwait,3,1,1995,15.333333333333334
Kuwait,Kuwait,3,2,1995,15.38888888888889
Kuwait,Kuwait,3,3,1995,15.27777777777778
Kuwait,Kuwait,3,4,1995,17.27777777777778
Kuwait,Kuwait,3,5,1995,18.444444444444443
Kuwait,Kuwait,3,6,1995,18.277777777777786
Kuwait,Kuwait,3,7,1995,20.83333333333333
Kuwait,Kuwait,3,8,1995,19.83333333333333
Kuwait,Kuwait,3,9,1995,20.0
Kuwait,Kuwait,3,10,1995,21.38888888888889
Kuwait,Kuwait,3,11,1995,20.666666666666668
Kuwait,Kuwait,3,12,1995,20.38888888888889
Kuwait,Kuwait,3,13,1995,19.5
Kuwait,Kuwait,3,14,1995,18.166666666666668
Kuwait,Kuwait,3,15,1995,18.72222222222222
Kuwait,Kuwait,3,16,1995,20.611111111111107
Kuwait,Kuwait,3,17,1995,20.944444444444443
Kuwait,Kuwait,3,18,1995,18.55555555555556
Kuwait,Kuwait,3,19,1995,20.38888888888889
Kuwait,Kuwait,3,20,1995,18.38888888888889
Kuwait,Kuwait,3,21,1995,17.333333333333332
Kuwait,Kuwait,3,22,1995,19.33333333333333
Kuwait,Kuwait,3,23,1995,21.444444444444443
Kuwait,Kuwait,3,24,1995,21.83333333333333
Kuwait,Kuwait,3,25,1995,24.77777777777777
Kuwait,Kuwait,3,26,1995,20.444444444444443
Kuwait,Kuwait,3,27,1995,16.833333333333332
Kuwait,Kuwait,3,28,1995,17.166666666666668
Kuwait,Kuwait,3,29,1995,18.166666666666668
Kuwait,Kuwait,3,30,1995,19.27777777777778
Kuwait,Kuwait,3,31,1995,22.444444444444446
Kuwait,Kuwait,4,1,1995,23.38888888888889
Kuwait,Kuwait,4,2,1995,24.33333333333333
Kuwait,Kuwait,4,3,1995,24.5
Kuwait,Kuwait,4,4,1995,27.38888888888889
Kuwait,Kuwait,4,5,1995,19.33333333333333
Kuwait,Kuwait,4,6,1995,19.444444444444443
Kuwait,Kuwait,4,7,1995,21.0
Kuwait,Kuwait,4,8,1995,22.05555555555556
Kuwait,Kuwait,4,9,1995,21.55555555555556
Kuwait,Kuwait,4,10,1995,25.444444444444443
Kuwait,Kuwait,4,11,1995,25.72222222222222
Kuwait,Kuwait,4,12,1995,23.166666666666668
Kuwait,Kuwait,4,13,1995,24.111111111111114
Kuwait,Kuwait,4,14,1995,26.944444444444443
Kuwait,Kuwait,4,15,1995,26.83333333333333
Kuwait,Kuwait,4,16,1995,25.38888888888889
Kuwait,Kuwait,4,17,1995,24.72222222222222
Kuwait,Kuwait,4,18,1995,26.722222222222214
Kuwait,Kuwait,4,19,1995,27.61111111111111
Kuwait,Kuwait,4,20,1995,25.222222222222225
Kuwait,Kuwait,4,21,1995,25.166666666666668
Kuwait,Kuwait,4,22,1995,26.05555555555556
Kuwait,Kuwait,4,23,1995,22.88888888888889
Kuwait,Kuwait,4,24,1995,24.5
Kuwait,Kuwait,4,25,1995,25.166666666666668
Kuwait,Kuwait,4,26,1995,25.11111111111111
Kuwait,Kuwait,4,27,1995,25.88888888888889
Kuwait,Kuwait,4,28,1995,27.666666666666668
Kuwait,Kuwait,4,29,1995,27.61111111111111
Kuwait,Kuwait,4,30,1995,29.05555555555556
Kuwait,Kuwait,5,1,1995,30.5
Kuwait,Kuwait,5,2,1995,31.11111111111111
Kuwait,Kuwait,5,3,1995,32.55555555555556
Kuwait,Kuwait,5,4,1995,31.83333333333333
Kuwait,Kuwait,5,5,1995,32.44444444444444
Kuwait,Kuwait,5,6,1995,33.94444444444444
Kuwait,Kuwait,5,7,1995,31.55555555555556
Kuwait,Kuwait,5,8,1995,30.444444444444443
Kuwait,Kuwait,5,9,1995,27.16666666666667
Kuwait,Kuwait,5,10,1995,27.77777777777778
Kuwait,Kuwait,5,11,1995,29.27777777777778
Kuwait,Kuwait,5,12,1995,29.5
Kuwait,Kuwait,5,13,1995,31.11111111111111
Kuwait,Kuwait,5,14,1995,30.88888888888889
Kuwait,Kuwait,5,15,1995,31.88888888888889
Kuwait,Kuwait,5,16,1995,32.111111111111114
Kuwait,Kuwait,5,17,1995,32.388888888888886
Kuwait,Kuwait,5,18,1995,32.333333333333336
Kuwait,Kuwait,5,19,1995,32.05555555555556
Kuwait,Kuwait,5,20,1995,33.55555555555556
Kuwait,Kuwait,5,21,1995,36.05555555555556
Kuwait,Kuwait,5,22,1995,36.388888888888886
Kuwait,Kuwait,5,23,1995,36.5
Kuwait,Kuwait,5,24,1995,33.5
Kuwait,Kuwait,5,25,1995,31.88888888888889
