Country,City,Month,Day,Year,AvgTemperature
Kyrgyzstan,Bishkek,12,1,1997,4.61111111111111
Kyrgyzstan,Bishkek,12,2,1997,1.833333333333332
Kyrgyzstan,Bishkek,12,3,1997,-3.2222222222222228
Kyrgyzstan,Bishkek,12,4,1997,-10.11111111111111
Kyrgyzstan,Bishkek,12,5,1997,-10.22222222222222
Kyrgyzstan,Bishkek,12,6,1997,-8.944444444444445
Kyrgyzstan,Bishkek,12,7,1997,-0.3888888888888885
Kyrgyzstan,Bishkek,12,8,1997,2.555555555555556
Kyrgyzstan,Bishkek,12,9,1997,4.222222222222223
Kyrgyzstan,Bishkek,12,10,1997,1.7777777777777797
Kyrgyzstan,Bishkek,12,11,1997,6.611111111111111
Kyrgyzstan,Bishkek,12,12,1997,3.555555555555555
Kyrgyzstan,Bishkek,12,13,1997,1.722222222222223
Kyrgyzstan,Bishkek,12,14,1997,5.499999999999999
Kyrgyzstan,Bishkek,12,15,1997,3.777777777777776
Kyrgyzstan,Bishkek,12,16,1997,4.944444444444444
Kyrgyzstan,Bishkek,12,17,1997,2.055555555555557
Kyrgyzstan,Bishkek,12,18,1997,-8.5
Kyrgyzstan,Bishkek,12,19,1997,-4.444444444444445
Kyrgyzstan,Bishkek,12,20,1997,-0.8333333333333334
Kyrgyzstan,Bishkek,12,21,1997,-2.000000000000001
Kyrgyzstan,Bishkek,12,22,1997,0.4444444444444428
Kyrgyzstan,Bishkek,12,23,1997,-8.055555555555555
Kyrgyzstan,Bishkek,12,24,1997,-13.5
Kyrgyzstan,Bishkek,12,25,1997,-10.27777777777778
Kyrgyzstan,Bishkek,12,26,1997,0.4444444444444428
Kyrgyzstan,Bishkek,12,27,1997,-2.444444444444444
Kyrgyzstan,Bishkek,12,28,1997,-1.555555555555556
Kyrgyzstan,Bishkek,12,29,1997,-2.166666666666666
Kyrgyzstan,Bishkek,12,30,1997,-4.166666666666667
Kyrgyzstan,Bishkek,12,31,1997,-5.0
Kyrgyzstan,Bishkek,1,1,1998,1.4444444444444453
Kyrgyzstan,Bishkek,1,2,1998,-3.944444444444445
Kyrgyzstan,Bishkek,1,3,1998,2.8888888888888906
Kyrgyzstan,Bishkek,1,4,1998,0.8888888888888897
Kyrgyzstan,Bishkek,1,5,1998,-3.7222222222222223
Kyrgyzstan,Bishkek,1,6,1998,-2.999999999999999
Kyrgyzstan,Bishkek,1,7,1998,0.2777777777777778
Kyrgyzstan,Bishkek,1,8,1998,-1.0000000000000004
Kyrgyzstan,Bishkek,1,9,1998,-2.055555555555556
Kyrgyzstan,Bishkek,1,10,1998,-6.0
Kyrgyzstan,Bishkek,1,11,1998,-6.111111111111111
Kyrgyzstan,Bishkek,1,12,1998,-1.4999999999999996
Kyrgyzstan,Bishkek,1,13,1998,-72.77777777777777
Kyrgyzstan,Bishkek,1,14,1998,-3.2222222222222228
Kyrgyzstan,Bishkek,1,15,1998,-1.0000000000000004
Kyrgyzstan,Bishkek,1,16,1998,-2.722222222222221
Kyrgyzstan,Bishkek,1,17,1998,-2.666666666666667
Kyrgyzstan,Bishkek,1,18,1998,-3.5000000000000004
Kyrgyzstan,Bishkek,1,19,1998,-2.999999999999999
Kyrgyzstan,Bishkek,1,20,1998,-4.777777777777779
Kyrgyzstan,Bishkek,1,21,1998,-5.666666666666667
Kyrgyzstan,Bishkek,1,22,1998,-6.5
Kyrgyzstan,Bishkek,1,23,1998,-10.0
Kyrgyzstan,Bishkek,1,24,1998,-6.277777777777778
Kyrgyzstan,Bishkek,1,25,1998,-2.555555555555556
Kyrgyzstan,Bishkek,1,26,1998,-3.555555555555555
Kyrgyzstan,Bishkek,1,27,1998,-1.1111111111111112
Kyrgyzstan,Bishkek,1,28,1998,0.3888888888888904
Kyrgyzstan,Bishkek,1,29,1998,0.166666666666665
Kyrgyzstan,Bishkek,1,30,1998,-0.777777777777777
Kyrgyzstan,Bishkek,1,31,1998,2.666666666666665
Kyrgyzstan,Bishkek,2,1,1998,1.6111111111111105
Kyrgyzstan,Bishkek,2,2,1998,-1.3333333333333326
Kyrgyzstan,Bishkek,2,3,1998,2.055555555555557
Kyrgyzstan,Bishkek,2,4,1998,-0.8888888888888897
Kyrgyzstan,Bishkek,2,5,1998,2.555555555555556
Kyrgyzstan,Bishkek,2,6,1998,2.944444444444443
Kyrgyzstan,Bishkek,2,7,1998,5.38888888888889
Kyrgyzstan,Bishkek,2,8,1998,6.500000000000002
Kyrgyzstan,Bishkek,2,9,1998,5.499999999999999
Kyrgyzstan,Bishkek,2,10,1998,-1.1111111111111112
Kyrgyzstan,Bishkek,2,11,1998,-72.77777777777777
Kyrgyzstan,Bishkek,2,12,1998,-72.77777777777777
Kyrgyzstan,Bishkek,2,13,1998,-0.6111111111111119
Kyrgyzstan,Bishkek,2,14,1998,1.1111111111111112
Kyrgyzstan,Bishkek,2,15,1998,2.5
Kyrgyzstan,Bishkek,2,16,1998,-7.111111111111111
