Country,City,Month,Day,Year,AvgTemperature
Laos,Vientiane,1,1,1995,26.38888888888889
Laos,Vientiane,1,2,1995,25.444444444444443
Laos,Vientiane,1,3,1995,25.88888888888889
Laos,Vientiane,1,4,1995,24.944444444444446
Laos,Vientiane,1,5,1995,21.888888888888893
Laos,Vientiane,1,6,1995,18.61111111111111
Laos,Vientiane,1,7,1995,21.22222222222222
Laos,Vientiane,1,8,1995,22.38888888888889
Laos,Vientiane,1,9,1995,21.888888888888893
Laos,Vientiane,1,10,1995,24.166666666666668
Laos,Vientiane,1,11,1995,25.611111111111107
Laos,Vientiane,1,12,1995,27.0
Laos,Vientiane,1,13,1995,26.0
Laos,Vientiane,1,14,1995,24.166666666666668
Laos,Vientiane,1,15,1995,23.22222222222222
Laos,Vientiane,1,16,1995,23.5
Laos,Vientiane,1,17,1995,22.61111111111111
Laos,Vientiane,1,18,1995,24.88888888888889
Laos,Vientiane,1,19,1995,25.33333333333333
Laos,Vientiane,1,20,1995,25.11111111111111
Laos,Vientiane,1,21,1995,25.38888888888889
Laos,Vientiane,1,22,1995,24.77777777777777
Laos,Vientiane,1,23,1995,27.27777777777777
Laos,Vientiane,1,24,1995,27.666666666666668
Laos,Vientiane,1,25,1995,23.22222222222222
Laos,Vientiane,1,26,1995,26.444444444444443
Laos,Vientiane,1,27,1995,26.0
Laos,Vientiane,1,28,1995,23.277777777777786
Laos,Vientiane,1,29,1995,19.222222222222214
Laos,Vientiane,1,30,1995,25.0
Laos,Vientiane,1,31,1995,24.111111111111114
Laos,Vientiane,2,1,1995,21.666666666666668
Laos,Vientiane,2,2,1995,20.444444444444443
Laos,Vientiane,2,3,1995,22.5
Laos,Vientiane,2,4,1995,22.22222222222222
Laos,Vientiane,2,5,1995,20.222222222222225
Laos,Vientiane,2,6,1995,20.27777777777778
Laos,Vientiane,2,7,1995,23.000000000000004
Laos,Vientiane,2,8,1995,22.0
Laos,Vientiane,2,9,1995,22.88888888888889
Laos,Vientiane,2,10,1995,24.83333333333333
Laos,Vientiane,2,11,1995,25.500000000000004
Laos,Vientiane,2,12,1995,26.611111111111114
Laos,Vientiane,2,13,1995,27.83333333333333
Laos,Vientiane,2,14,1995,27.38888888888889
Laos,Vientiane,2,15,1995,28.111111111111107
Laos,Vientiane,2,16,1995,27.722222222222225
Laos,Vientiane,2,17,1995,27.38888888888889
Laos,Vientiane,2,18,1995,28.000000000000004
Laos,Vientiane,2,19,1995,27.88888888888889
Laos,Vientiane,2,20,1995,27.61111111111111
Laos,Vientiane,2,21,1995,28.166666666666668
Laos,Vientiane,2,22,1995,28.88888888888889
Laos,Vientiane,2,23,1995,25.72222222222222
Laos,Vientiane,2,24,1995,27.27777777777777
Laos,Vientiane,2,25,1995,27.33333333333333
Laos,Vientiane,2,26,1995,25.444444444444443
Laos,Vientiane,2,27,1995,26.722222222222214
Laos,Vientiane,2,28,1995,26.83333333333333
Laos,Vientiane,3,1,1995,27.722222222222225
Laos,Vientiane,3,2,1995,29.11111111111111
Laos,Vientiane,3,3,1995,28.88888888888889
Laos,Vientiane,3,4,1995,25.222222222222225
Laos,Vientiane,3,5,1995,23.88888888888889
Laos,Vientiane,3,6,1995,26.83333333333333
Laos,Vientiane,3,7,1995,29.55555555555556
Laos,Vientiane,3,8,1995,31.666666666666668
Laos,Vientiane,3,9,1995,31.0
Laos,Vientiane,3,10,1995,30.166666666666668
Laos,Vientiane,3,11,1995,32.611111111111114
Laos,Vientiane,3,12,1995,32.388888888888886
Laos,Vientiane,3,13,1995,32.0
Laos,Vientiane,3,14,1995,31.77777777777778
Laos,Vientiane,3,15,1995,33.111111111111114
Laos,Vientiane,3,16,1995,31.77777777777778
Laos,Vientiane,3,17,1995,33.666666666666664
Laos,Vientiane,3,18,1995,30.38888888888889
Laos,Vientiane,3,19,1995,25.666666666666668
Laos,Vientiane,3,20,1995,28.5
Laos,Vientiane,3,21,1995,30.72222222222222
Laos,Vientiane,3,22,1995,31.11111111111111
Laos,Vientiane,3,23,1995,31.88888888888889
Laos,Vientiane,3,24,1995,32.166666666666664
Laos,Vientiane,3,25,1995,28.88888888888889
Laos,Vientiane,3,26,1995,23.77777777777778
Laos,Vientiane,3,27,1995,28.000000000000004
Laos,Vientiane,3,28,1995,29.38888888888889
Laos,Vientiane,3,29,1995,31.0
Laos,Vientiane,3,30,1995,31.0
Laos,Vientiane,3,31,1995,32.22222222222222
Laos,Vientiane,4,1,1995,32.27777777777778
Laos,Vientiane,4,2,1995,34.0
Laos,Vientiane,4,3,1995,30.83333333333333
Laos,Vientiane,4,4,1995,26.27777777777778
Laos,Vientiane,4,5,1995,30.0
Laos,Vientiane,4,6,1995,30.11111111111111
Laos,Vientiane,4,7,1995,27.0
Laos,Vientiane,4,8,1995,28.000000000000004
