Country,City,Month,Day,Year,AvgTemperature
Mozambique,Maputo,1,1,1995,27.27777777777777
Mozambique,Maputo,1,2,1995,26.166666666666664
Mozambique,Maputo,1,3,1995,27.22222222222222
Mozambique,Maputo,1,4,1995,26.55555555555556
Mozambique,Maputo,1,5,1995,27.11111111111111
Mozambique,Maputo,1,6,1995,27.77777777777778
Mozambique,Maputo,1,7,1995,28.22222222222222
Mozambique,Maputo,1,8,1995,27.61111111111111
Mozambique,Maputo,1,9,1995,22.555555555555557
Mozambique,Maputo,1,10,1995,22.16666666666667
Mozambique,Maputo,1,11,1995,26.888888888888893
Mozambique,Maputo,1,12,1995,26.722222222222214
Mozambique,Maputo,1,13,1995,27.555555555555557
Mozambique,Maputo,1,14,1995,28.444444444444443
Mozambique,Maputo,1,15,1995,26.166666666666664
Mozambique,Maputo,1,16,1995,26.05555555555556
Mozambique,Maputo,1,17,1995,26.722222222222214
Mozambique,Maputo,1,18,1995,26.722222222222214
Mozambique,Maputo,1,19,1995,25.222222222222225
Mozambique,Maputo,1,20,1995,23.33333333333333
Mozambique,Maputo,1,21,1995,23.88888888888889
Mozambique,Maputo,1,22,1995,24.27777777777778
Mozambique,Maputo,1,23,1995,25.055555555555557
Mozambique,Maputo,1,24,1995,26.666666666666668
Mozambique,Maputo,1,25,1995,27.5
Mozambique,Maputo,1,26,1995,27.944444444444443
Mozambique,Maputo,1,27,1995,28.72222222222222
Mozambique,Maputo,1,28,1995,31.5
Mozambique,Maputo,1,29,1995,29.666666666666668
Mozambique,Maputo,1,30,1995,28.72222222222222
Mozambique,Maputo,1,31,1995,26.5
Mozambique,Maputo,2,1,1995,-72.77777777777777
Mozambique,Maputo,2,2,1995,26.888888888888893
Mozambique,Maputo,2,3,1995,26.944444444444443
Mozambique,Maputo,2,4,1995,27.77777777777778
Mozambique,Maputo,2,5,1995,28.77777777777778
Mozambique,Maputo,2,6,1995,28.83333333333333
Mozambique,Maputo,2,7,1995,29.444444444444443
Mozambique,Maputo,2,8,1995,28.5
Mozambique,Maputo,2,9,1995,25.72222222222222
Mozambique,Maputo,2,10,1995,25.11111111111111
Mozambique,Maputo,2,11,1995,25.777777777777786
Mozambique,Maputo,2,12,1995,26.666666666666668
Mozambique,Maputo,2,13,1995,24.61111111111111
Mozambique,Maputo,2,14,1995,26.83333333333333
Mozambique,Maputo,2,15,1995,24.72222222222222
Mozambique,Maputo,2,16,1995,26.55555555555556
Mozambique,Maputo,2,17,1995,25.166666666666668
Mozambique,Maputo,2,18,1995,26.5
Mozambique,Maputo,2,19,1995,25.55555555555556
Mozambique,Maputo,2,20,1995,26.11111111111111
Mozambique,Maputo,2,21,1995,27.33333333333333
Mozambique,Maputo,2,22,1995,25.55555555555556
Mozambique,Maputo,2,23,1995,25.500000000000004
Mozambique,Maputo,2,24,1995,26.55555555555556
Mozambique,Maputo,2,25,1995,25.11111111111111
Mozambique,Maputo,2,26,1995,27.27777777777777
Mozambique,Maputo,2,27,1995,28.05555555555556
Mozambique,Maputo,2,28,1995,28.277777777777786
Mozambique,Maputo,3,1,1995,27.5
Mozambique,Maputo,3,2,1995,26.166666666666664
Mozambique,Maputo,3,3,1995,27.16666666666667
Mozambique,Maputo,3,4,1995,28.277777777777786
Mozambique,Maputo,3,5,1995,26.05555555555556
Mozambique,Maputo,3,6,1995,26.666666666666668
Mozambique,Maputo,3,7,1995,25.72222222222222
Mozambique,Maputo,3,8,1995,27.11111111111111
Mozambique,Maputo,3,9,1995,26.11111111111111
Mozambique,Maputo,3,10,1995,24.61111111111111
Mozambique,Maputo,3,11,1995,24.33333333333333
Mozambique,Maputo,3,12,1995,26.166666666666664
Mozambique,Maputo,3,13,1995,25.38888888888889
Mozambique,Maputo,3,14,1995,24.66666666666667
Mozambique,Maputo,3,15,1995,24.444444444444443
Mozambique,Maputo,3,16,1995,24.66666666666667
Mozambique,Maputo,3,17,1995,26.38888888888889
Mozambique,Maputo,3,18,1995,26.888888888888893
Mozambique,Maputo,3,19,1995,27.88888888888889
Mozambique,Maputo,3,20,1995,26.55555555555556
Mozambique,Maputo,3,21,1995,24.72222222222222
Mozambique,Maputo,3,22,1995,25.666666666666668
Mozambique,Maputo,3,23,1995,26.22222222222222
Mozambique,Maputo,3,24,1995,24.222222222222214
Mozambique,Maputo,3,25,1995,23.833333333333336
Mozambique,Maputo,3,26,1995,26.38888888888889
Mozambique,Maputo,3,27,1995,25.83333333333333
Mozambique,Maputo,3,28,1995,22.83333333333333
Mozambique,Maputo,3,29,1995,24.83333333333333
Mozambique,Maputo,3,30,1995,28.55555555555556
Mozambique,Maputo,3,31,1995,25.444444444444443
Mozambique,Maputo,4,1,1995,24.111111111111114
Mozambique,Maputo,4,2,1995,24.83333333333333
Mozambique,Maputo,4,3,1995,24.61111111111111
Mozambique,Maputo,4,4,1995,24.72222222222222
Mozambique,Maputo,4,5,1995,24.61111111111111
Mozambique,Maputo,4,6,1995,24.27777777777778
Mozambique,Maputo,4,7,1995,24.944444444444446
Mozambique,Maputo,4,8,1995,24.83333333333333
Mozambique,Maputo,4,9,1995,25.83333333333333
Mozambique,Maputo,4,10,1995,22.77777777777778
Mozambique,Maputo,4,11,1995,20.83333333333333
Mozambique,Maputo,4,12,1995,19.88888888888889
Mozambique,Maputo,4,13,1995,23.277777777777786
Mozambique,Maputo,4,14,1995,24.944444444444446
