Country,City,Month,Day,Year,AvgTemperature
Namibia,Windhoek,1,1,1995,23.72222222222222
Namibia,Windhoek,1,2,1995,27.11111111111111
Namibia,Windhoek,1,3,1995,25.611111111111107
Namibia,Windhoek,1,4,1995,26.77777777777778
Namibia,Windhoek,1,5,1995,-72.77777777777777
Namibia,Windhoek,1,6,1995,-72.77777777777777
Namibia,Windhoek,1,7,1995,29.38888888888889
Namibia,Windhoek,1,8,1995,31.27777777777778
Namibia,Windhoek,1,9,1995,28.944444444444443
Namibia,Windhoek,1,10,1995,26.5
Namibia,Windhoek,1,11,1995,20.611111111111107
Namibia,Windhoek,1,12,1995,19.33333333333333
Namibia,Windhoek,1,13,1995,20.33333333333333
Namibia,Windhoek,1,14,1995,23.277777777777786
Namibia,Windhoek,1,15,1995,24.944444444444446
Namibia,Windhoek,1,16,1995,26.77777777777778
Namibia,Windhoek,1,17,1995,26.77777777777778
Namibia,Windhoek,1,18,1995,24.72222222222222
Namibia,Windhoek,1,19,1995,24.222222222222214
Namibia,Windhoek,1,20,1995,25.38888888888889
Namibia,Windhoek,1,21,1995,23.944444444444443
Namibia,Windhoek,1,22,1995,26.944444444444443
Namibia,Windhoek,1,23,1995,29.72222222222222
Namibia,Windhoek,1,24,1995,26.611111111111114
Namibia,Windhoek,1,25,1995,28.83333333333333
Namibia,Windhoek,1,26,1995,28.22222222222222
Namibia,Windhoek,1,27,1995,26.888888888888893
Namibia,Windhoek,1,28,1995,-72.77777777777777
Namibia,Windhoek,1,29,1995,28.77777777777778
Namibia,Windhoek,1,30,1995,-72.77777777777777
Namibia,Windhoek,1,31,1995,-72.77777777777777
Namibia,Windhoek,2,1,1995,28.111111111111107
Namibia,Windhoek,2,2,1995,25.611111111111107
Namibia,Windhoek,2,3,1995,27.83333333333333
Namibia,Windhoek,2,4,1995,25.0
Namibia,Windhoek,2,5,1995,26.83333333333333
Namibia,Windhoek,2,6,1995,26.11111111111111
Namibia,Windhoek,2,7,1995,24.166666666666668
Namibia,Windhoek,2,8,1995,23.277777777777786
Namibia,Windhoek,2,9,1995,23.38888888888889
Namibia,Windhoek,2,10,1995,22.16666666666667
Namibia,Windhoek,2,11,1995,24.111111111111114
Namibia,Windhoek,2,12,1995,25.88888888888889
Namibia,Windhoek,2,13,1995,24.05555555555556
Namibia,Windhoek,2,14,1995,19.111111111111114
Namibia,Windhoek,2,15,1995,19.83333333333333
Namibia,Windhoek,2,16,1995,20.88888888888889
Namibia,Windhoek,2,17,1995,22.22222222222222
Namibia,Windhoek,2,18,1995,24.5
Namibia,Windhoek,2,19,1995,25.88888888888889
Namibia,Windhoek,2,20,1995,23.88888888888889
Namibia,Windhoek,2,21,1995,25.055555555555557
Namibia,Windhoek,2,22,1995,25.055555555555557
Namibia,Windhoek,2,23,1995,24.55555555555556
Namibia,Windhoek,2,24,1995,25.72222222222222
Namibia,Windhoek,2,25,1995,22.38888888888889
Namibia,Windhoek,2,26,1995,22.83333333333333
Namibia,Windhoek,2,27,1995,-72.77777777777777
Namibia,Windhoek,2,28,1995,20.38888888888889
Namibia,Windhoek,3,1,1995,23.05555555555556
Namibia,Windhoek,3,2,1995,23.000000000000004
Namibia,Windhoek,3,3,1995,19.66666666666667
Namibia,Windhoek,3,4,1995,21.944444444444443
Namibia,Windhoek,3,5,1995,24.166666666666668
Namibia,Windhoek,3,6,1995,24.66666666666667
Namibia,Windhoek,3,7,1995,21.0
Namibia,Windhoek,3,8,1995,21.22222222222222
Namibia,Windhoek,3,9,1995,21.0
Namibia,Windhoek,3,10,1995,19.222222222222214
Namibia,Windhoek,3,11,1995,21.11111111111111
Namibia,Windhoek,3,12,1995,20.27777777777778
Namibia,Windhoek,3,13,1995,19.77777777777777
Namibia,Windhoek,3,14,1995,21.38888888888889
Namibia,Windhoek,3,15,1995,22.77777777777778
Namibia,Windhoek,3,16,1995,23.22222222222222
Namibia,Windhoek,3,17,1995,23.61111111111111
Namibia,Windhoek,3,18,1995,22.5
Namibia,Windhoek,3,19,1995,24.166666666666668
Namibia,Windhoek,3,20,1995,22.83333333333333
Namibia,Windhoek,3,21,1995,24.72222222222222
Namibia,Windhoek,3,22,1995,21.38888888888889
Namibia,Windhoek,3,23,1995,16.72222222222222
Namibia,Windhoek,3,24,1995,19.55555555555556
Namibia,Windhoek,3,25,1995,18.5
Namibia,Windhoek,3,26,1995,18.77777777777778
Namibia,Windhoek,3,27,1995,17.72222222222222
Namibia,Windhoek,3,28,1995,22.27777777777777
Namibia,Windhoek,3,29,1995,22.0
Namibia,Windhoek,3,30,1995,22.77777777777778
Namibia,Windhoek,3,31,1995,20.72222222222222
Namibia,Windhoek,4,1,1995,21.0
Namibia,Windhoek,4,2,1995,20.88888888888889
Namibia,Windhoek,4,3,1995,18.277777777777786
Namibia,Windhoek,4,4,1995,21.666666666666668
Namibia,Windhoek,4,5,1995,21.166666666666664
Namibia,Windhoek,4,6,1995,20.27777777777778
Namibia,Windhoek,4,7,1995,21.22222222222222
Namibia,Windhoek,4,8,1995,21.888888888888893
Namibia,Windhoek,4,9,1995,20.666666666666668
Namibia,Windhoek,4,10,1995,21.22222222222222
Namibia,Windhoek,4,11,1995,21.333333333333336
Namibia,Windhoek,4,12,1995,21.0
Namibia,Windhoek,4,13,1995,21.38888888888889
Namibia,Windhoek,4,14,1995,21.722222222222214
Namibia,Windhoek,4,15,1995,21.666666666666668
Namibia,Windhoek,4,16,1995,22.77777777777778
Namibia,Windhoek,4,17,1995,22.0
Namibia,Windhoek,4,18,1995,22.61111111111111
Namibia,Windhoek,4,19,1995,22.05555555555556
Namibia,Windhoek,4,20,1995,21.11111111111111
Namibia,Windhoek,4,21,1995,18.88888888888889
Namibia,Windhoek,4,22,1995,18.77777777777778
Namibia,Windhoek,4,23,1995,17.333333333333332
Namibia,Windhoek,4,24,1995,15.5
Namibia,Windhoek,4,25,1995,16.11111111111111
Namibia,Windhoek,4,26,1995,19.61111111111111
Namibia,Windhoek,4,27,1995,19.61111111111111
Namibia,Windhoek,4,28,1995,21.77777777777778
Namibia,Windhoek,4,29,1995,20.83333333333333
Namibia,Windhoek,4,30,1995,19.388888888888893
Namibia,Windhoek,5,1,1995,19.88888888888889
Namibia,Windhoek,5,2,1995,21.722222222222214
Namibia,Windhoek,5,3,1995,21.22222222222222
Namibia,Windhoek,5,4,1995,20.88888888888889
