Country,City,Month,Day,Year,AvgTemperature
New Zealand,Auckland,1,1,1995,17.555555555555557
New Zealand,Auckland,1,2,1995,17.666666666666668
New Zealand,Auckland,1,3,1995,15.11111111111111
New Zealand,Auckland,1,4,1995,16.22222222222222
New Zealand,Auckland,1,5,1995,17.77777777777778
New Zealand,Auckland,1,6,1995,16.72222222222222
New Zealand,Auckland,1,7,1995,18.944444444444443
New Zealand,Auckland,1,8,1995,20.444444444444443
New Zealand,Auckland,1,9,1995,20.0
New Zealand,Auckland,1,10,1995,18.38888888888889
New Zealand,Auckland,1,11,1995,17.27777777777778
New Zealand,Auckland,1,12,1995,18.55555555555556
New Zealand,Auckland,1,13,1995,19.33333333333333
New Zealand,Auckland,1,14,1995,20.27777777777778
New Zealand,Auckland,1,15,1995,20.500000000000004
New Zealand,Auckland,1,16,1995,21.611111111111114
New Zealand,Auckland,1,17,1995,21.5
New Zealand,Auckland,1,18,1995,21.722222222222214
New Zealand,Auckland,1,19,1995,20.55555555555556
New Zealand,Auckland,1,20,1995,19.55555555555556
New Zealand,Auckland,1,21,1995,19.88888888888889
New Zealand,Auckland,1,22,1995,20.500000000000004
New Zealand,Auckland,1,23,1995,20.611111111111107
New Zealand,Auckland,1,24,1995,19.111111111111114
New Zealand,Auckland,1,25,1995,20.666666666666668
New Zealand,Auckland,1,26,1995,22.11111111111111
New Zealand,Auckland,1,27,1995,19.77777777777777
New Zealand,Auckland,1,28,1995,20.444444444444443
New Zealand,Auckland,1,29,1995,19.222222222222214
New Zealand,Auckland,1,30,1995,20.27777777777778
New Zealand,Auckland,1,31,1995,20.72222222222222
New Zealand,Auckland,2,1,1995,21.05555555555556
New Zealand,Auckland,2,2,1995,18.88888888888889
New Zealand,Auckland,2,3,1995,19.05555555555556
New Zealand,Auckland,2,4,1995,19.444444444444443
New Zealand,Auckland,2,5,1995,20.944444444444443
New Zealand,Auckland,2,6,1995,20.38888888888889
New Zealand,Auckland,2,7,1995,21.38888888888889
New Zealand,Auckland,2,8,1995,19.166666666666668
New Zealand,Auckland,2,9,1995,18.944444444444443
New Zealand,Auckland,2,10,1995,20.27777777777778
New Zealand,Auckland,2,11,1995,20.88888888888889
New Zealand,Auckland,2,12,1995,19.72222222222222
New Zealand,Auckland,2,13,1995,20.222222222222225
New Zealand,Auckland,2,14,1995,20.33333333333333
New Zealand,Auckland,2,15,1995,21.22222222222222
New Zealand,Auckland,2,16,1995,19.944444444444446
New Zealand,Auckland,2,17,1995,21.0
New Zealand,Auckland,2,18,1995,20.38888888888889
New Zealand,Auckland,2,19,1995,19.388888888888893
