Country,City,Month,Day,Year,AvgTemperature
Saudi Arabia,Dhahran,1,1,1995,16.055555555555557
Saudi Arabia,Dhahran,1,2,1995,14.27777777777778
Saudi Arabia,Dhahran,1,3,1995,15.444444444444445
Saudi Arabia,Dhahran,1,4,1995,15.0
Saudi Arabia,Dhahran,1,5,1995,16.38888888888889
Saudi Arabia,Dhahran,1,6,1995,15.666666666666666
Saudi Arabia,Dhahran,1,7,1995,14.88888888888889
Saudi Arabia,Dhahran,1,8,1995,15.11111111111111
Saudi Arabia,Dhahran,1,9,1995,16.555555555555557
Saudi Arabia,Dhahran,1,10,1995,18.05555555555556
Saudi Arabia,Dhahran,1,11,1995,19.0
Saudi Arabia,Dhahran,1,12,1995,20.611111111111107
Saudi Arabia,Dhahran,1,13,1995,20.27777777777778
Saudi Arabia,Dhahran,1,14,1995,16.944444444444443
Saudi Arabia,Dhahran,1,15,1995,15.22222222222222
Saudi Arabia,Dhahran,1,16,1995,16.555555555555557
Saudi Arabia,Dhahran,1,17,1995,18.666666666666664
Saudi Arabia,Dhahran,1,18,1995,18.55555555555556
Saudi Arabia,Dhahran,1,19,1995,18.61111111111111
Saudi Arabia,Dhahran,1,20,1995,15.61111111111111
Saudi Arabia,Dhahran,1,21,1995,15.055555555555555
Saudi Arabia,Dhahran,1,22,1995,14.666666666666666
Saudi Arabia,Dhahran,1,23,1995,13.944444444444445
Saudi Arabia,Dhahran,1,24,1995,14.38888888888889
Saudi Arabia,Dhahran,1,25,1995,13.444444444444446
Saudi Arabia,Dhahran,1,26,1995,12.888888888888893
Saudi Arabia,Dhahran,1,27,1995,14.000000000000002
Saudi Arabia,Dhahran,1,28,1995,15.055555555555555
Saudi Arabia,Dhahran,1,29,1995,15.944444444444445
Saudi Arabia,Dhahran,1,30,1995,15.72222222222222
Saudi Arabia,Dhahran,1,31,1995,16.5
Saudi Arabia,Dhahran,2,1,1995,17.944444444444443
Saudi Arabia,Dhahran,2,2,1995,19.05555555555556
Saudi Arabia,Dhahran,2,3,1995,20.166666666666668
Saudi Arabia,Dhahran,2,4,1995,20.55555555555556
Saudi Arabia,Dhahran,2,5,1995,21.888888888888893
Saudi Arabia,Dhahran,2,6,1995,19.5
Saudi Arabia,Dhahran,2,7,1995,19.61111111111111
Saudi Arabia,Dhahran,2,8,1995,19.0
