Country,City,Month,Day,Year,AvgTemperature
Saudi Arabia,Riyadh,1,1,1995,12.72222222222222
Saudi Arabia,Riyadh,1,2,1995,10.555555555555555
Saudi Arabia,Riyadh,1,3,1995,11.500000000000002
Saudi Arabia,Riyadh,1,4,1995,12.0
Saudi Arabia,Riyadh,1,5,1995,13.61111111111111
Saudi Arabia,Riyadh,1,6,1995,14.22222222222222
Saudi Arabia,Riyadh,1,7,1995,14.11111111111111
Saudi Arabia,Riyadh,1,8,1995,14.166666666666666
Saudi Arabia,Riyadh,1,9,1995,16.555555555555557
Saudi Arabia,Riyadh,1,10,1995,18.833333333333336
Saudi Arabia,Riyadh,1,11,1995,18.77777777777778
Saudi Arabia,Riyadh,1,12,1995,18.88888888888889
Saudi Arabia,Riyadh,1,13,1995,18.05555555555556
Saudi Arabia,Riyadh,1,14,1995,14.11111111111111
Saudi Arabia,Riyadh,1,15,1995,13.944444444444445
Saudi Arabia,Riyadh,1,16,1995,15.77777777777778
Saudi Arabia,Riyadh,1,17,1995,16.833333333333332
Saudi Arabia,Riyadh,1,18,1995,16.11111111111111
Saudi Arabia,Riyadh,1,19,1995,16.27777777777778
Saudi Arabia,Riyadh,1,20,1995,13.166666666666668
Saudi Arabia,Riyadh,1,21,1995,13.27777777777778
Saudi Arabia,Riyadh,1,22,1995,11.944444444444445
Saudi Arabia,Riyadh,1,23,1995,11.11111111111111
Saudi Arabia,Riyadh,1,24,1995,12.444444444444445
Saudi Arabia,Riyadh,1,25,1995,13.0
Saudi Arabia,Riyadh,1,26,1995,11.11111111111111
Saudi Arabia,Riyadh,1,27,1995,11.333333333333334
Saudi Arabia,Riyadh,1,28,1995,12.166666666666666
Saudi Arabia,Riyadh,1,29,1995,10.555555555555555
Saudi Arabia,Riyadh,1,30,1995,14.666666666666666
Saudi Arabia,Riyadh,1,31,1995,17.055555555555557
Saudi Arabia,Riyadh,2,1,1995,19.222222222222214
Saudi Arabia,Riyadh,2,2,1995,21.77777777777778
Saudi Arabia,Riyadh,2,3,1995,22.555555555555557
Saudi Arabia,Riyadh,2,4,1995,18.61111111111111
Saudi Arabia,Riyadh,2,5,1995,21.333333333333336
Saudi Arabia,Riyadh,2,6,1995,17.555555555555557
Saudi Arabia,Riyadh,2,7,1995,16.944444444444443
Saudi Arabia,Riyadh,2,8,1995,16.055555555555557
Saudi Arabia,Riyadh,2,9,1995,13.555555555555555
Saudi Arabia,Riyadh,2,10,1995,12.833333333333334
Saudi Arabia,Riyadh,2,11,1995,11.222222222222223
Saudi Arabia,Riyadh,2,12,1995,12.77777777777778
Saudi Arabia,Riyadh,2,13,1995,14.11111111111111
Saudi Arabia,Riyadh,2,14,1995,16.166666666666668
Saudi Arabia,Riyadh,2,15,1995,19.05555555555556
Saudi Arabia,Riyadh,2,16,1995,17.61111111111111
Saudi Arabia,Riyadh,2,17,1995,17.88888888888889
Saudi Arabia,Riyadh,2,18,1995,17.944444444444443
Saudi Arabia,Riyadh,2,19,1995,14.833333333333334
Saudi Arabia,Riyadh,2,20,1995,15.444444444444445
Saudi Arabia,Riyadh,2,21,1995,15.444444444444445
Saudi Arabia,Riyadh,2,22,1995,20.444444444444443
Saudi Arabia,Riyadh,2,23,1995,17.555555555555557
Saudi Arabia,Riyadh,2,24,1995,14.27777777777778
