Country,City,Month,Day,Year,AvgTemperature
Serbia-Montenegro,Pristina,1,1,1995,6.388888888888889
Serbia-Montenegro,Pristina,1,2,1995,0.0555555555555563
Serbia-Montenegro,Pristina,1,3,1995,-1.888888888888888
Serbia-Montenegro,Pristina,1,4,1995,-2.833333333333334
Serbia-Montenegro,Pristina,1,5,1995,-2.6111111111111107
Serbia-Montenegro,Pristina,1,6,1995,-3.055555555555556
Serbia-Montenegro,Pristina,1,7,1995,-3.7222222222222223
Serbia-Montenegro,Pristina,1,8,1995,-2.5
Serbia-Montenegro,Pristina,1,9,1995,-3.055555555555556
Serbia-Montenegro,Pristina,1,10,1995,-2.722222222222221
Serbia-Montenegro,Pristina,1,11,1995,-1.6666666666666667
Serbia-Montenegro,Pristina,1,12,1995,-3.7777777777777777
Serbia-Montenegro,Pristina,1,13,1995,-5.777777777777777
Serbia-Montenegro,Pristina,1,14,1995,-5.722222222222222
Serbia-Montenegro,Pristina,1,15,1995,-6.166666666666668
Serbia-Montenegro,Pristina,1,16,1995,-8.944444444444445
Serbia-Montenegro,Pristina,1,17,1995,-13.27777777777778
Serbia-Montenegro,Pristina,1,18,1995,-13.555555555555555
Serbia-Montenegro,Pristina,1,19,1995,-7.277777777777778
Serbia-Montenegro,Pristina,1,20,1995,-3.111111111111112
Serbia-Montenegro,Pristina,1,21,1995,-2.166666666666666
Serbia-Montenegro,Pristina,1,22,1995,-0.777777777777777
Serbia-Montenegro,Pristina,1,23,1995,-2.6111111111111107
Serbia-Montenegro,Pristina,1,24,1995,2.944444444444443
Serbia-Montenegro,Pristina,1,25,1995,-0.4444444444444448
Serbia-Montenegro,Pristina,1,26,1995,4.944444444444444
Serbia-Montenegro,Pristina,1,27,1995,5.277777777777778
Serbia-Montenegro,Pristina,1,28,1995,-0.2222222222222214
Serbia-Montenegro,Pristina,1,29,1995,0.9999999999999984
Serbia-Montenegro,Pristina,1,30,1995,2.2777777777777786
Serbia-Montenegro,Pristina,1,31,1995,1.7777777777777797
Serbia-Montenegro,Pristina,2,1,1995,-2.444444444444444
Serbia-Montenegro,Pristina,2,2,1995,-2.833333333333334
Serbia-Montenegro,Pristina,2,3,1995,0.777777777777777
Serbia-Montenegro,Pristina,2,4,1995,-1.1666666666666674
Serbia-Montenegro,Pristina,2,5,1995,-0.5555555555555556
Serbia-Montenegro,Pristina,2,6,1995,-0.0555555555555563
Serbia-Montenegro,Pristina,2,7,1995,1.3888888888888888
Serbia-Montenegro,Pristina,2,8,1995,4.500000000000001
Serbia-Montenegro,Pristina,2,9,1995,6.500000000000002
Serbia-Montenegro,Pristina,2,10,1995,3.6666666666666674
Serbia-Montenegro,Pristina,2,11,1995,1.1111111111111112
Serbia-Montenegro,Pristina,2,12,1995,4.166666666666667
Serbia-Montenegro,Pristina,2,13,1995,2.555555555555556
Serbia-Montenegro,Pristina,2,14,1995,4.722222222222222
Serbia-Montenegro,Pristina,2,15,1995,6.222222222222224
Serbia-Montenegro,Pristina,2,16,1995,5.277777777777778
Serbia-Montenegro,Pristina,2,17,1995,6.222222222222224
Serbia-Montenegro,Pristina,2,18,1995,6.77777777777778
Serbia-Montenegro,Pristina,2,19,1995,3.3888888888888897
Serbia-Montenegro,Pristina,2,20,1995,3.4999999999999982
Serbia-Montenegro,Pristina,2,21,1995,5.999999999999998
Serbia-Montenegro,Pristina,2,22,1995,7.777777777777778
Serbia-Montenegro,Pristina,2,23,1995,5.611111111111112
Serbia-Montenegro,Pristina,2,24,1995,9.055555555555554
Serbia-Montenegro,Pristina,2,25,1995,8.0
Serbia-Montenegro,Pristina,2,26,1995,10.833333333333334
Serbia-Montenegro,Pristina,2,27,1995,9.944444444444445
Serbia-Montenegro,Pristina,2,28,1995,3.777777777777776
Serbia-Montenegro,Pristina,3,1,1995,2.8888888888888906
Serbia-Montenegro,Pristina,3,2,1995,6.166666666666668
Serbia-Montenegro,Pristina,3,3,1995,8.055555555555555
Serbia-Montenegro,Pristina,3,4,1995,9.38888888888889
Serbia-Montenegro,Pristina,3,5,1995,7.944444444444443
Serbia-Montenegro,Pristina,3,6,1995,5.7222222222222205
Serbia-Montenegro,Pristina,3,7,1995,4.61111111111111
Serbia-Montenegro,Pristina,3,8,1995,4.444444444444445
Serbia-Montenegro,Pristina,3,9,1995,3.8333333333333326
Serbia-Montenegro,Pristina,3,10,1995,5.444444444444443
Serbia-Montenegro,Pristina,3,11,1995,3.8333333333333326
Serbia-Montenegro,Pristina,3,12,1995,2.8888888888888906
Serbia-Montenegro,Pristina,3,13,1995,2.000000000000001
Serbia-Montenegro,Pristina,3,14,1995,0.944444444444446
Serbia-Montenegro,Pristina,3,15,1995,-0.1111111111111107
Serbia-Montenegro,Pristina,3,16,1995,5.0
Serbia-Montenegro,Pristina,3,17,1995,5.222222222222221
Serbia-Montenegro,Pristina,3,18,1995,6.4444444444444455
Serbia-Montenegro,Pristina,3,19,1995,9.611111111111107
Serbia-Montenegro,Pristina,3,20,1995,10.166666666666664
Serbia-Montenegro,Pristina,3,21,1995,1.4444444444444453
Serbia-Montenegro,Pristina,3,22,1995,0.8333333333333334
Serbia-Montenegro,Pristina,3,23,1995,0.944444444444446
Serbia-Montenegro,Pristina,3,24,1995,1.3333333333333326
Serbia-Montenegro,Pristina,3,25,1995,6.77777777777778
