Country,City,Month,Day,Year,AvgTemperature
Sierra Leone,Freetown,1,1,1995,-72.77777777777777
Sierra Leone,Freetown,1,2,1995,-72.77777777777777
Sierra Leone,Freetown,1,3,1995,-72.77777777777777
Sierra Leone,Freetown,1,4,1995,-72.77777777777777
Sierra Leone,Freetown,1,5,1995,-72.77777777777777
Sierra Leone,Freetown,1,6,1995,-72.77777777777777
Sierra Leone,Freetown,1,7,1995,-72.77777777777777
Sierra Leone,Freetown,1,8,1995,-72.77777777777777
Sierra Leone,Freetown,1,9,1995,-72.77777777777777
Sierra Leone,Freetown,1,10,1995,-72.77777777777777
Sierra Leone,Freetown,1,11,1995,-72.77777777777777
Sierra Leone,Freetown,1,12,1995,-72.77777777777777
Sierra Leone,Freetown,1,13,1995,-72.77777777777777
Sierra Leone,Freetown,1,14,1995,-72.77777777777777
Sierra Leone,Freetown,1,15,1995,-72.77777777777777
Sierra Leone,Freetown,1,16,1995,-72.77777777777777
Sierra Leone,Freetown,1,17,1995,-72.77777777777777
Sierra Leone,Freetown,1,18,1995,-72.77777777777777
Sierra Leone,Freetown,1,19,1995,-72.77777777777777
Sierra Leone,Freetown,1,20,1995,-72.77777777777777
Sierra Leone,Freetown,1,21,1995,-72.77777777777777
Sierra Leone,Freetown,1,22,1995,-72.77777777777777
Sierra Leone,Freetown,1,23,1995,-72.77777777777777
Sierra Leone,Freetown,1,24,1995,-72.77777777777777
Sierra Leone,Freetown,1,25,1995,-72.77777777777777
Sierra Leone,Freetown,1,26,1995,-72.77777777777777
Sierra Leone,Freetown,1,27,1995,-72.77777777777777
Sierra Leone,Freetown,1,28,1995,-72.77777777777777
Sierra Leone,Freetown,1,29,1995,-72.77777777777777
Sierra Leone,Freetown,1,30,1995,-72.77777777777777
Sierra Leone,Freetown,1,31,1995,-72.77777777777777
Sierra Leone,Freetown,2,1,1995,-72.77777777777777
Sierra Leone,Freetown,2,2,1995,-72.77777777777777
Sierra Leone,Freetown,2,3,1995,-72.77777777777777
Sierra Leone,Freetown,2,4,1995,-72.77777777777777
Sierra Leone,Freetown,2,5,1995,-72.77777777777777
Sierra Leone,Freetown,2,6,1995,-72.77777777777777
Sierra Leone,Freetown,2,7,1995,-72.77777777777777
Sierra Leone,Freetown,2,8,1995,-72.77777777777777
Sierra Leone,Freetown,2,9,1995,-72.77777777777777
Sierra Leone,Freetown,2,10,1995,-72.77777777777777
Sierra Leone,Freetown,2,11,1995,-72.77777777777777
Sierra Leone,Freetown,2,12,1995,-72.77777777777777
Sierra Leone,Freetown,2,13,1995,-72.77777777777777
Sierra Leone,Freetown,2,14,1995,-72.77777777777777
Sierra Leone,Freetown,2,15,1995,-72.77777777777777
Sierra Leone,Freetown,2,16,1995,-72.77777777777777
Sierra Leone,Freetown,2,17,1995,-72.77777777777777
Sierra Leone,Freetown,2,18,1995,-72.77777777777777
Sierra Leone,Freetown,2,19,1995,29.33333333333333
Sierra Leone,Freetown,2,20,1995,-72.77777777777777
Sierra Leone,Freetown,2,21,1995,-72.77777777777777
Sierra Leone,Freetown,2,22,1995,29.0
Sierra Leone,Freetown,2,23,1995,-72.77777777777777
Sierra Leone,Freetown,2,24,1995,-72.77777777777777
Sierra Leone,Freetown,2,25,1995,-72.77777777777777
Sierra Leone,Freetown,2,26,1995,29.5
Sierra Leone,Freetown,2,27,1995,28.000000000000004
Sierra Leone,Freetown,2,28,1995,-72.77777777777777
Sierra Leone,Freetown,3,1,1995,-72.77777777777777
Sierra Leone,Freetown,3,2,1995,-72.77777777777777
Sierra Leone,Freetown,3,3,1995,30.0
Sierra Leone,Freetown,3,4,1995,-72.77777777777777
Sierra Leone,Freetown,3,5,1995,-72.77777777777777
Sierra Leone,Freetown,3,6,1995,-72.77777777777777
Sierra Leone,Freetown,3,7,1995,28.666666666666668
Sierra Leone,Freetown,3,8,1995,-72.77777777777777
Sierra Leone,Freetown,3,9,1995,-72.77777777777777
Sierra Leone,Freetown,3,10,1995,29.5
Sierra Leone,Freetown,3,11,1995,28.000000000000004
Sierra Leone,Freetown,3,12,1995,-72.77777777777777
Sierra Leone,Freetown,3,13,1995,-72.77777777777777
Sierra Leone,Freetown,3,14,1995,-72.77777777777777
Sierra Leone,Freetown,3,15,1995,30.666666666666668
Sierra Leone,Freetown,3,16,1995,-72.77777777777777
Sierra Leone,Freetown,3,17,1995,-72.77777777777777
Sierra Leone,Freetown,3,18,1995,-72.77777777777777
Sierra Leone,Freetown,3,19,1995,30.22222222222222
Sierra Leone,Freetown,3,20,1995,-72.77777777777777
Sierra Leone,Freetown,3,21,1995,-72.77777777777777
Sierra Leone,Freetown,3,22,1995,-72.77777777777777
Sierra Leone,Freetown,3,23,1995,-72.77777777777777
Sierra Leone,Freetown,3,24,1995,-72.77777777777777
Sierra Leone,Freetown,3,25,1995,-72.77777777777777
Sierra Leone,Freetown,3,26,1995,-72.77777777777777
Sierra Leone,Freetown,3,27,1995,-72.77777777777777
Sierra Leone,Freetown,3,28,1995,-72.77777777777777
Sierra Leone,Freetown,3,29,1995,-72.77777777777777
