Country,City,Month,Day,Year,AvgTemperature
Spain,Bilbao,1,1,1995,6.833333333333332
Spain,Bilbao,1,2,1995,7.555555555555555
Spain,Bilbao,1,3,1995,5.222222222222221
Spain,Bilbao,1,4,1995,3.6666666666666674
Spain,Bilbao,1,5,1995,9.833333333333336
Spain,Bilbao,1,6,1995,9.555555555555555
Spain,Bilbao,1,7,1995,7.611111111111112
Spain,Bilbao,1,8,1995,5.277777777777778
Spain,Bilbao,1,9,1995,9.888888888888888
Spain,Bilbao,1,10,1995,9.444444444444445
Spain,Bilbao,1,11,1995,11.222222222222223
Spain,Bilbao,1,12,1995,7.88888888888889
Spain,Bilbao,1,13,1995,4.055555555555554
Spain,Bilbao,1,14,1995,3.4999999999999982
Spain,Bilbao,1,15,1995,3.555555555555555
Spain,Bilbao,1,16,1995,9.833333333333336
Spain,Bilbao,1,17,1995,14.666666666666666
Spain,Bilbao,1,18,1995,8.499999999999998
Spain,Bilbao,1,19,1995,11.88888888888889
Spain,Bilbao,1,20,1995,10.444444444444445
Spain,Bilbao,1,21,1995,11.555555555555554
Spain,Bilbao,1,22,1995,15.0
Spain,Bilbao,1,23,1995,13.88888888888889
Spain,Bilbao,1,24,1995,11.333333333333334
Spain,Bilbao,1,25,1995,13.666666666666666
Spain,Bilbao,1,26,1995,13.055555555555555
Spain,Bilbao,1,27,1995,10.055555555555555
Spain,Bilbao,1,28,1995,12.444444444444445
Spain,Bilbao,1,29,1995,11.88888888888889
Spain,Bilbao,1,30,1995,11.11111111111111
Spain,Bilbao,1,31,1995,10.111111111111112
Spain,Bilbao,2,1,1995,12.388888888888888
Spain,Bilbao,2,2,1995,10.61111111111111
Spain,Bilbao,2,3,1995,8.944444444444445
Spain,Bilbao,2,4,1995,9.444444444444445
Spain,Bilbao,2,5,1995,9.77777777777778
Spain,Bilbao,2,6,1995,10.77777777777778
Spain,Bilbao,2,7,1995,12.444444444444445
Spain,Bilbao,2,8,1995,14.444444444444445
Spain,Bilbao,2,9,1995,13.27777777777778
Spain,Bilbao,2,10,1995,9.611111111111107
Spain,Bilbao,2,11,1995,10.833333333333334
Spain,Bilbao,2,12,1995,14.22222222222222
Spain,Bilbao,2,13,1995,14.38888888888889
Spain,Bilbao,2,14,1995,12.444444444444445
Spain,Bilbao,2,15,1995,16.88888888888889
Spain,Bilbao,2,16,1995,15.333333333333334
Spain,Bilbao,2,17,1995,10.999999999999998
Spain,Bilbao,2,18,1995,8.222222222222221
Spain,Bilbao,2,19,1995,9.555555555555555
Spain,Bilbao,2,20,1995,14.444444444444445
Spain,Bilbao,2,21,1995,8.499999999999998
Spain,Bilbao,2,22,1995,6.666666666666667
Spain,Bilbao,2,23,1995,8.333333333333334
Spain,Bilbao,2,24,1995,13.27777777777778
Spain,Bilbao,2,25,1995,12.555555555555555
Spain,Bilbao,2,26,1995,6.555555555555554
Spain,Bilbao,2,27,1995,5.888888888888889
Spain,Bilbao,2,28,1995,4.777777777777779
Spain,Bilbao,3,1,1995,6.500000000000002
Spain,Bilbao,3,2,1995,9.555555555555555
Spain,Bilbao,3,3,1995,7.611111111111112
Spain,Bilbao,3,4,1995,6.888888888888888
Spain,Bilbao,3,5,1995,10.833333333333334
Spain,Bilbao,3,6,1995,7.722222222222222
Spain,Bilbao,3,7,1995,8.499999999999998
Spain,Bilbao,3,8,1995,8.499999999999998
Spain,Bilbao,3,9,1995,10.666666666666668
Spain,Bilbao,3,10,1995,14.22222222222222
Spain,Bilbao,3,11,1995,14.333333333333334
Spain,Bilbao,3,12,1995,12.388888888888888
Spain,Bilbao,3,13,1995,11.72222222222222
Spain,Bilbao,3,14,1995,11.166666666666666
Spain,Bilbao,3,15,1995,9.888888888888888
Spain,Bilbao,3,16,1995,9.72222222222222
Spain,Bilbao,3,17,1995,11.38888888888889
Spain,Bilbao,3,18,1995,12.388888888888888
Spain,Bilbao,3,19,1995,11.38888888888889
Spain,Bilbao,3,20,1995,9.888888888888888
Spain,Bilbao,3,21,1995,8.444444444444446
Spain,Bilbao,3,22,1995,11.944444444444445
Spain,Bilbao,3,23,1995,16.61111111111111
Spain,Bilbao,3,24,1995,11.11111111111111
Spain,Bilbao,3,25,1995,11.666666666666666
Spain,Bilbao,3,26,1995,11.500000000000002
Spain,Bilbao,3,27,1995,10.111111111111112
Spain,Bilbao,3,28,1995,10.944444444444446
Spain,Bilbao,3,29,1995,11.333333333333334
Spain,Bilbao,3,30,1995,8.166666666666668
Spain,Bilbao,3,31,1995,7.666666666666665
Spain,Bilbao,4,1,1995,9.22222222222222
Spain,Bilbao,4,2,1995,12.111111111111107
Spain,Bilbao,4,3,1995,13.722222222222223
Spain,Bilbao,4,4,1995,12.5
Spain,Bilbao,4,5,1995,12.444444444444445
Spain,Bilbao,4,6,1995,11.944444444444445
Spain,Bilbao,4,7,1995,12.333333333333336
Spain,Bilbao,4,8,1995,12.77777777777778
Spain,Bilbao,4,9,1995,11.11111111111111
Spain,Bilbao,4,10,1995,12.055555555555555
Spain,Bilbao,4,11,1995,12.72222222222222
Spain,Bilbao,4,12,1995,12.22222222222222
Spain,Bilbao,4,13,1995,11.77777777777778
Spain,Bilbao,4,14,1995,11.055555555555555
Spain,Bilbao,4,15,1995,11.277777777777777
Spain,Bilbao,4,16,1995,12.166666666666666
Spain,Bilbao,4,17,1995,12.166666666666666
Spain,Bilbao,4,18,1995,11.72222222222222
Spain,Bilbao,4,19,1995,8.555555555555555
Spain,Bilbao,4,20,1995,7.388888888888887
