Country,City,Month,Day,Year,AvgTemperature
Suriname,Paramaribo,1,1,1995,25.11111111111111
Suriname,Paramaribo,1,2,1995,25.27777777777778
Suriname,Paramaribo,1,3,1995,25.666666666666668
Suriname,Paramaribo,1,4,1995,26.0
Suriname,Paramaribo,1,5,1995,25.27777777777778
Suriname,Paramaribo,1,6,1995,25.055555555555557
Suriname,Paramaribo,1,7,1995,24.111111111111114
Suriname,Paramaribo,1,8,1995,23.944444444444443
Suriname,Paramaribo,1,9,1995,24.944444444444446
Suriname,Paramaribo,1,10,1995,25.88888888888889
Suriname,Paramaribo,1,11,1995,23.5
Suriname,Paramaribo,1,12,1995,24.05555555555556
Suriname,Paramaribo,1,13,1995,24.222222222222214
Suriname,Paramaribo,1,14,1995,25.55555555555556
Suriname,Paramaribo,1,15,1995,26.05555555555556
Suriname,Paramaribo,1,16,1995,25.777777777777786
Suriname,Paramaribo,1,17,1995,24.88888888888889
Suriname,Paramaribo,1,18,1995,25.55555555555556
Suriname,Paramaribo,1,19,1995,26.27777777777778
Suriname,Paramaribo,1,20,1995,26.77777777777778
Suriname,Paramaribo,1,21,1995,26.55555555555556
Suriname,Paramaribo,1,22,1995,25.500000000000004
Suriname,Paramaribo,1,23,1995,26.83333333333333
Suriname,Paramaribo,1,24,1995,25.944444444444443
Suriname,Paramaribo,1,25,1995,24.72222222222222
Suriname,Paramaribo,1,26,1995,24.77777777777777
Suriname,Paramaribo,1,27,1995,24.55555555555556
Suriname,Paramaribo,1,28,1995,26.0
Suriname,Paramaribo,1,29,1995,26.0
Suriname,Paramaribo,1,30,1995,25.444444444444443
Suriname,Paramaribo,1,31,1995,25.55555555555556
Suriname,Paramaribo,2,1,1995,26.11111111111111
Suriname,Paramaribo,2,2,1995,26.666666666666668
Suriname,Paramaribo,2,3,1995,25.88888888888889
Suriname,Paramaribo,2,4,1995,25.38888888888889
Suriname,Paramaribo,2,5,1995,25.777777777777786
Suriname,Paramaribo,2,6,1995,27.722222222222225
Suriname,Paramaribo,2,7,1995,25.944444444444443
Suriname,Paramaribo,2,8,1995,25.777777777777786
