Country,City,Month,Day,Year,AvgTemperature
Tajikistan,Dusanbe,1,1,1995,4.500000000000001
Tajikistan,Dusanbe,1,2,1995,8.499999999999998
Tajikistan,Dusanbe,1,3,1995,3.944444444444445
Tajikistan,Dusanbe,1,4,1995,5.444444444444443
Tajikistan,Dusanbe,1,5,1995,6.4444444444444455
Tajikistan,Dusanbe,1,6,1995,5.555555555555555
Tajikistan,Dusanbe,1,7,1995,2.2777777777777786
Tajikistan,Dusanbe,1,8,1995,-0.2222222222222214
Tajikistan,Dusanbe,1,9,1995,2.944444444444443
Tajikistan,Dusanbe,1,10,1995,1.888888888888888
Tajikistan,Dusanbe,1,11,1995,2.833333333333334
Tajikistan,Dusanbe,1,12,1995,5.055555555555556
Tajikistan,Dusanbe,1,13,1995,2.444444444444444
Tajikistan,Dusanbe,1,14,1995,4.944444444444444
Tajikistan,Dusanbe,1,15,1995,2.666666666666665
Tajikistan,Dusanbe,1,16,1995,2.3888888888888875
Tajikistan,Dusanbe,1,17,1995,1.555555555555554
Tajikistan,Dusanbe,1,18,1995,5.222222222222221
Tajikistan,Dusanbe,1,19,1995,-72.77777777777777
Tajikistan,Dusanbe,1,20,1995,-72.77777777777777
Tajikistan,Dusanbe,1,21,1995,2.8888888888888906
Tajikistan,Dusanbe,1,22,1995,1.3333333333333326
Tajikistan,Dusanbe,1,23,1995,1.555555555555554
Tajikistan,Dusanbe,1,24,1995,3.1666666666666683
Tajikistan,Dusanbe,1,25,1995,2.6111111111111125
Tajikistan,Dusanbe,1,26,1995,3.111111111111112
Tajikistan,Dusanbe,1,27,1995,6.0555555555555545
Tajikistan,Dusanbe,1,28,1995,5.999999999999998
Tajikistan,Dusanbe,1,29,1995,8.833333333333334
Tajikistan,Dusanbe,1,30,1995,7.666666666666665
Tajikistan,Dusanbe,1,31,1995,7.388888888888887
Tajikistan,Dusanbe,2,1,1995,9.833333333333336
Tajikistan,Dusanbe,2,2,1995,8.777777777777777
Tajikistan,Dusanbe,2,3,1995,6.4444444444444455
Tajikistan,Dusanbe,2,4,1995,9.22222222222222
Tajikistan,Dusanbe,2,5,1995,12.055555555555555
Tajikistan,Dusanbe,2,6,1995,8.88888888888889
Tajikistan,Dusanbe,2,7,1995,7.5
Tajikistan,Dusanbe,2,8,1995,8.944444444444445
Tajikistan,Dusanbe,2,9,1995,8.277777777777779
Tajikistan,Dusanbe,2,10,1995,8.61111111111111
Tajikistan,Dusanbe,2,11,1995,3.6666666666666674
Tajikistan,Dusanbe,2,12,1995,5.833333333333333
Tajikistan,Dusanbe,2,13,1995,5.1111111111111125
Tajikistan,Dusanbe,2,14,1995,5.166666666666665
