Country,City,Month,Day,Year,AvgTemperature
Thailand,Bangkok,1,1,1995,-72.77777777777777
Thailand,Bangkok,1,2,1995,-72.77777777777777
Thailand,Bangkok,1,3,1995,-72.77777777777777
Thailand,Bangkok,1,4,1995,-72.77777777777777
Thailand,Bangkok,1,5,1995,-72.77777777777777
Thailand,Bangkok,1,6,1995,-72.77777777777777
Thailand,Bangkok,1,7,1995,-72.77777777777777
Thailand,Bangkok,1,8,1995,-72.77777777777777
Thailand,Bangkok,1,9,1995,-72.77777777777777
Thailand,Bangkok,1,10,1995,-72.77777777777777
Thailand,Bangkok,1,11,1995,-72.77777777777777
Thailand,Bangkok,1,12,1995,-72.77777777777777
Thailand,Bangkok,1,13,1995,-72.77777777777777
Thailand,Bangkok,1,14,1995,-72.77777777777777
Thailand,Bangkok,1,15,1995,-72.77777777777777
Thailand,Bangkok,1,16,1995,-72.77777777777777
Thailand,Bangkok,1,17,1995,-72.77777777777777
Thailand,Bangkok,1,18,1995,-72.77777777777777
Thailand,Bangkok,1,19,1995,-72.77777777777777
Thailand,Bangkok,1,20,1995,-72.77777777777777
Thailand,Bangkok,1,21,1995,-72.77777777777777
Thailand,Bangkok,1,22,1995,-72.77777777777777
Thailand,Bangkok,1,23,1995,-72.77777777777777
Thailand,Bangkok,1,24,1995,-72.77777777777777
Thailand,Bangkok,1,25,1995,-72.77777777777777
Thailand,Bangkok,1,26,1995,-72.77777777777777
Thailand,Bangkok,1,27,1995,-72.77777777777777
Thailand,Bangkok,1,28,1995,-72.77777777777777
Thailand,Bangkok,1,29,1995,-72.77777777777777
Thailand,Bangkok,1,30,1995,-72.77777777777777
Thailand,Bangkok,1,31,1995,-72.77777777777777
Thailand,Bangkok,2,1,1995,-72.77777777777777
Thailand,Bangkok,2,2,1995,-72.77777777777777
Thailand,Bangkok,2,3,1995,-72.77777777777777
Thailand,Bangkok,2,4,1995,-72.77777777777777
Thailand,Bangkok,2,5,1995,-72.77777777777777
Thailand,Bangkok,2,6,1995,-72.77777777777777
Thailand,Bangkok,2,7,1995,-72.77777777777777
Thailand,Bangkok,2,8,1995,-72.77777777777777
Thailand,Bangkok,2,9,1995,-72.77777777777777
Thailand,Bangkok,2,10,1995,-72.77777777777777
Thailand,Bangkok,2,11,1995,-72.77777777777777
Thailand,Bangkok,2,12,1995,-72.77777777777777
Thailand,Bangkok,2,13,1995,-72.77777777777777
Thailand,Bangkok,2,14,1995,-72.77777777777777
Thailand,Bangkok,2,15,1995,-72.77777777777777
Thailand,Bangkok,2,16,1995,-72.77777777777777
Thailand,Bangkok,2,17,1995,-72.77777777777777
Thailand,Bangkok,2,18,1995,-72.77777777777777
Thailand,Bangkok,2,19,1995,-72.77777777777777
Thailand,Bangkok,2,20,1995,-72.77777777777777
Thailand,Bangkok,2,21,1995,-72.77777777777777
Thailand,Bangkok,2,22,1995,-72.77777777777777
Thailand,Bangkok,2,23,1995,-72.77777777777777
Thailand,Bangkok,2,24,1995,-72.77777777777777
Thailand,Bangkok,2,25,1995,-72.77777777777777
Thailand,Bangkok,2,26,1995,-72.77777777777777
Thailand,Bangkok,2,27,1995,-72.77777777777777
Thailand,Bangkok,2,28,1995,-72.77777777777777
Thailand,Bangkok,3,1,1995,-72.77777777777777
Thailand,Bangkok,3,2,1995,-72.77777777777777
Thailand,Bangkok,3,3,1995,-72.77777777777777
Thailand,Bangkok,3,4,1995,-72.77777777777777
Thailand,Bangkok,3,5,1995,-72.77777777777777
Thailand,Bangkok,3,6,1995,-72.77777777777777
Thailand,Bangkok,3,7,1995,-72.77777777777777
Thailand,Bangkok,3,8,1995,-72.77777777777777
Thailand,Bangkok,3,9,1995,-72.77777777777777
Thailand,Bangkok,3,10,1995,-72.77777777777777
Thailand,Bangkok,3,11,1995,-72.77777777777777
Thailand,Bangkok,3,12,1995,-72.77777777777777
Thailand,Bangkok,3,13,1995,-72.77777777777777
Thailand,Bangkok,3,14,1995,-72.77777777777777
Thailand,Bangkok,3,15,1995,-72.77777777777777
Thailand,Bangkok,3,16,1995,-72.77777777777777
Thailand,Bangkok,3,17,1995,-72.77777777777777
Thailand,Bangkok,3,18,1995,-72.77777777777777
Thailand,Bangkok,3,19,1995,-72.77777777777777
Thailand,Bangkok,3,20,1995,-72.77777777777777
Thailand,Bangkok,3,21,1995,-72.77777777777777
Thailand,Bangkok,3,22,1995,-72.77777777777777
Thailand,Bangkok,3,23,1995,-72.77777777777777
