Country,City,Month,Day,Year,AvgTemperature
US,Baton Rouge,1,1,1995,14.555555555555555
US,Baton Rouge,1,2,1995,6.666666666666667
US,Baton Rouge,1,3,1995,5.222222222222221
US,Baton Rouge,1,4,1995,5.833333333333333
US,Baton Rouge,1,5,1995,1.6666666666666667
US,Baton Rouge,1,6,1995,14.166666666666666
US,Baton Rouge,1,7,1995,11.11111111111111
US,Baton Rouge,1,8,1995,7.555555555555555
US,Baton Rouge,1,9,1995,12.5
US,Baton Rouge,1,10,1995,15.11111111111111
US,Baton Rouge,1,11,1995,19.66666666666667
US,Baton Rouge,1,12,1995,19.72222222222222
US,Baton Rouge,1,13,1995,17.555555555555557
US,Baton Rouge,1,14,1995,10.999999999999998
US,Baton Rouge,1,15,1995,9.166666666666666
US,Baton Rouge,1,16,1995,7.000000000000001
US,Baton Rouge,1,17,1995,10.555555555555555
US,Baton Rouge,1,18,1995,17.77777777777778
US,Baton Rouge,1,19,1995,11.88888888888889
US,Baton Rouge,1,20,1995,9.166666666666666
US,Baton Rouge,1,21,1995,7.833333333333333
US,Baton Rouge,1,22,1995,9.611111111111107
US,Baton Rouge,1,23,1995,8.222222222222221
US,Baton Rouge,1,24,1995,4.500000000000001
US,Baton Rouge,1,25,1995,8.38888888888889
US,Baton Rouge,1,26,1995,12.388888888888888
US,Baton Rouge,1,27,1995,13.499999999999998
US,Baton Rouge,1,28,1995,19.55555555555556
US,Baton Rouge,1,29,1995,10.444444444444445
US,Baton Rouge,1,30,1995,7.055555555555557
US,Baton Rouge,1,31,1995,5.999999999999998
US,Baton Rouge,2,1,1995,10.166666666666664
US,Baton Rouge,2,2,1995,16.166666666666668
US,Baton Rouge,2,3,1995,18.166666666666668
US,Baton Rouge,2,4,1995,11.88888888888889
US,Baton Rouge,2,5,1995,11.055555555555555
US,Baton Rouge,2,6,1995,7.11111111111111
US,Baton Rouge,2,7,1995,8.555555555555555
US,Baton Rouge,2,8,1995,5.277777777777778
US,Baton Rouge,2,9,1995,3.611111111111111
US,Baton Rouge,2,10,1995,16.555555555555557
US,Baton Rouge,2,11,1995,17.38888888888889
US,Baton Rouge,2,12,1995,4.000000000000002
US,Baton Rouge,2,13,1995,7.11111111111111
US,Baton Rouge,2,14,1995,12.27777777777778
US,Baton Rouge,2,15,1995,18.000000000000004
US,Baton Rouge,2,16,1995,22.77777777777778
US,Baton Rouge,2,17,1995,11.38888888888889
US,Baton Rouge,2,18,1995,9.27777777777778
US,Baton Rouge,2,19,1995,12.5
US,Baton Rouge,2,20,1995,12.833333333333334
US,Baton Rouge,2,21,1995,15.833333333333334
US,Baton Rouge,2,22,1995,11.72222222222222
US,Baton Rouge,2,23,1995,17.5
US,Baton Rouge,2,24,1995,16.333333333333332
US,Baton Rouge,2,25,1995,11.444444444444445
US,Baton Rouge,2,26,1995,14.38888888888889
US,Baton Rouge,2,27,1995,18.666666666666664
US,Baton Rouge,2,28,1995,18.5
US,Baton Rouge,3,1,1995,9.444444444444445
US,Baton Rouge,3,2,1995,7.777777777777778
US,Baton Rouge,3,3,1995,8.722222222222223
US,Baton Rouge,3,4,1995,12.666666666666664
US,Baton Rouge,3,5,1995,18.166666666666668
US,Baton Rouge,3,6,1995,21.333333333333336
US,Baton Rouge,3,7,1995,19.72222222222222
US,Baton Rouge,3,8,1995,7.055555555555557
US,Baton Rouge,3,9,1995,8.166666666666668
US,Baton Rouge,3,10,1995,9.166666666666666
US,Baton Rouge,3,11,1995,15.444444444444445
US,Baton Rouge,3,12,1995,21.888888888888893
US,Baton Rouge,3,13,1995,19.88888888888889
US,Baton Rouge,3,14,1995,15.833333333333334
US,Baton Rouge,3,15,1995,15.61111111111111
US,Baton Rouge,3,16,1995,15.72222222222222
US,Baton Rouge,3,17,1995,14.77777777777778
US,Baton Rouge,3,18,1995,17.444444444444443
US,Baton Rouge,3,19,1995,18.61111111111111
US,Baton Rouge,3,20,1995,20.055555555555557
US,Baton Rouge,3,21,1995,21.666666666666668
US,Baton Rouge,3,22,1995,22.11111111111111
US,Baton Rouge,3,23,1995,22.5
US,Baton Rouge,3,24,1995,23.5
US,Baton Rouge,3,25,1995,21.05555555555556
US,Baton Rouge,3,26,1995,23.000000000000004
US,Baton Rouge,3,27,1995,21.27777777777778
US,Baton Rouge,3,28,1995,17.0
US,Baton Rouge,3,29,1995,12.111111111111107
US,Baton Rouge,3,30,1995,13.88888888888889
US,Baton Rouge,3,31,1995,15.944444444444445
US,Baton Rouge,4,1,1995,14.444444444444445
US,Baton Rouge,4,2,1995,14.22222222222222
US,Baton Rouge,4,3,1995,16.38888888888889
US,Baton Rouge,4,4,1995,17.555555555555557
US,Baton Rouge,4,5,1995,17.055555555555557
US,Baton Rouge,4,6,1995,17.666666666666668
US,Baton Rouge,4,7,1995,19.33333333333333
US,Baton Rouge,4,8,1995,19.33333333333333
US,Baton Rouge,4,9,1995,22.61111111111111
US,Baton Rouge,4,10,1995,22.38888888888889
US,Baton Rouge,4,11,1995,20.72222222222222
US,Baton Rouge,4,12,1995,18.166666666666668
US,Baton Rouge,4,13,1995,17.944444444444443
US,Baton Rouge,4,14,1995,16.38888888888889
US,Baton Rouge,4,15,1995,18.72222222222222
US,Baton Rouge,4,16,1995,21.77777777777778
US,Baton Rouge,4,17,1995,23.666666666666664
US,Baton Rouge,4,18,1995,24.77777777777777
US,Baton Rouge,4,19,1995,24.944444444444446
US,Baton Rouge,4,20,1995,25.611111111111107
US,Baton Rouge,4,21,1995,23.38888888888889
US,Baton Rouge,4,22,1995,24.944444444444446
US,Baton Rouge,4,23,1995,20.611111111111107
US,Baton Rouge,4,24,1995,14.5
US,Baton Rouge,4,25,1995,15.61111111111111
US,Baton Rouge,4,26,1995,16.555555555555557
US,Baton Rouge,4,27,1995,18.72222222222222
US,Baton Rouge,4,28,1995,19.77777777777777
US,Baton Rouge,4,29,1995,21.77777777777778
US,Baton Rouge,4,30,1995,22.88888888888889
US,Baton Rouge,5,1,1995,23.666666666666664
US,Baton Rouge,5,2,1995,19.61111111111111
US,Baton Rouge,5,3,1995,17.61111111111111
US,Baton Rouge,5,4,1995,23.55555555555556
US,Baton Rouge,5,5,1995,24.88888888888889
US,Baton Rouge,5,6,1995,26.05555555555556
US,Baton Rouge,5,7,1995,25.27777777777778
US,Baton Rouge,5,8,1995,24.66666666666667
US,Baton Rouge,5,9,1995,24.88888888888889
US,Baton Rouge,5,10,1995,23.61111111111111
US,Baton Rouge,5,11,1995,25.38888888888889
US,Baton Rouge,5,12,1995,22.33333333333333
US,Baton Rouge,5,13,1995,26.83333333333333
US,Baton Rouge,5,14,1995,27.5
US,Baton Rouge,5,15,1995,27.77777777777778
US,Baton Rouge,5,16,1995,27.22222222222222
US,Baton Rouge,5,17,1995,27.5
