Country,City,Month,Day,Year,AvgTemperature
US,Concord,1,1,1995,0.3333333333333341
US,Concord,1,2,1995,0.0555555555555563
US,Concord,1,3,1995,-3.944444444444445
US,Concord,1,4,1995,-4.500000000000001
US,Concord,1,5,1995,-9.444444444444445
US,Concord,1,6,1995,-6.111111111111111
US,Concord,1,7,1995,0.7222222222222207
US,Concord,1,8,1995,-3.2222222222222228
US,Concord,1,9,1995,-5.944444444444445
US,Concord,1,10,1995,-9.61111111111111
US,Concord,1,11,1995,-13.61111111111111
US,Concord,1,12,1995,-9.77777777777778
US,Concord,1,13,1995,-1.0555555555555547
US,Concord,1,14,1995,1.9444444444444444
US,Concord,1,15,1995,10.055555555555555
US,Concord,1,16,1995,14.38888888888889
US,Concord,1,17,1995,10.22222222222222
US,Concord,1,18,1995,1.833333333333332
US,Concord,1,19,1995,0.0
US,Concord,1,20,1995,1.3888888888888888
US,Concord,1,21,1995,3.1666666666666683
US,Concord,1,22,1995,1.5000000000000016
US,Concord,1,23,1995,-0.3333333333333341
US,Concord,1,24,1995,-4.0
US,Concord,1,25,1995,-2.111111111111112
US,Concord,1,26,1995,-5.166666666666667
US,Concord,1,27,1995,-7.777777777777778
US,Concord,1,28,1995,-10.444444444444445
US,Concord,1,29,1995,-8.61111111111111
US,Concord,1,30,1995,-5.944444444444445
US,Concord,1,31,1995,-2.5
US,Concord,2,1,1995,2.1111111111111094
US,Concord,2,2,1995,-0.8333333333333334
US,Concord,2,3,1995,-9.555555555555555
US,Concord,2,4,1995,-6.388888888888889
US,Concord,2,5,1995,-8.38888888888889
US,Concord,2,6,1995,-18.22222222222222
US,Concord,2,7,1995,-17.77777777777778
US,Concord,2,8,1995,-15.77777777777778
US,Concord,2,9,1995,-7.833333333333333
US,Concord,2,10,1995,-4.777777777777779
US,Concord,2,11,1995,-1.4444444444444453
US,Concord,2,12,1995,-8.277777777777779
US,Concord,2,13,1995,-11.72222222222222
US,Concord,2,14,1995,-9.555555555555555
US,Concord,2,15,1995,-10.555555555555555
US,Concord,2,16,1995,1.888888888888888
US,Concord,2,17,1995,-1.6666666666666667
US,Concord,2,18,1995,-1.6111111111111105
US,Concord,2,19,1995,-0.3888888888888885
US,Concord,2,20,1995,0.3333333333333341
US,Concord,2,21,1995,0.7222222222222207
US,Concord,2,22,1995,-0.2777777777777778
US,Concord,2,23,1995,-0.7222222222222227
US,Concord,2,24,1995,1.1111111111111112
US,Concord,2,25,1995,-5.611111111111112
US,Concord,2,26,1995,-10.27777777777778
US,Concord,2,27,1995,-12.77777777777778
US,Concord,2,28,1995,-4.666666666666666
US,Concord,3,1,1995,-1.555555555555556
US,Concord,3,2,1995,-2.3888888888888893
US,Concord,3,3,1995,-5.777777777777777
US,Concord,3,4,1995,-5.055555555555556
US,Concord,3,5,1995,-0.8333333333333334
US,Concord,3,6,1995,1.222222222222224
US,Concord,3,7,1995,-0.4444444444444448
US,Concord,3,8,1995,7.944444444444443
US,Concord,3,9,1995,0.3888888888888904
US,Concord,3,10,1995,-6.166666666666668
US,Concord,3,11,1995,-2.666666666666667
US,Concord,3,12,1995,-0.7222222222222227
US,Concord,3,13,1995,8.166666666666668
US,Concord,3,14,1995,4.000000000000002
US,Concord,3,15,1995,6.0555555555555545
US,Concord,3,16,1995,5.166666666666665
US,Concord,3,17,1995,3.555555555555555
