Country,City,Month,Day,Year,AvgTemperature
US,Corpus Christi,1,1,1995,11.72222222222222
US,Corpus Christi,1,2,1995,7.000000000000001
US,Corpus Christi,1,3,1995,6.833333333333332
US,Corpus Christi,1,4,1995,7.000000000000001
US,Corpus Christi,1,5,1995,5.555555555555555
US,Corpus Christi,1,6,1995,9.888888888888888
US,Corpus Christi,1,7,1995,12.333333333333336
US,Corpus Christi,1,8,1995,13.499999999999998
US,Corpus Christi,1,9,1995,18.22222222222222
US,Corpus Christi,1,10,1995,20.38888888888889
US,Corpus Christi,1,11,1995,21.77777777777778
US,Corpus Christi,1,12,1995,20.88888888888889
US,Corpus Christi,1,13,1995,17.555555555555557
US,Corpus Christi,1,14,1995,14.666666666666666
US,Corpus Christi,1,15,1995,14.055555555555554
US,Corpus Christi,1,16,1995,18.111111111111107
US,Corpus Christi,1,17,1995,19.83333333333333
US,Corpus Christi,1,18,1995,18.77777777777778
US,Corpus Christi,1,19,1995,12.388888888888888
US,Corpus Christi,1,20,1995,14.166666666666666
US,Corpus Christi,1,21,1995,14.555555555555555
US,Corpus Christi,1,22,1995,19.72222222222222
US,Corpus Christi,1,23,1995,11.444444444444445
US,Corpus Christi,1,24,1995,10.0
US,Corpus Christi,1,25,1995,15.38888888888889
US,Corpus Christi,1,26,1995,19.55555555555556
US,Corpus Christi,1,27,1995,20.27777777777778
US,Corpus Christi,1,28,1995,18.22222222222222
US,Corpus Christi,1,29,1995,14.61111111111111
US,Corpus Christi,1,30,1995,10.555555555555555
US,Corpus Christi,1,31,1995,10.333333333333334
US,Corpus Christi,2,1,1995,13.555555555555555
US,Corpus Christi,2,2,1995,14.77777777777778
US,Corpus Christi,2,3,1995,19.0
US,Corpus Christi,2,4,1995,15.444444444444445
US,Corpus Christi,2,5,1995,13.61111111111111
US,Corpus Christi,2,6,1995,15.27777777777778
US,Corpus Christi,2,7,1995,18.38888888888889
US,Corpus Christi,2,8,1995,11.944444444444445
US,Corpus Christi,2,9,1995,13.444444444444446
US,Corpus Christi,2,10,1995,19.72222222222222
US,Corpus Christi,2,11,1995,20.777777777777786
US,Corpus Christi,2,12,1995,9.666666666666666
US,Corpus Christi,2,13,1995,12.5
US,Corpus Christi,2,14,1995,14.38888888888889
US,Corpus Christi,2,15,1995,22.11111111111111
US,Corpus Christi,2,16,1995,19.77777777777777
US,Corpus Christi,2,17,1995,11.666666666666666
US,Corpus Christi,2,18,1995,12.055555555555555
US,Corpus Christi,2,19,1995,15.333333333333334
US,Corpus Christi,2,20,1995,15.5
US,Corpus Christi,2,21,1995,15.444444444444445
US,Corpus Christi,2,22,1995,16.61111111111111
US,Corpus Christi,2,23,1995,20.88888888888889
US,Corpus Christi,2,24,1995,20.444444444444443
US,Corpus Christi,2,25,1995,19.05555555555556
US,Corpus Christi,2,26,1995,20.88888888888889
US,Corpus Christi,2,27,1995,21.888888888888893
US,Corpus Christi,2,28,1995,20.166666666666668
US,Corpus Christi,3,1,1995,11.166666666666666
US,Corpus Christi,3,2,1995,10.833333333333334
US,Corpus Christi,3,3,1995,7.333333333333335
US,Corpus Christi,3,4,1995,9.444444444444445
US,Corpus Christi,3,5,1995,15.27777777777778
US,Corpus Christi,3,6,1995,19.88888888888889
US,Corpus Christi,3,7,1995,17.77777777777778
US,Corpus Christi,3,8,1995,8.722222222222223
US,Corpus Christi,3,9,1995,10.833333333333334
US,Corpus Christi,3,10,1995,15.444444444444445
US,Corpus Christi,3,11,1995,19.5
US,Corpus Christi,3,12,1995,22.16666666666667
US,Corpus Christi,3,13,1995,21.0
US,Corpus Christi,3,14,1995,20.666666666666668
US,Corpus Christi,3,15,1995,18.000000000000004
US,Corpus Christi,3,16,1995,17.444444444444443
US,Corpus Christi,3,17,1995,18.111111111111107
US,Corpus Christi,3,18,1995,18.944444444444443
US,Corpus Christi,3,19,1995,20.11111111111111
US,Corpus Christi,3,20,1995,22.38888888888889
US,Corpus Christi,3,21,1995,23.000000000000004
US,Corpus Christi,3,22,1995,23.33333333333333
US,Corpus Christi,3,23,1995,23.944444444444443
US,Corpus Christi,3,24,1995,23.833333333333336
US,Corpus Christi,3,25,1995,23.61111111111111
US,Corpus Christi,3,26,1995,23.444444444444443
US,Corpus Christi,3,27,1995,21.27777777777778
US,Corpus Christi,3,28,1995,19.83333333333333
US,Corpus Christi,3,29,1995,13.666666666666666
US,Corpus Christi,3,30,1995,13.0
US,Corpus Christi,3,31,1995,16.61111111111111
US,Corpus Christi,4,1,1995,16.666666666666668
