Country,City,Month,Day,Year,AvgTemperature
US,Erie,1,1,1995,4.000000000000002
US,Erie,1,2,1995,-4.222222222222223
US,Erie,1,3,1995,-6.111111111111111
US,Erie,1,4,1995,-8.777777777777779
US,Erie,1,5,1995,-10.444444444444445
US,Erie,1,6,1995,-5.555555555555555
US,Erie,1,7,1995,-0.8888888888888897
US,Erie,1,8,1995,-3.888888888888889
US,Erie,1,9,1995,-4.500000000000001
US,Erie,1,10,1995,-6.0555555555555545
US,Erie,1,11,1995,-1.0555555555555547
US,Erie,1,12,1995,7.777777777777778
US,Erie,1,13,1995,15.833333333333334
US,Erie,1,14,1995,15.11111111111111
US,Erie,1,15,1995,12.055555555555555
US,Erie,1,16,1995,1.833333333333332
US,Erie,1,17,1995,1.3333333333333326
US,Erie,1,18,1995,4.222222222222223
US,Erie,1,19,1995,6.166666666666668
US,Erie,1,20,1995,6.611111111111111
US,Erie,1,21,1995,1.3333333333333326
US,Erie,1,22,1995,-3.5000000000000004
US,Erie,1,23,1995,-4.333333333333333
US,Erie,1,24,1995,-2.055555555555556
US,Erie,1,25,1995,-2.000000000000001
US,Erie,1,26,1995,-2.055555555555556
US,Erie,1,27,1995,-3.3888888888888897
US,Erie,1,28,1995,-4.833333333333333
US,Erie,1,29,1995,-7.833333333333333
US,Erie,1,30,1995,-5.388888888888889
US,Erie,1,31,1995,-2.5
US,Erie,2,1,1995,0.7222222222222207
US,Erie,2,2,1995,-2.555555555555556
US,Erie,2,3,1995,-7.5
US,Erie,2,4,1995,-3.3888888888888897
US,Erie,2,5,1995,-11.22222222222222
US,Erie,2,6,1995,-10.944444444444445
US,Erie,2,7,1995,-8.333333333333334
US,Erie,2,8,1995,-9.944444444444445
US,Erie,2,9,1995,-9.333333333333334
US,Erie,2,10,1995,-1.4999999999999996
US,Erie,2,11,1995,-4.666666666666666
US,Erie,2,12,1995,-13.72222222222222
US,Erie,2,13,1995,-9.72222222222222
US,Erie,2,14,1995,-7.777777777777778
US,Erie,2,15,1995,-2.444444444444444
US,Erie,2,16,1995,1.277777777777776
US,Erie,2,17,1995,-3.111111111111112
US,Erie,2,18,1995,0.6111111111111119
US,Erie,2,19,1995,4.222222222222223
US,Erie,2,20,1995,0.0
US,Erie,2,21,1995,-0.944444444444444
US,Erie,2,22,1995,-6.5
US,Erie,2,23,1995,2.999999999999999
US,Erie,2,24,1995,-1.9444444444444444
US,Erie,2,25,1995,-4.333333333333333
