Country,City,Month,Day,Year,AvgTemperature
US,Lake Charles,1,1,1995,13.666666666666666
US,Lake Charles,1,2,1995,4.666666666666666
US,Lake Charles,1,3,1995,5.166666666666665
US,Lake Charles,1,4,1995,6.111111111111111
US,Lake Charles,1,5,1995,2.833333333333334
US,Lake Charles,1,6,1995,14.22222222222222
US,Lake Charles,1,7,1995,11.500000000000002
US,Lake Charles,1,8,1995,9.444444444444445
US,Lake Charles,1,9,1995,14.833333333333334
US,Lake Charles,1,10,1995,18.000000000000004
US,Lake Charles,1,11,1995,20.944444444444443
US,Lake Charles,1,12,1995,20.777777777777786
US,Lake Charles,1,13,1995,17.27777777777778
US,Lake Charles,1,14,1995,11.500000000000002
US,Lake Charles,1,15,1995,10.88888888888889
US,Lake Charles,1,16,1995,9.888888888888888
US,Lake Charles,1,17,1995,13.722222222222223
US,Lake Charles,1,18,1995,19.61111111111111
US,Lake Charles,1,19,1995,11.333333333333334
US,Lake Charles,1,20,1995,10.61111111111111
US,Lake Charles,1,21,1995,10.388888888888893
US,Lake Charles,1,22,1995,11.38888888888889
US,Lake Charles,1,23,1995,8.444444444444446
US,Lake Charles,1,24,1995,5.777777777777777
US,Lake Charles,1,25,1995,11.333333333333334
US,Lake Charles,1,26,1995,15.11111111111111
US,Lake Charles,1,27,1995,17.666666666666668
US,Lake Charles,1,28,1995,18.5
US,Lake Charles,1,29,1995,11.11111111111111
US,Lake Charles,1,30,1995,7.777777777777778
US,Lake Charles,1,31,1995,6.222222222222224
US,Lake Charles,2,1,1995,12.055555555555555
US,Lake Charles,2,2,1995,15.333333333333334
US,Lake Charles,2,3,1995,18.38888888888889
US,Lake Charles,2,4,1995,13.166666666666668
US,Lake Charles,2,5,1995,13.88888888888889
US,Lake Charles,2,6,1995,10.22222222222222
US,Lake Charles,2,7,1995,10.27777777777778
US,Lake Charles,2,8,1995,7.222222222222222
US,Lake Charles,2,9,1995,7.777777777777778
US,Lake Charles,2,10,1995,17.944444444444443
US,Lake Charles,2,11,1995,16.944444444444443
US,Lake Charles,2,12,1995,3.611111111111111
US,Lake Charles,2,13,1995,6.888888888888888
US,Lake Charles,2,14,1995,12.555555555555555
US,Lake Charles,2,15,1995,19.72222222222222
US,Lake Charles,2,16,1995,21.83333333333333
US,Lake Charles,2,17,1995,11.333333333333334
US,Lake Charles,2,18,1995,10.61111111111111
US,Lake Charles,2,19,1995,12.944444444444445
US,Lake Charles,2,20,1995,15.444444444444445
US,Lake Charles,2,21,1995,17.11111111111111
US,Lake Charles,2,22,1995,12.72222222222222
US,Lake Charles,2,23,1995,18.000000000000004
US,Lake Charles,2,24,1995,16.833333333333332
US,Lake Charles,2,25,1995,12.388888888888888
US,Lake Charles,2,26,1995,16.88888888888889
US,Lake Charles,2,27,1995,20.88888888888889
US,Lake Charles,2,28,1995,19.111111111111114
US,Lake Charles,3,1,1995,11.72222222222222
US,Lake Charles,3,2,1995,8.055555555555555
US,Lake Charles,3,3,1995,8.0
US,Lake Charles,3,4,1995,11.72222222222222
US,Lake Charles,3,5,1995,19.33333333333333
US,Lake Charles,3,6,1995,21.333333333333336
US,Lake Charles,3,7,1995,18.666666666666664
US,Lake Charles,3,8,1995,7.000000000000001
US,Lake Charles,3,9,1995,9.166666666666666
US,Lake Charles,3,10,1995,10.055555555555555
US,Lake Charles,3,11,1995,16.333333333333332
US,Lake Charles,3,12,1995,19.222222222222214
US,Lake Charles,3,13,1995,19.444444444444443
US,Lake Charles,3,14,1995,18.111111111111107
US,Lake Charles,3,15,1995,17.166666666666668
US,Lake Charles,3,16,1995,16.444444444444443
US,Lake Charles,3,17,1995,16.88888888888889
US,Lake Charles,3,18,1995,18.88888888888889
US,Lake Charles,3,19,1995,20.500000000000004
US,Lake Charles,3,20,1995,20.444444444444443
US,Lake Charles,3,21,1995,22.38888888888889
US,Lake Charles,3,22,1995,22.0
US,Lake Charles,3,23,1995,22.666666666666668
US,Lake Charles,3,24,1995,21.77777777777778
US,Lake Charles,3,25,1995,23.000000000000004
US,Lake Charles,3,26,1995,24.33333333333333
US,Lake Charles,3,27,1995,21.22222222222222
US,Lake Charles,3,28,1995,18.277777777777786
US,Lake Charles,3,29,1995,12.77777777777778
US,Lake Charles,3,30,1995,14.055555555555554
US,Lake Charles,3,31,1995,17.055555555555557
US,Lake Charles,4,1,1995,15.22222222222222
US,Lake Charles,4,2,1995,15.88888888888889
US,Lake Charles,4,3,1995,17.22222222222222
US,Lake Charles,4,4,1995,18.05555555555556
US,Lake Charles,4,5,1995,18.05555555555556
US,Lake Charles,4,6,1995,19.5
US,Lake Charles,4,7,1995,20.500000000000004
US,Lake Charles,4,8,1995,20.38888888888889
US,Lake Charles,4,9,1995,22.61111111111111
US,Lake Charles,4,10,1995,23.38888888888889
US,Lake Charles,4,11,1995,21.11111111111111
US,Lake Charles,4,12,1995,17.61111111111111
US,Lake Charles,4,13,1995,20.222222222222225
US,Lake Charles,4,14,1995,18.000000000000004
US,Lake Charles,4,15,1995,20.38888888888889
US,Lake Charles,4,16,1995,22.77777777777778
US,Lake Charles,4,17,1995,24.222222222222214
US,Lake Charles,4,18,1995,25.27777777777778
US,Lake Charles,4,19,1995,25.38888888888889
US,Lake Charles,4,20,1995,25.444444444444443
US,Lake Charles,4,21,1995,20.72222222222222
US,Lake Charles,4,22,1995,25.83333333333333
US,Lake Charles,4,23,1995,21.05555555555556
US,Lake Charles,4,24,1995,14.72222222222222
US,Lake Charles,4,25,1995,16.22222222222222
US,Lake Charles,4,26,1995,18.38888888888889
US,Lake Charles,4,27,1995,21.166666666666664
US,Lake Charles,4,28,1995,21.11111111111111
US,Lake Charles,4,29,1995,21.722222222222214
US,Lake Charles,4,30,1995,22.61111111111111
US,Lake Charles,5,1,1995,24.166666666666668
US,Lake Charles,5,2,1995,19.88888888888889
US,Lake Charles,5,3,1995,20.611111111111107
US,Lake Charles,5,4,1995,25.33333333333333
US,Lake Charles,5,5,1995,25.444444444444443
US,Lake Charles,5,6,1995,25.500000000000004
US,Lake Charles,5,7,1995,26.55555555555556
US,Lake Charles,5,8,1995,23.666666666666664
US,Lake Charles,5,9,1995,21.5
US,Lake Charles,5,10,1995,27.83333333333333
US,Lake Charles,5,11,1995,26.444444444444443
US,Lake Charles,5,12,1995,24.944444444444446
US,Lake Charles,5,13,1995,28.05555555555556
US,Lake Charles,5,14,1995,28.166666666666668
US,Lake Charles,5,15,1995,28.33333333333333
US,Lake Charles,5,16,1995,27.444444444444446
US,Lake Charles,5,17,1995,27.61111111111111
US,Lake Charles,5,18,1995,27.11111111111111
US,Lake Charles,5,19,1995,21.77777777777778
US,Lake Charles,5,20,1995,20.666666666666668
US,Lake Charles,5,21,1995,22.444444444444446
US,Lake Charles,5,22,1995,24.61111111111111
US,Lake Charles,5,23,1995,25.11111111111111
