Country,City,Month,Day,Year,AvgTemperature
US,Midland Odessa,1,1,1995,0.944444444444446
US,Midland Odessa,1,2,1995,-0.3333333333333341
US,Midland Odessa,1,3,1995,1.6111111111111105
US,Midland Odessa,1,4,1995,-0.6666666666666663
US,Midland Odessa,1,5,1995,-1.222222222222222
US,Midland Odessa,1,6,1995,6.500000000000002
US,Midland Odessa,1,7,1995,8.333333333333334
US,Midland Odessa,1,8,1995,10.388888888888893
US,Midland Odessa,1,9,1995,10.72222222222222
US,Midland Odessa,1,10,1995,12.388888888888888
US,Midland Odessa,1,11,1995,14.666666666666666
US,Midland Odessa,1,12,1995,13.944444444444445
US,Midland Odessa,1,13,1995,8.944444444444445
US,Midland Odessa,1,14,1995,8.222222222222221
US,Midland Odessa,1,15,1995,10.88888888888889
US,Midland Odessa,1,16,1995,13.722222222222223
US,Midland Odessa,1,17,1995,11.38888888888889
US,Midland Odessa,1,18,1995,6.611111111111111
US,Midland Odessa,1,19,1995,4.944444444444444
US,Midland Odessa,1,20,1995,7.388888888888887
US,Midland Odessa,1,21,1995,7.833333333333333
US,Midland Odessa,1,22,1995,6.333333333333332
US,Midland Odessa,1,23,1995,1.5000000000000016
US,Midland Odessa,1,24,1995,3.777777777777776
US,Midland Odessa,1,25,1995,3.555555555555555
US,Midland Odessa,1,26,1995,12.388888888888888
US,Midland Odessa,1,27,1995,11.277777777777777
US,Midland Odessa,1,28,1995,9.333333333333332
US,Midland Odessa,1,29,1995,5.38888888888889
US,Midland Odessa,1,30,1995,2.944444444444443
US,Midland Odessa,1,31,1995,7.444444444444445
US,Midland Odessa,2,1,1995,10.388888888888893
US,Midland Odessa,2,2,1995,13.944444444444445
US,Midland Odessa,2,3,1995,12.555555555555555
US,Midland Odessa,2,4,1995,8.38888888888889
US,Midland Odessa,2,5,1995,10.27777777777778
US,Midland Odessa,2,6,1995,8.055555555555555
US,Midland Odessa,2,7,1995,9.166666666666666
US,Midland Odessa,2,8,1995,3.6666666666666674
US,Midland Odessa,2,9,1995,8.444444444444446
US,Midland Odessa,2,10,1995,17.11111111111111
US,Midland Odessa,2,11,1995,8.944444444444445
US,Midland Odessa,2,12,1995,1.1111111111111112
US,Midland Odessa,2,13,1995,4.000000000000002
US,Midland Odessa,2,14,1995,11.61111111111111
US,Midland Odessa,2,15,1995,13.88888888888889
US,Midland Odessa,2,16,1995,6.222222222222224
US,Midland Odessa,2,17,1995,3.722222222222224
US,Midland Odessa,2,18,1995,8.777777777777777
US,Midland Odessa,2,19,1995,11.72222222222222
US,Midland Odessa,2,20,1995,12.72222222222222
US,Midland Odessa,2,21,1995,14.055555555555554
US,Midland Odessa,2,22,1995,13.666666666666666
US,Midland Odessa,2,23,1995,14.38888888888889
US,Midland Odessa,2,24,1995,14.555555555555555
US,Midland Odessa,2,25,1995,13.666666666666666
US,Midland Odessa,2,26,1995,16.555555555555557
US,Midland Odessa,2,27,1995,17.11111111111111
US,Midland Odessa,2,28,1995,9.611111111111107
US,Midland Odessa,3,1,1995,-0.8333333333333334
US,Midland Odessa,3,2,1995,-3.944444444444445
US,Midland Odessa,3,3,1995,-1.222222222222222
US,Midland Odessa,3,4,1995,9.666666666666666
US,Midland Odessa,3,5,1995,18.166666666666668
US,Midland Odessa,3,6,1995,15.444444444444445
US,Midland Odessa,3,7,1995,5.166666666666665
US,Midland Odessa,3,8,1995,1.888888888888888
US,Midland Odessa,3,9,1995,6.166666666666668
US,Midland Odessa,3,10,1995,8.944444444444445
US,Midland Odessa,3,11,1995,15.555555555555555
US,Midland Odessa,3,12,1995,17.444444444444443
US,Midland Odessa,3,13,1995,14.000000000000002
US,Midland Odessa,3,14,1995,12.555555555555555
US,Midland Odessa,3,15,1995,12.666666666666664
US,Midland Odessa,3,16,1995,13.499999999999998
US,Midland Odessa,3,17,1995,14.5
US,Midland Odessa,3,18,1995,16.5
US,Midland Odessa,3,19,1995,19.66666666666667
US,Midland Odessa,3,20,1995,20.222222222222225
US,Midland Odessa,3,21,1995,21.05555555555556
US,Midland Odessa,3,22,1995,22.27777777777777
US,Midland Odessa,3,23,1995,19.05555555555556
US,Midland Odessa,3,24,1995,21.944444444444443
US,Midland Odessa,3,25,1995,22.61111111111111
US,Midland Odessa,3,26,1995,17.0
US,Midland Odessa,3,27,1995,12.333333333333336
