Country,City,Month,Day,Year,AvgTemperature
US,Minneapolis St. Paul,1,1,1995,-12.38888888888889
US,Minneapolis St. Paul,1,2,1995,-11.11111111111111
US,Minneapolis St. Paul,1,3,1995,-15.944444444444445
US,Minneapolis St. Paul,1,4,1995,-20.22222222222222
US,Minneapolis St. Paul,1,5,1995,-12.833333333333334
US,Minneapolis St. Paul,1,6,1995,-4.444444444444445
US,Minneapolis St. Paul,1,7,1995,-14.38888888888889
US,Minneapolis St. Paul,1,8,1995,-12.27777777777778
US,Minneapolis St. Paul,1,9,1995,-13.22222222222222
US,Minneapolis St. Paul,1,10,1995,-9.055555555555555
US,Minneapolis St. Paul,1,11,1995,-3.111111111111112
US,Minneapolis St. Paul,1,12,1995,1.0555555555555547
US,Minneapolis St. Paul,1,13,1995,-0.2777777777777778
US,Minneapolis St. Paul,1,14,1995,-4.166666666666667
US,Minneapolis St. Paul,1,15,1995,-6.777777777777778
US,Minneapolis St. Paul,1,16,1995,-2.3888888888888893
US,Minneapolis St. Paul,1,17,1995,0.2222222222222214
US,Minneapolis St. Paul,1,18,1995,-5.666666666666667
US,Minneapolis St. Paul,1,19,1995,-6.666666666666667
US,Minneapolis St. Paul,1,20,1995,-7.888888888888889
US,Minneapolis St. Paul,1,21,1995,-8.055555555555555
US,Minneapolis St. Paul,1,22,1995,-8.777777777777779
US,Minneapolis St. Paul,1,23,1995,-11.27777777777778
US,Minneapolis St. Paul,1,24,1995,-12.5
US,Minneapolis St. Paul,1,25,1995,-8.055555555555555
US,Minneapolis St. Paul,1,26,1995,-9.22222222222222
US,Minneapolis St. Paul,1,27,1995,-3.5000000000000004
US,Minneapolis St. Paul,1,28,1995,-1.7777777777777777
US,Minneapolis St. Paul,1,29,1995,-4.833333333333333
US,Minneapolis St. Paul,1,30,1995,-5.833333333333333
US,Minneapolis St. Paul,1,31,1995,-0.4999999999999992
US,Minneapolis St. Paul,2,1,1995,-0.4999999999999992
US,Minneapolis St. Paul,2,2,1995,-2.5
US,Minneapolis St. Paul,2,3,1995,-0.2222222222222214
US,Minneapolis St. Paul,2,4,1995,-9.11111111111111
US,Minneapolis St. Paul,2,5,1995,-14.333333333333334
US,Minneapolis St. Paul,2,6,1995,-14.38888888888889
US,Minneapolis St. Paul,2,7,1995,-10.72222222222222
US,Minneapolis St. Paul,2,8,1995,-12.72222222222222
US,Minneapolis St. Paul,2,9,1995,-0.944444444444444
US,Minneapolis St. Paul,2,10,1995,-6.0555555555555545
US,Minneapolis St. Paul,2,11,1995,-19.5
US,Minneapolis St. Paul,2,12,1995,-16.444444444444443
US,Minneapolis St. Paul,2,13,1995,-16.0
US,Minneapolis St. Paul,2,14,1995,-13.77777777777778
US,Minneapolis St. Paul,2,15,1995,-5.888888888888889
US,Minneapolis St. Paul,2,16,1995,-13.88888888888889
US,Minneapolis St. Paul,2,17,1995,-2.999999999999999
US,Minneapolis St. Paul,2,18,1995,1.222222222222224
US,Minneapolis St. Paul,2,19,1995,-2.444444444444444
US,Minneapolis St. Paul,2,20,1995,1.6111111111111105
US,Minneapolis St. Paul,2,21,1995,-4.611111111111111
US,Minneapolis St. Paul,2,22,1995,-0.3333333333333341
US,Minneapolis St. Paul,2,23,1995,0.0
US,Minneapolis St. Paul,2,24,1995,-2.722222222222221
US,Minneapolis St. Paul,2,25,1995,-0.5555555555555556
US,Minneapolis St. Paul,2,26,1995,-5.388888888888889
US,Minneapolis St. Paul,2,27,1995,-3.2222222222222228
US,Minneapolis St. Paul,2,28,1995,-11.0
US,Minneapolis St. Paul,3,1,1995,-15.77777777777778
US,Minneapolis St. Paul,3,2,1995,-13.77777777777778
US,Minneapolis St. Paul,3,3,1995,-3.944444444444445
US,Minneapolis St. Paul,3,4,1995,-2.8888888888888884
US,Minneapolis St. Paul,3,5,1995,-1.6666666666666667
US,Minneapolis St. Paul,3,6,1995,-3.277777777777777
US,Minneapolis St. Paul,3,7,1995,-5.555555555555555
US,Minneapolis St. Paul,3,8,1995,-13.77777777777778
US,Minneapolis St. Paul,3,9,1995,-13.055555555555555
US,Minneapolis St. Paul,3,10,1995,-0.3333333333333341
US,Minneapolis St. Paul,3,11,1995,6.277777777777776
US,Minneapolis St. Paul,3,12,1995,10.555555555555555
US,Minneapolis St. Paul,3,13,1995,13.055555555555555
US,Minneapolis St. Paul,3,14,1995,9.444444444444445
US,Minneapolis St. Paul,3,15,1995,7.11111111111111
US,Minneapolis St. Paul,3,16,1995,7.611111111111112
US,Minneapolis St. Paul,3,17,1995,9.77777777777778
US,Minneapolis St. Paul,3,18,1995,6.222222222222224
US,Minneapolis St. Paul,3,19,1995,3.8333333333333326
US,Minneapolis St. Paul,3,20,1995,4.944444444444444
US,Minneapolis St. Paul,3,21,1995,5.1111111111111125
US,Minneapolis St. Paul,3,22,1995,4.944444444444444
US,Minneapolis St. Paul,3,23,1995,6.111111111111111
US,Minneapolis St. Paul,3,24,1995,5.499999999999999
US,Minneapolis St. Paul,3,25,1995,5.38888888888889
US,Minneapolis St. Paul,3,26,1995,4.333333333333332
US,Minneapolis St. Paul,3,27,1995,4.500000000000001
US,Minneapolis St. Paul,3,28,1995,2.444444444444444
US,Minneapolis St. Paul,3,29,1995,2.7777777777777777
US,Minneapolis St. Paul,3,30,1995,1.888888888888888
US,Minneapolis St. Paul,3,31,1995,0.5555555555555556
US,Minneapolis St. Paul,4,1,1995,2.055555555555557
US,Minneapolis St. Paul,4,2,1995,4.888888888888888
US,Minneapolis St. Paul,4,3,1995,7.944444444444443
US,Minneapolis St. Paul,4,4,1995,-9.38888888888889
US,Minneapolis St. Paul,4,5,1995,-0.6111111111111119
US,Minneapolis St. Paul,4,6,1995,5.666666666666668
US,Minneapolis St. Paul,4,7,1995,3.055555555555556
US,Minneapolis St. Paul,4,8,1995,3.444444444444446
US,Minneapolis St. Paul,4,9,1995,2.6111111111111125
US,Minneapolis St. Paul,4,10,1995,1.7777777777777797
US,Minneapolis St. Paul,4,11,1995,1.6111111111111105
US,Minneapolis St. Paul,4,12,1995,2.7777777777777777
US,Minneapolis St. Paul,4,13,1995,6.4444444444444455
US,Minneapolis St. Paul,4,14,1995,9.444444444444445
US,Minneapolis St. Paul,4,15,1995,8.88888888888889
US,Minneapolis St. Paul,4,16,1995,7.777777777777778
US,Minneapolis St. Paul,4,17,1995,5.7222222222222205
US,Minneapolis St. Paul,4,18,1995,5.666666666666668
US,Minneapolis St. Paul,4,19,1995,5.611111111111112
US,Minneapolis St. Paul,4,20,1995,6.222222222222224
US,Minneapolis St. Paul,4,21,1995,3.944444444444445
US,Minneapolis St. Paul,4,22,1995,8.444444444444446
US,Minneapolis St. Paul,4,23,1995,10.388888888888893
US,Minneapolis St. Paul,4,24,1995,8.777777777777777
US,Minneapolis St. Paul,4,25,1995,9.22222222222222
US,Minneapolis St. Paul,4,26,1995,7.88888888888889
US,Minneapolis St. Paul,4,27,1995,6.111111111111111
US,Minneapolis St. Paul,4,28,1995,9.888888888888888
US,Minneapolis St. Paul,4,29,1995,11.555555555555554
US,Minneapolis St. Paul,4,30,1995,11.11111111111111
US,Minneapolis St. Paul,5,1,1995,8.88888888888889
US,Minneapolis St. Paul,5,2,1995,10.27777777777778
US,Minneapolis St. Paul,5,3,1995,12.055555555555555
US,Minneapolis St. Paul,5,4,1995,12.77777777777778
US,Minneapolis St. Paul,5,5,1995,13.22222222222222
US,Minneapolis St. Paul,5,6,1995,13.944444444444445
US,Minneapolis St. Paul,5,7,1995,15.944444444444445
US,Minneapolis St. Paul,5,8,1995,15.055555555555555
US,Minneapolis St. Paul,5,9,1995,8.166666666666668
US,Minneapolis St. Paul,5,10,1995,10.055555555555555
US,Minneapolis St. Paul,5,11,1995,13.11111111111111
US,Minneapolis St. Paul,5,12,1995,15.555555555555555
US,Minneapolis St. Paul,5,13,1995,14.88888888888889
US,Minneapolis St. Paul,5,14,1995,13.0
US,Minneapolis St. Paul,5,15,1995,15.444444444444445
US,Minneapolis St. Paul,5,16,1995,19.72222222222222
US,Minneapolis St. Paul,5,17,1995,12.22222222222222
US,Minneapolis St. Paul,5,18,1995,14.72222222222222
US,Minneapolis St. Paul,5,19,1995,17.444444444444443
US,Minneapolis St. Paul,5,20,1995,15.666666666666666
US,Minneapolis St. Paul,5,21,1995,14.666666666666666
US,Minneapolis St. Paul,5,22,1995,15.88888888888889
US,Minneapolis St. Paul,5,23,1995,11.055555555555555
US,Minneapolis St. Paul,5,24,1995,12.555555555555555
US,Minneapolis St. Paul,5,25,1995,15.5
US,Minneapolis St. Paul,5,26,1995,15.72222222222222
US,Minneapolis St. Paul,5,27,1995,14.5
US,Minneapolis St. Paul,5,28,1995,10.666666666666668
US,Minneapolis St. Paul,5,29,1995,14.72222222222222
US,Minneapolis St. Paul,5,30,1995,19.0
US,Minneapolis St. Paul,5,31,1995,20.83333333333333
US,Minneapolis St. Paul,6,1,1995,19.222222222222214
US,Minneapolis St. Paul,6,2,1995,20.944444444444443
US,Minneapolis St. Paul,6,3,1995,22.05555555555556
US,Minneapolis St. Paul,6,4,1995,23.22222222222222
US,Minneapolis St. Paul,6,5,1995,22.944444444444443
US,Minneapolis St. Paul,6,6,1995,21.444444444444443
US,Minneapolis St. Paul,6,7,1995,18.000000000000004
US,Minneapolis St. Paul,6,8,1995,8.722222222222223
US,Minneapolis St. Paul,6,9,1995,14.22222222222222
US,Minneapolis St. Paul,6,10,1995,14.38888888888889
US,Minneapolis St. Paul,6,11,1995,14.88888888888889
US,Minneapolis St. Paul,6,12,1995,17.72222222222222
US,Minneapolis St. Paul,6,13,1995,20.33333333333333
US,Minneapolis St. Paul,6,14,1995,23.22222222222222
