Country,City,Month,Day,Year,AvgTemperature
US,New Orleans,1,1,1995,15.61111111111111
US,New Orleans,1,2,1995,8.11111111111111
US,New Orleans,1,3,1995,7.5
US,New Orleans,1,4,1995,8.222222222222221
US,New Orleans,1,5,1995,4.500000000000001
US,New Orleans,1,6,1995,15.833333333333334
US,New Orleans,1,7,1995,13.0
US,New Orleans,1,8,1995,8.944444444444445
US,New Orleans,1,9,1995,15.11111111111111
US,New Orleans,1,10,1995,14.833333333333334
US,New Orleans,1,11,1995,19.33333333333333
US,New Orleans,1,12,1995,20.38888888888889
US,New Orleans,1,13,1995,17.22222222222222
US,New Orleans,1,14,1995,12.72222222222222
US,New Orleans,1,15,1995,9.555555555555555
US,New Orleans,1,16,1995,7.333333333333335
US,New Orleans,1,17,1995,11.444444444444445
US,New Orleans,1,18,1995,18.33333333333333
US,New Orleans,1,19,1995,13.166666666666668
US,New Orleans,1,20,1995,9.944444444444445
US,New Orleans,1,21,1995,8.333333333333334
US,New Orleans,1,22,1995,9.77777777777778
US,New Orleans,1,23,1995,10.333333333333334
US,New Orleans,1,24,1995,7.222222222222222
US,New Orleans,1,25,1995,8.38888888888889
US,New Orleans,1,26,1995,11.666666666666666
US,New Orleans,1,27,1995,15.555555555555555
US,New Orleans,1,28,1995,20.88888888888889
US,New Orleans,1,29,1995,12.333333333333336
US,New Orleans,1,30,1995,8.61111111111111
US,New Orleans,1,31,1995,6.888888888888888
US,New Orleans,2,1,1995,9.444444444444445
US,New Orleans,2,2,1995,16.055555555555557
US,New Orleans,2,3,1995,17.944444444444443
US,New Orleans,2,4,1995,12.833333333333334
US,New Orleans,2,5,1995,10.77777777777778
US,New Orleans,2,6,1995,9.11111111111111
US,New Orleans,2,7,1995,9.5
US,New Orleans,2,8,1995,6.611111111111111
US,New Orleans,2,9,1995,5.666666666666668
US,New Orleans,2,10,1995,17.666666666666668
US,New Orleans,2,11,1995,19.55555555555556
US,New Orleans,2,12,1995,5.666666666666668
US,New Orleans,2,13,1995,7.277777777777778
US,New Orleans,2,14,1995,11.222222222222223
US,New Orleans,2,15,1995,19.388888888888893
US,New Orleans,2,16,1995,21.944444444444443
US,New Orleans,2,17,1995,14.38888888888889
US,New Orleans,2,18,1995,10.999999999999998
US,New Orleans,2,19,1995,12.5
US,New Orleans,2,20,1995,14.055555555555554
US,New Orleans,2,21,1995,15.77777777777778
US,New Orleans,2,22,1995,13.11111111111111
US,New Orleans,2,23,1995,17.055555555555557
US,New Orleans,2,24,1995,16.555555555555557
US,New Orleans,2,25,1995,13.11111111111111
US,New Orleans,2,26,1995,13.944444444444445
US,New Orleans,2,27,1995,19.27777777777778
US,New Orleans,2,28,1995,18.944444444444443
US,New Orleans,3,1,1995,11.555555555555554
US,New Orleans,3,2,1995,9.000000000000002
US,New Orleans,3,3,1995,12.27777777777778
US,New Orleans,3,4,1995,13.88888888888889
US,New Orleans,3,5,1995,17.77777777777778
US,New Orleans,3,6,1995,20.944444444444443
US,New Orleans,3,7,1995,20.55555555555556
US,New Orleans,3,8,1995,9.38888888888889
US,New Orleans,3,9,1995,8.277777777777779
US,New Orleans,3,10,1995,10.833333333333334
US,New Orleans,3,11,1995,14.944444444444445
US,New Orleans,3,12,1995,17.72222222222222
US,New Orleans,3,13,1995,19.27777777777778
US,New Orleans,3,14,1995,18.666666666666664
US,New Orleans,3,15,1995,17.666666666666668
US,New Orleans,3,16,1995,17.555555555555557
US,New Orleans,3,17,1995,15.5
US,New Orleans,3,18,1995,17.5
US,New Orleans,3,19,1995,19.0
US,New Orleans,3,20,1995,20.38888888888889
US,New Orleans,3,21,1995,20.611111111111107
US,New Orleans,3,22,1995,21.666666666666668
US,New Orleans,3,23,1995,22.722222222222225
US,New Orleans,3,24,1995,22.83333333333333
US,New Orleans,3,25,1995,21.333333333333336
US,New Orleans,3,26,1995,22.666666666666668
US,New Orleans,3,27,1995,22.444444444444446
US,New Orleans,3,28,1995,18.5
US,New Orleans,3,29,1995,14.333333333333334
US,New Orleans,3,30,1995,15.444444444444445
US,New Orleans,3,31,1995,15.27777777777778
US,New Orleans,4,1,1995,15.11111111111111
US,New Orleans,4,2,1995,14.333333333333334
US,New Orleans,4,3,1995,15.833333333333334
US,New Orleans,4,4,1995,18.277777777777786
US,New Orleans,4,5,1995,17.61111111111111
US,New Orleans,4,6,1995,19.33333333333333
US,New Orleans,4,7,1995,18.88888888888889
US,New Orleans,4,8,1995,19.388888888888893
US,New Orleans,4,9,1995,22.0
US,New Orleans,4,10,1995,22.77777777777778
US,New Orleans,4,11,1995,22.38888888888889
US,New Orleans,4,12,1995,21.333333333333336
US,New Orleans,4,13,1995,18.833333333333336
US,New Orleans,4,14,1995,19.88888888888889
US,New Orleans,4,15,1995,18.166666666666668
US,New Orleans,4,16,1995,21.22222222222222
US,New Orleans,4,17,1995,23.61111111111111
US,New Orleans,4,18,1995,25.222222222222225
US,New Orleans,4,19,1995,25.55555555555556
US,New Orleans,4,20,1995,25.944444444444443
US,New Orleans,4,21,1995,25.38888888888889
US,New Orleans,4,22,1995,26.333333333333336
US,New Orleans,4,23,1995,24.83333333333333
US,New Orleans,4,24,1995,16.444444444444443
US,New Orleans,4,25,1995,17.944444444444443
US,New Orleans,4,26,1995,16.77777777777778
US,New Orleans,4,27,1995,20.222222222222225
US,New Orleans,4,28,1995,20.88888888888889
US,New Orleans,4,29,1995,20.944444444444443
US,New Orleans,4,30,1995,23.277777777777786
US,New Orleans,5,1,1995,24.5
US,New Orleans,5,2,1995,21.5
US,New Orleans,5,3,1995,20.11111111111111
US,New Orleans,5,4,1995,24.222222222222214
US,New Orleans,5,5,1995,23.61111111111111
US,New Orleans,5,6,1995,25.83333333333333
US,New Orleans,5,7,1995,25.611111111111107
US,New Orleans,5,8,1995,25.166666666666668
US,New Orleans,5,9,1995,25.944444444444443
US,New Orleans,5,10,1995,24.72222222222222
US,New Orleans,5,11,1995,25.83333333333333
US,New Orleans,5,12,1995,22.666666666666668
US,New Orleans,5,13,1995,27.27777777777777
US,New Orleans,5,14,1995,27.77777777777778
US,New Orleans,5,15,1995,27.11111111111111
US,New Orleans,5,16,1995,27.05555555555556
US,New Orleans,5,17,1995,27.27777777777777
US,New Orleans,5,18,1995,27.77777777777778
US,New Orleans,5,19,1995,24.83333333333333
US,New Orleans,5,20,1995,21.38888888888889
US,New Orleans,5,21,1995,23.444444444444443
US,New Orleans,5,22,1995,23.944444444444443
US,New Orleans,5,23,1995,24.83333333333333
US,New Orleans,5,24,1995,24.83333333333333
US,New Orleans,5,25,1995,26.5
US,New Orleans,5,26,1995,27.22222222222222
US,New Orleans,5,27,1995,27.61111111111111
US,New Orleans,5,28,1995,28.277777777777786
US,New Orleans,5,29,1995,27.22222222222222
US,New Orleans,5,30,1995,23.666666666666664
US,New Orleans,5,31,1995,24.55555555555556
US,New Orleans,6,1,1995,23.55555555555556
US,New Orleans,6,2,1995,25.222222222222225
US,New Orleans,6,3,1995,26.5
US,New Orleans,6,4,1995,26.888888888888893
US,New Orleans,6,5,1995,28.77777777777778
US,New Orleans,6,6,1995,28.05555555555556
US,New Orleans,6,7,1995,27.944444444444443
US,New Orleans,6,8,1995,29.22222222222222
US,New Orleans,6,9,1995,29.38888888888889
US,New Orleans,6,10,1995,29.0
US,New Orleans,6,11,1995,28.22222222222222
US,New Orleans,6,12,1995,24.166666666666668
US,New Orleans,6,13,1995,24.0
US,New Orleans,6,14,1995,24.88888888888889
US,New Orleans,6,15,1995,23.944444444444443
US,New Orleans,6,16,1995,23.833333333333336
US,New Orleans,6,17,1995,25.88888888888889
US,New Orleans,6,18,1995,25.444444444444443
US,New Orleans,6,19,1995,25.666666666666668
US,New Orleans,6,20,1995,25.055555555555557
US,New Orleans,6,21,1995,26.944444444444443
US,New Orleans,6,22,1995,27.16666666666667
US,New Orleans,6,23,1995,27.05555555555556
US,New Orleans,6,24,1995,27.22222222222222
US,New Orleans,6,25,1995,26.0
US,New Orleans,6,26,1995,27.5
US,New Orleans,6,27,1995,27.77777777777778
US,New Orleans,6,28,1995,25.88888888888889
US,New Orleans,6,29,1995,24.05555555555556
US,New Orleans,6,30,1995,25.666666666666668
US,New Orleans,7,1,1995,23.111111111111107
US,New Orleans,7,2,1995,26.666666666666668
US,New Orleans,7,3,1995,27.88888888888889
US,New Orleans,7,4,1995,29.05555555555556
US,New Orleans,7,5,1995,29.33333333333333
US,New Orleans,7,6,1995,27.666666666666668
US,New Orleans,7,7,1995,28.111111111111107
US,New Orleans,7,8,1995,30.166666666666668
US,New Orleans,7,9,1995,30.38888888888889
US,New Orleans,7,10,1995,30.0
US,New Orleans,7,11,1995,29.944444444444443
US,New Orleans,7,12,1995,30.166666666666668
US,New Orleans,7,13,1995,30.166666666666668
US,New Orleans,7,14,1995,26.22222222222222
US,New Orleans,7,15,1995,27.11111111111111
US,New Orleans,7,16,1995,28.05555555555556
US,New Orleans,7,17,1995,29.0
US,New Orleans,7,18,1995,29.88888888888889
US,New Orleans,7,19,1995,28.166666666666668
US,New Orleans,7,20,1995,28.72222222222222
US,New Orleans,7,21,1995,29.0
US,New Orleans,7,22,1995,29.72222222222222
US,New Orleans,7,23,1995,29.944444444444443
US,New Orleans,7,24,1995,29.444444444444443
US,New Orleans,7,25,1995,29.444444444444443
US,New Orleans,7,26,1995,28.77777777777778
US,New Orleans,7,27,1995,29.944444444444443
US,New Orleans,7,28,1995,28.5
US,New Orleans,7,29,1995,27.555555555555557
US,New Orleans,7,30,1995,26.611111111111114
US,New Orleans,7,31,1995,25.944444444444443
US,New Orleans,8,1,1995,26.722222222222214
US,New Orleans,8,2,1995,28.22222222222222
US,New Orleans,8,3,1995,27.77777777777778
US,New Orleans,8,4,1995,26.83333333333333
US,New Orleans,8,5,1995,28.111111111111107
US,New Orleans,8,6,1995,28.38888888888889
US,New Orleans,8,7,1995,29.0
US,New Orleans,8,8,1995,29.0
US,New Orleans,8,9,1995,28.83333333333333
US,New Orleans,8,10,1995,27.11111111111111
US,New Orleans,8,11,1995,27.27777777777777
US,New Orleans,8,12,1995,27.83333333333333
US,New Orleans,8,13,1995,27.11111111111111
US,New Orleans,8,14,1995,27.05555555555556
US,New Orleans,8,15,1995,29.11111111111111
US,New Orleans,8,16,1995,30.05555555555556
US,New Orleans,8,17,1995,29.77777777777778
US,New Orleans,8,18,1995,29.05555555555556
US,New Orleans,8,19,1995,29.166666666666668
US,New Orleans,8,20,1995,29.61111111111111
US,New Orleans,8,21,1995,28.05555555555556
US,New Orleans,8,22,1995,28.277777777777786
US,New Orleans,8,23,1995,29.22222222222222
US,New Orleans,8,24,1995,29.55555555555556
US,New Orleans,8,25,1995,29.666666666666668
US,New Orleans,8,26,1995,30.444444444444443
US,New Orleans,8,27,1995,30.444444444444443
US,New Orleans,8,28,1995,29.88888888888889
US,New Orleans,8,29,1995,29.61111111111111
US,New Orleans,8,30,1995,28.666666666666668
US,New Orleans,8,31,1995,28.277777777777786
US,New Orleans,9,1,1995,28.000000000000004
US,New Orleans,9,2,1995,29.61111111111111
US,New Orleans,9,3,1995,29.88888888888889
US,New Orleans,9,4,1995,26.888888888888893
US,New Orleans,9,5,1995,26.888888888888893
US,New Orleans,9,6,1995,26.0
US,New Orleans,9,7,1995,25.33333333333333
US,New Orleans,9,8,1995,26.888888888888893
US,New Orleans,9,9,1995,27.27777777777777
US,New Orleans,9,10,1995,27.666666666666668
US,New Orleans,9,11,1995,26.55555555555556
US,New Orleans,9,12,1995,24.5
US,New Orleans,9,13,1995,25.611111111111107
US,New Orleans,9,14,1995,28.111111111111107
US,New Orleans,9,15,1995,27.555555555555557
US,New Orleans,9,16,1995,28.22222222222222
US,New Orleans,9,17,1995,28.000000000000004
US,New Orleans,9,18,1995,27.0
US,New Orleans,9,19,1995,25.72222222222222
US,New Orleans,9,20,1995,27.16666666666667
US,New Orleans,9,21,1995,27.38888888888889
US,New Orleans,9,22,1995,23.38888888888889
US,New Orleans,9,23,1995,19.388888888888893
US,New Orleans,9,24,1995,23.72222222222222
US,New Orleans,9,25,1995,23.38888888888889
US,New Orleans,9,26,1995,25.500000000000004
US,New Orleans,9,27,1995,24.77777777777777
US,New Orleans,9,28,1995,24.0
US,New Orleans,9,29,1995,24.27777777777778
US,New Orleans,9,30,1995,25.944444444444443
US,New Orleans,10,1,1995,26.55555555555556
US,New Orleans,10,2,1995,26.22222222222222
US,New Orleans,10,3,1995,25.27777777777778
US,New Orleans,10,4,1995,22.555555555555557
US,New Orleans,10,5,1995,23.38888888888889
US,New Orleans,10,6,1995,23.61111111111111
US,New Orleans,10,7,1995,20.611111111111107
US,New Orleans,10,8,1995,20.777777777777786
US,New Orleans,10,9,1995,18.666666666666664
US,New Orleans,10,10,1995,20.33333333333333
US,New Orleans,10,11,1995,24.944444444444446
US,New Orleans,10,12,1995,24.944444444444446
US,New Orleans,10,13,1995,24.944444444444446
US,New Orleans,10,14,1995,22.83333333333333
US,New Orleans,10,15,1995,19.111111111111114
US,New Orleans,10,16,1995,17.555555555555557
US,New Orleans,10,17,1995,20.166666666666668
US,New Orleans,10,18,1995,22.61111111111111
US,New Orleans,10,19,1995,22.83333333333333
US,New Orleans,10,20,1995,21.38888888888889
US,New Orleans,10,21,1995,17.38888888888889
US,New Orleans,10,22,1995,15.38888888888889
US,New Orleans,10,23,1995,23.111111111111107
US,New Orleans,10,24,1995,23.444444444444443
US,New Orleans,10,25,1995,21.944444444444443
US,New Orleans,10,26,1995,20.88888888888889
US,New Orleans,10,27,1995,25.0
US,New Orleans,10,28,1995,22.11111111111111
US,New Orleans,10,29,1995,19.166666666666668
US,New Orleans,10,30,1995,16.72222222222222
US,New Orleans,10,31,1995,19.444444444444443
US,New Orleans,11,1,1995,23.444444444444443
US,New Orleans,11,2,1995,23.22222222222222
US,New Orleans,11,3,1995,17.555555555555557
US,New Orleans,11,4,1995,10.88888888888889
US,New Orleans,11,5,1995,12.5
US,New Orleans,11,6,1995,16.944444444444443
US,New Orleans,11,7,1995,23.22222222222222
US,New Orleans,11,8,1995,16.944444444444443
US,New Orleans,11,9,1995,14.5
US,New Orleans,11,10,1995,18.833333333333336
US,New Orleans,11,11,1995,19.88888888888889
US,New Orleans,11,12,1995,10.166666666666664
US,New Orleans,11,13,1995,9.611111111111107
US,New Orleans,11,14,1995,14.27777777777778
US,New Orleans,11,15,1995,11.38888888888889
US,New Orleans,11,16,1995,14.27777777777778
US,New Orleans,11,17,1995,14.5
US,New Orleans,11,18,1995,17.166666666666668
US,New Orleans,11,19,1995,17.38888888888889
US,New Orleans,11,20,1995,18.05555555555556
US,New Orleans,11,21,1995,17.27777777777778
US,New Orleans,11,22,1995,12.833333333333334
US,New Orleans,11,23,1995,15.444444444444445
US,New Orleans,11,24,1995,15.444444444444445
US,New Orleans,11,25,1995,11.666666666666666
US,New Orleans,11,26,1995,11.38888888888889
US,New Orleans,11,27,1995,19.222222222222214
US,New Orleans,11,28,1995,19.72222222222222
US,New Orleans,11,29,1995,10.444444444444445
US,New Orleans,11,30,1995,10.833333333333334
US,New Orleans,12,1,1995,10.444444444444445
US,New Orleans,12,2,1995,14.5
US,New Orleans,12,3,1995,19.944444444444446
US,New Orleans,12,4,1995,21.944444444444443
US,New Orleans,12,5,1995,22.88888888888889
US,New Orleans,12,6,1995,22.722222222222225
US,New Orleans,12,7,1995,17.666666666666668
US,New Orleans,12,8,1995,15.0
US,New Orleans,12,9,1995,13.22222222222222
US,New Orleans,12,10,1995,2.666666666666665
US,New Orleans,12,11,1995,4.555555555555557
US,New Orleans,12,12,1995,10.666666666666668
US,New Orleans,12,13,1995,16.5
US,New Orleans,12,14,1995,19.111111111111114
US,New Orleans,12,15,1995,19.77777777777777
US,New Orleans,12,16,1995,20.88888888888889
US,New Orleans,12,17,1995,21.0
US,New Orleans,12,18,1995,18.944444444444443
