Country,City,Month,Day,Year,AvgTemperature
US,Sacramento,1,1,1995,6.111111111111111
US,Sacramento,1,2,1995,4.777777777777779
US,Sacramento,1,3,1995,8.61111111111111
US,Sacramento,1,4,1995,9.555555555555555
US,Sacramento,1,5,1995,9.22222222222222
US,Sacramento,1,6,1995,8.88888888888889
US,Sacramento,1,7,1995,11.055555555555555
US,Sacramento,1,8,1995,11.61111111111111
US,Sacramento,1,9,1995,14.666666666666666
US,Sacramento,1,10,1995,13.499999999999998
US,Sacramento,1,11,1995,11.944444444444445
US,Sacramento,1,12,1995,12.166666666666666
US,Sacramento,1,13,1995,13.38888888888889
US,Sacramento,1,14,1995,14.166666666666666
US,Sacramento,1,15,1995,10.055555555555555
US,Sacramento,1,16,1995,8.166666666666668
US,Sacramento,1,17,1995,5.1111111111111125
US,Sacramento,1,18,1995,7.833333333333333
US,Sacramento,1,19,1995,7.388888888888887
US,Sacramento,1,20,1995,6.611111111111111
US,Sacramento,1,21,1995,8.944444444444445
US,Sacramento,1,22,1995,10.5
US,Sacramento,1,23,1995,11.333333333333334
US,Sacramento,1,24,1995,11.11111111111111
US,Sacramento,1,25,1995,10.833333333333334
US,Sacramento,1,26,1995,9.611111111111107
US,Sacramento,1,27,1995,9.833333333333336
US,Sacramento,1,28,1995,11.77777777777778
US,Sacramento,1,29,1995,11.72222222222222
US,Sacramento,1,30,1995,12.666666666666664
US,Sacramento,1,31,1995,14.11111111111111
US,Sacramento,2,1,1995,14.333333333333334
US,Sacramento,2,2,1995,14.38888888888889
US,Sacramento,2,3,1995,13.27777777777778
US,Sacramento,2,4,1995,10.27777777777778
US,Sacramento,2,5,1995,9.666666666666666
US,Sacramento,2,6,1995,10.111111111111112
US,Sacramento,2,7,1995,10.27777777777778
US,Sacramento,2,8,1995,10.666666666666668
US,Sacramento,2,9,1995,9.555555555555555
US,Sacramento,2,10,1995,10.055555555555555
US,Sacramento,2,11,1995,9.444444444444445
US,Sacramento,2,12,1995,10.833333333333334
US,Sacramento,2,13,1995,10.22222222222222
US,Sacramento,2,14,1995,6.666666666666667
US,Sacramento,2,15,1995,5.777777777777777
US,Sacramento,2,16,1995,7.5
US,Sacramento,2,17,1995,8.444444444444446
US,Sacramento,2,18,1995,11.88888888888889
US,Sacramento,2,19,1995,12.5
US,Sacramento,2,20,1995,11.77777777777778
US,Sacramento,2,21,1995,12.055555555555555
US,Sacramento,2,22,1995,12.77777777777778
US,Sacramento,2,23,1995,12.333333333333336
US,Sacramento,2,24,1995,12.166666666666666
US,Sacramento,2,25,1995,11.555555555555554
US,Sacramento,2,26,1995,12.72222222222222
US,Sacramento,2,27,1995,11.166666666666666
US,Sacramento,2,28,1995,11.61111111111111
US,Sacramento,3,1,1995,13.27777777777778
US,Sacramento,3,2,1995,13.11111111111111
US,Sacramento,3,3,1995,12.27777777777778
US,Sacramento,3,4,1995,9.27777777777778
US,Sacramento,3,5,1995,11.833333333333332
US,Sacramento,3,6,1995,8.38888888888889
US,Sacramento,3,7,1995,9.555555555555555
US,Sacramento,3,8,1995,12.166666666666666
US,Sacramento,3,9,1995,14.055555555555554
US,Sacramento,3,10,1995,14.166666666666666
US,Sacramento,3,11,1995,12.111111111111107
US,Sacramento,3,12,1995,12.555555555555555
US,Sacramento,3,13,1995,12.444444444444445
US,Sacramento,3,14,1995,14.444444444444445
US,Sacramento,3,15,1995,11.166666666666666
US,Sacramento,3,16,1995,12.666666666666664
US,Sacramento,3,17,1995,12.444444444444445
US,Sacramento,3,18,1995,13.22222222222222
US,Sacramento,3,19,1995,11.77777777777778
US,Sacramento,3,20,1995,12.055555555555555
US,Sacramento,3,21,1995,9.611111111111107
US,Sacramento,3,22,1995,8.499999999999998
US,Sacramento,3,23,1995,6.888888888888888
US,Sacramento,3,24,1995,6.222222222222224
US,Sacramento,3,25,1995,8.944444444444445
US,Sacramento,3,26,1995,10.5
US,Sacramento,3,27,1995,11.11111111111111
US,Sacramento,3,28,1995,12.611111111111112
US,Sacramento,3,29,1995,14.333333333333334
US,Sacramento,3,30,1995,13.944444444444445
US,Sacramento,3,31,1995,13.944444444444445
US,Sacramento,4,1,1995,14.27777777777778
US,Sacramento,4,2,1995,14.833333333333334
US,Sacramento,4,3,1995,15.055555555555555
US,Sacramento,4,4,1995,15.61111111111111
US,Sacramento,4,5,1995,16.555555555555557
US,Sacramento,4,6,1995,15.77777777777778
US,Sacramento,4,7,1995,14.444444444444445
US,Sacramento,4,8,1995,11.222222222222223
US,Sacramento,4,9,1995,10.22222222222222
US,Sacramento,4,10,1995,13.166666666666668
US,Sacramento,4,11,1995,15.0
US,Sacramento,4,12,1995,15.77777777777778
US,Sacramento,4,13,1995,14.000000000000002
US,Sacramento,4,14,1995,10.999999999999998
US,Sacramento,4,15,1995,10.77777777777778
US,Sacramento,4,16,1995,9.5
US,Sacramento,4,17,1995,11.666666666666666
US,Sacramento,4,18,1995,10.388888888888893
US,Sacramento,4,19,1995,12.111111111111107
US,Sacramento,4,20,1995,11.555555555555554
US,Sacramento,4,21,1995,12.0
US,Sacramento,4,22,1995,14.666666666666666
US,Sacramento,4,23,1995,17.27777777777778
US,Sacramento,4,24,1995,18.33333333333333
US,Sacramento,4,25,1995,15.5
US,Sacramento,4,26,1995,14.666666666666666
US,Sacramento,4,27,1995,13.722222222222223
US,Sacramento,4,28,1995,14.666666666666666
US,Sacramento,4,29,1995,15.666666666666666
US,Sacramento,4,30,1995,17.11111111111111
US,Sacramento,5,1,1995,16.72222222222222
US,Sacramento,5,2,1995,15.22222222222222
US,Sacramento,5,3,1995,15.444444444444445
US,Sacramento,5,4,1995,15.444444444444445
US,Sacramento,5,5,1995,13.444444444444446
US,Sacramento,5,6,1995,11.500000000000002
US,Sacramento,5,7,1995,15.27777777777778
US,Sacramento,5,8,1995,14.055555555555554
US,Sacramento,5,9,1995,13.38888888888889
US,Sacramento,5,10,1995,14.72222222222222
US,Sacramento,5,11,1995,15.5
US,Sacramento,5,12,1995,12.5
US,Sacramento,5,13,1995,11.277777777777777
US,Sacramento,5,14,1995,13.555555555555555
US,Sacramento,5,15,1995,14.166666666666666
US,Sacramento,5,16,1995,16.5
US,Sacramento,5,17,1995,17.11111111111111
