Country,City,Month,Day,Year,AvgTemperature
US,Springfield,1,1,1995,-3.944444444444445
US,Springfield,1,2,1995,-8.444444444444445
US,Springfield,1,3,1995,-8.055555555555555
US,Springfield,1,4,1995,-13.72222222222222
US,Springfield,1,5,1995,-13.38888888888889
US,Springfield,1,6,1995,-3.111111111111112
US,Springfield,1,7,1995,-4.611111111111111
US,Springfield,1,8,1995,-8.555555555555555
US,Springfield,1,9,1995,-6.0
US,Springfield,1,10,1995,-3.6666666666666674
US,Springfield,1,11,1995,2.3888888888888875
US,Springfield,1,12,1995,9.000000000000002
US,Springfield,1,13,1995,4.500000000000001
US,Springfield,1,14,1995,2.833333333333334
US,Springfield,1,15,1995,0.0555555555555563
US,Springfield,1,16,1995,-0.2777777777777778
US,Springfield,1,17,1995,3.055555555555556
US,Springfield,1,18,1995,2.944444444444443
US,Springfield,1,19,1995,1.0555555555555547
US,Springfield,1,20,1995,-2.722222222222221
US,Springfield,1,21,1995,-6.166666666666668
US,Springfield,1,22,1995,-6.277777777777778
US,Springfield,1,23,1995,-5.666666666666667
US,Springfield,1,24,1995,-7.777777777777778
US,Springfield,1,25,1995,-4.444444444444445
US,Springfield,1,26,1995,-5.333333333333334
US,Springfield,1,27,1995,-0.5555555555555556
US,Springfield,1,28,1995,0.4999999999999992
US,Springfield,1,29,1995,-4.055555555555555
US,Springfield,1,30,1995,-5.333333333333334
US,Springfield,1,31,1995,0.6111111111111119
US,Springfield,2,1,1995,3.555555555555555
US,Springfield,2,2,1995,2.833333333333334
US,Springfield,2,3,1995,0.7222222222222207
US,Springfield,2,4,1995,-3.3888888888888897
US,Springfield,2,5,1995,-9.61111111111111
US,Springfield,2,6,1995,-14.22222222222222
US,Springfield,2,7,1995,-7.111111111111111
US,Springfield,2,8,1995,-12.166666666666666
US,Springfield,2,9,1995,-4.500000000000001
US,Springfield,2,10,1995,0.4444444444444428
US,Springfield,2,11,1995,-8.61111111111111
US,Springfield,2,12,1995,-13.38888888888889
US,Springfield,2,13,1995,-6.277777777777778
US,Springfield,2,14,1995,-4.166666666666667
US,Springfield,2,15,1995,1.555555555555554
US,Springfield,2,16,1995,-4.388888888888888
US,Springfield,2,17,1995,-1.277777777777778
US,Springfield,2,18,1995,4.555555555555557
US,Springfield,2,19,1995,5.7222222222222205
US,Springfield,2,20,1995,5.888888888888889
US,Springfield,2,21,1995,1.277777777777776
US,Springfield,2,22,1995,5.833333333333333
US,Springfield,2,23,1995,7.388888888888887
US,Springfield,2,24,1995,1.833333333333332
US,Springfield,2,25,1995,7.166666666666667
US,Springfield,2,26,1995,7.666666666666665
US,Springfield,2,27,1995,5.1111111111111125
US,Springfield,2,28,1995,0.3888888888888904
US,Springfield,3,1,1995,-5.277777777777778
US,Springfield,3,2,1995,-5.499999999999999
US,Springfield,3,3,1995,-4.055555555555555
US,Springfield,3,4,1995,-0.2222222222222214
US,Springfield,3,5,1995,4.944444444444444
US,Springfield,3,6,1995,2.666666666666665
US,Springfield,3,7,1995,1.3333333333333326
US,Springfield,3,8,1995,-6.166666666666668
US,Springfield,3,9,1995,-4.388888888888888
US,Springfield,3,10,1995,3.944444444444445
US,Springfield,3,11,1995,12.611111111111112
US,Springfield,3,12,1995,16.0
US,Springfield,3,13,1995,18.666666666666664
US,Springfield,3,14,1995,18.666666666666664
US,Springfield,3,15,1995,16.11111111111111
US,Springfield,3,16,1995,15.833333333333334
US,Springfield,3,17,1995,16.055555555555557
US,Springfield,3,18,1995,16.61111111111111
US,Springfield,3,19,1995,14.555555555555555
US,Springfield,3,20,1995,15.833333333333334
US,Springfield,3,21,1995,7.611111111111112
US,Springfield,3,22,1995,9.055555555555554
US,Springfield,3,23,1995,8.499999999999998
US,Springfield,3,24,1995,6.222222222222224
US,Springfield,3,25,1995,8.722222222222223
US,Springfield,3,26,1995,12.666666666666664
US,Springfield,3,27,1995,10.0
US,Springfield,3,28,1995,6.833333333333332
US,Springfield,3,29,1995,6.0555555555555545
US,Springfield,3,30,1995,4.944444444444444
US,Springfield,3,31,1995,3.3888888888888897
US,Springfield,4,1,1995,2.000000000000001
US,Springfield,4,2,1995,6.222222222222224
US,Springfield,4,3,1995,13.61111111111111
US,Springfield,4,4,1995,3.6666666666666674
US,Springfield,4,5,1995,2.2777777777777786
US,Springfield,4,6,1995,12.333333333333336
US,Springfield,4,7,1995,14.77777777777778
US,Springfield,4,8,1995,18.77777777777778
US,Springfield,4,9,1995,9.166666666666666
US,Springfield,4,10,1995,6.888888888888888
US,Springfield,4,11,1995,11.333333333333334
US,Springfield,4,12,1995,5.277777777777778
US,Springfield,4,13,1995,8.444444444444446
US,Springfield,4,14,1995,10.88888888888889
US,Springfield,4,15,1995,16.444444444444443
US,Springfield,4,16,1995,17.055555555555557
US,Springfield,4,17,1995,17.944444444444443
US,Springfield,4,18,1995,20.55555555555556
US,Springfield,4,19,1995,10.77777777777778
US,Springfield,4,20,1995,9.833333333333336
US,Springfield,4,21,1995,10.944444444444446
US,Springfield,4,22,1995,9.5
US,Springfield,4,23,1995,8.722222222222223
US,Springfield,4,24,1995,8.833333333333334
US,Springfield,4,25,1995,10.166666666666664
US,Springfield,4,26,1995,14.61111111111111
US,Springfield,4,27,1995,12.0
US,Springfield,4,28,1995,9.77777777777778
US,Springfield,4,29,1995,12.111111111111107
US,Springfield,4,30,1995,9.666666666666666
US,Springfield,5,1,1995,8.499999999999998
US,Springfield,5,2,1995,10.555555555555555
US,Springfield,5,3,1995,11.055555555555555
US,Springfield,5,4,1995,10.22222222222222
US,Springfield,5,5,1995,12.944444444444445
US,Springfield,5,6,1995,15.055555555555555
US,Springfield,5,7,1995,19.0
US,Springfield,5,8,1995,19.944444444444446
US,Springfield,5,9,1995,19.72222222222222
US,Springfield,5,10,1995,16.11111111111111
US,Springfield,5,11,1995,13.61111111111111
US,Springfield,5,12,1995,15.333333333333334
US,Springfield,5,13,1995,17.444444444444443
US,Springfield,5,14,1995,20.055555555555557
US,Springfield,5,15,1995,18.111111111111107
US,Springfield,5,16,1995,20.88888888888889
US,Springfield,5,17,1995,18.833333333333336
US,Springfield,5,18,1995,11.055555555555555
US,Springfield,5,19,1995,14.333333333333334
US,Springfield,5,20,1995,16.666666666666668
US,Springfield,5,21,1995,18.666666666666664
US,Springfield,5,22,1995,19.111111111111114
US,Springfield,5,23,1995,22.16666666666667
US,Springfield,5,24,1995,15.555555555555555
US,Springfield,5,25,1995,13.055555555555555
US,Springfield,5,26,1995,14.666666666666666
US,Springfield,5,27,1995,18.72222222222222
US,Springfield,5,28,1995,20.166666666666668
US,Springfield,5,29,1995,15.77777777777778
US,Springfield,5,30,1995,18.72222222222222
US,Springfield,5,31,1995,20.55555555555556
US,Springfield,6,1,1995,20.944444444444443
US,Springfield,6,2,1995,20.27777777777778
US,Springfield,6,3,1995,19.77777777777777
US,Springfield,6,4,1995,22.444444444444446
US,Springfield,6,5,1995,23.444444444444443
US,Springfield,6,6,1995,25.11111111111111
US,Springfield,6,7,1995,25.611111111111107
US,Springfield,6,8,1995,21.55555555555556
US,Springfield,6,9,1995,18.77777777777778
US,Springfield,6,10,1995,24.05555555555556
US,Springfield,6,11,1995,18.666666666666664
US,Springfield,6,12,1995,17.055555555555557
US,Springfield,6,13,1995,19.222222222222214
US,Springfield,6,14,1995,21.5
US,Springfield,6,15,1995,24.5
US,Springfield,6,16,1995,25.944444444444443
US,Springfield,6,17,1995,26.666666666666668
US,Springfield,6,18,1995,25.55555555555556
US,Springfield,6,19,1995,26.0
US,Springfield,6,20,1995,28.22222222222222
US,Springfield,6,21,1995,24.944444444444446
US,Springfield,6,22,1995,25.33333333333333
US,Springfield,6,23,1995,26.05555555555556
US,Springfield,6,24,1995,25.055555555555557
US,Springfield,6,25,1995,24.166666666666668
US,Springfield,6,26,1995,23.05555555555556
US,Springfield,6,27,1995,21.83333333333333
US,Springfield,6,28,1995,22.722222222222225
US,Springfield,6,29,1995,23.666666666666664
US,Springfield,6,30,1995,22.38888888888889
US,Springfield,7,1,1995,19.444444444444443
US,Springfield,7,2,1995,19.0
US,Springfield,7,3,1995,21.83333333333333
US,Springfield,7,4,1995,24.111111111111114
US,Springfield,7,5,1995,26.333333333333336
US,Springfield,7,6,1995,24.222222222222214
US,Springfield,7,7,1995,22.22222222222222
US,Springfield,7,8,1995,22.77777777777778
US,Springfield,7,9,1995,26.27777777777778
US,Springfield,7,10,1995,24.77777777777777
US,Springfield,7,11,1995,27.11111111111111
US,Springfield,7,12,1995,30.72222222222222
US,Springfield,7,13,1995,32.833333333333336
US,Springfield,7,14,1995,32.22222222222222
US,Springfield,7,15,1995,31.166666666666668
US,Springfield,7,16,1995,29.55555555555556
US,Springfield,7,17,1995,25.500000000000004
US,Springfield,7,18,1995,24.0
US,Springfield,7,19,1995,24.61111111111111
US,Springfield,7,20,1995,24.222222222222214
US,Springfield,7,21,1995,23.61111111111111
US,Springfield,7,22,1995,24.444444444444443
US,Springfield,7,23,1995,24.33333333333333
US,Springfield,7,24,1995,26.05555555555556
US,Springfield,7,25,1995,24.61111111111111
US,Springfield,7,26,1995,24.5
US,Springfield,7,27,1995,26.888888888888893
US,Springfield,7,28,1995,28.166666666666668
US,Springfield,7,29,1995,27.61111111111111
US,Springfield,7,30,1995,28.38888888888889
US,Springfield,7,31,1995,29.5
US,Springfield,8,1,1995,26.666666666666668
US,Springfield,8,2,1995,22.944444444444443
US,Springfield,8,3,1995,24.55555555555556
US,Springfield,8,4,1995,24.33333333333333
US,Springfield,8,5,1995,24.72222222222222
US,Springfield,8,6,1995,24.72222222222222
US,Springfield,8,7,1995,26.11111111111111
US,Springfield,8,8,1995,25.11111111111111
US,Springfield,8,9,1995,26.944444444444443
US,Springfield,8,10,1995,26.05555555555556
US,Springfield,8,11,1995,27.666666666666668
US,Springfield,8,12,1995,29.61111111111111
US,Springfield,8,13,1995,29.72222222222222
US,Springfield,8,14,1995,29.444444444444443
US,Springfield,8,15,1995,28.77777777777778
US,Springfield,8,16,1995,26.5
US,Springfield,8,17,1995,27.555555555555557
US,Springfield,8,18,1995,29.72222222222222
US,Springfield,8,19,1995,26.38888888888889
US,Springfield,8,20,1995,26.611111111111114
US,Springfield,8,21,1995,24.0
US,Springfield,8,22,1995,25.666666666666668
US,Springfield,8,23,1995,24.77777777777777
US,Springfield,8,24,1995,23.55555555555556
US,Springfield,8,25,1995,24.72222222222222
US,Springfield,8,26,1995,25.38888888888889
US,Springfield,8,27,1995,25.11111111111111
US,Springfield,8,28,1995,25.11111111111111
US,Springfield,8,29,1995,25.944444444444443
US,Springfield,8,30,1995,25.055555555555557
US,Springfield,8,31,1995,26.77777777777778
US,Springfield,9,1,1995,23.5
US,Springfield,9,2,1995,20.27777777777778
US,Springfield,9,3,1995,21.55555555555556
US,Springfield,9,4,1995,24.88888888888889
US,Springfield,9,5,1995,24.444444444444443
US,Springfield,9,6,1995,25.38888888888889
US,Springfield,9,7,1995,21.77777777777778
US,Springfield,9,8,1995,15.333333333333334
US,Springfield,9,9,1995,17.166666666666668
US,Springfield,9,10,1995,15.72222222222222
US,Springfield,9,11,1995,16.944444444444443
US,Springfield,9,12,1995,21.27777777777778
US,Springfield,9,13,1995,22.27777777777777
US,Springfield,9,14,1995,21.5
US,Springfield,9,15,1995,19.222222222222214
US,Springfield,9,16,1995,21.444444444444443
US,Springfield,9,17,1995,19.222222222222214
US,Springfield,9,18,1995,15.27777777777778
US,Springfield,9,19,1995,17.38888888888889
US,Springfield,9,20,1995,14.77777777777778
US,Springfield,9,21,1995,10.72222222222222
US,Springfield,9,22,1995,6.555555555555554
US,Springfield,9,23,1995,7.333333333333335
US,Springfield,9,24,1995,9.22222222222222
US,Springfield,9,25,1995,14.666666666666666
US,Springfield,9,26,1995,12.555555555555555
US,Springfield,9,27,1995,16.5
US,Springfield,9,28,1995,19.0
US,Springfield,9,29,1995,21.333333333333336
US,Springfield,9,30,1995,23.77777777777778
US,Springfield,10,1,1995,20.55555555555556
US,Springfield,10,2,1995,17.0
US,Springfield,10,3,1995,18.55555555555556
US,Springfield,10,4,1995,14.88888888888889
US,Springfield,10,5,1995,16.0
US,Springfield,10,6,1995,13.444444444444446
US,Springfield,10,7,1995,11.77777777777778
US,Springfield,10,8,1995,10.166666666666664
US,Springfield,10,9,1995,17.83333333333333
US,Springfield,10,10,1995,14.000000000000002
US,Springfield,10,11,1995,16.77777777777778
US,Springfield,10,12,1995,20.33333333333333
US,Springfield,10,13,1995,21.5
US,Springfield,10,14,1995,12.666666666666664
US,Springfield,10,15,1995,8.722222222222223
US,Springfield,10,16,1995,9.833333333333336
US,Springfield,10,17,1995,17.055555555555557
US,Springfield,10,18,1995,21.27777777777778
US,Springfield,10,19,1995,20.944444444444443
US,Springfield,10,20,1995,8.88888888888889
US,Springfield,10,21,1995,5.555555555555555
US,Springfield,10,22,1995,8.722222222222223
US,Springfield,10,23,1995,16.88888888888889
US,Springfield,10,24,1995,9.555555555555555
US,Springfield,10,25,1995,8.277777777777779
US,Springfield,10,26,1995,13.27777777777778
US,Springfield,10,27,1995,13.444444444444446
US,Springfield,10,28,1995,9.555555555555555
US,Springfield,10,29,1995,7.833333333333333
US,Springfield,10,30,1995,9.27777777777778
US,Springfield,10,31,1995,10.22222222222222
US,Springfield,11,1,1995,14.77777777777778
US,Springfield,11,2,1995,10.22222222222222
US,Springfield,11,3,1995,0.0555555555555563
US,Springfield,11,4,1995,-2.055555555555556
US,Springfield,11,5,1995,-0.8333333333333334
US,Springfield,11,6,1995,2.8888888888888906
US,Springfield,11,7,1995,7.777777777777778
US,Springfield,11,8,1995,-0.2777777777777778
US,Springfield,11,9,1995,2.1111111111111094
US,Springfield,11,10,1995,12.5
US,Springfield,11,11,1995,0.2777777777777778
US,Springfield,11,12,1995,-4.388888888888888
US,Springfield,11,13,1995,0.8888888888888897
US,Springfield,11,14,1995,-1.3333333333333326
US,Springfield,11,15,1995,-1.9444444444444444
US,Springfield,11,16,1995,2.6111111111111125
US,Springfield,11,17,1995,7.388888888888887
US,Springfield,11,18,1995,6.166666666666668
US,Springfield,11,19,1995,4.666666666666666
US,Springfield,11,20,1995,7.444444444444445
US,Springfield,11,21,1995,3.888888888888889
US,Springfield,11,22,1995,-1.0555555555555547
US,Springfield,11,23,1995,2.000000000000001
US,Springfield,11,24,1995,-2.6111111111111107
US,Springfield,11,25,1995,3.777777777777776
US,Springfield,11,26,1995,10.22222222222222
US,Springfield,11,27,1995,12.166666666666666
US,Springfield,11,28,1995,-1.888888888888888
US,Springfield,11,29,1995,-4.333333333333333
US,Springfield,11,30,1995,3.555555555555555
US,Springfield,12,1,1995,11.055555555555555
US,Springfield,12,2,1995,7.611111111111112
US,Springfield,12,3,1995,12.0
US,Springfield,12,4,1995,2.2777777777777786
US,Springfield,12,5,1995,6.277777777777776
US,Springfield,12,6,1995,-3.3888888888888897
US,Springfield,12,7,1995,-6.0555555555555545
US,Springfield,12,8,1995,-3.888888888888889
US,Springfield,12,9,1995,-14.38888888888889
US,Springfield,12,10,1995,-13.88888888888889
US,Springfield,12,11,1995,-7.000000000000001
US,Springfield,12,12,1995,-6.833333333333333
US,Springfield,12,13,1995,-0.2222222222222214
US,Springfield,12,14,1995,8.499999999999998
US,Springfield,12,15,1995,3.944444444444445
US,Springfield,12,16,1995,0.166666666666665
US,Springfield,12,17,1995,1.555555555555554
US,Springfield,12,18,1995,1.555555555555554
US,Springfield,12,19,1995,0.0555555555555563
US,Springfield,12,20,1995,-5.166666666666667
US,Springfield,12,21,1995,-5.277777777777778
US,Springfield,12,22,1995,-4.444444444444445
US,Springfield,12,23,1995,-5.666666666666667
US,Springfield,12,24,1995,-3.7222222222222223
US,Springfield,12,25,1995,-2.9444444444444446
US,Springfield,12,26,1995,-3.2222222222222228
US,Springfield,12,27,1995,-2.555555555555556
US,Springfield,12,28,1995,-7.611111111111111
US,Springfield,12,29,1995,-6.0
US,Springfield,12,30,1995,-2.444444444444444
US,Springfield,12,31,1995,1.3888888888888888
US,Springfield,1,1,1996,1.1111111111111112
US,Springfield,1,2,1996,-0.0555555555555563
US,Springfield,1,3,1996,-6.888888888888888
US,Springfield,1,4,1996,-7.111111111111111
US,Springfield,1,5,1996,-10.0
US,Springfield,1,6,1996,-11.11111111111111
US,Springfield,1,7,1996,-11.0
US,Springfield,1,8,1996,-13.333333333333334
US,Springfield,1,9,1996,-3.333333333333333
US,Springfield,1,10,1996,-3.444444444444444
US,Springfield,1,11,1996,-1.8333333333333337
US,Springfield,1,12,1996,-1.4444444444444453
US,Springfield,1,13,1996,0.5555555555555556
US,Springfield,1,14,1996,4.500000000000001
US,Springfield,1,15,1996,-0.166666666666667
US,Springfield,1,16,1996,0.4444444444444428
US,Springfield,1,17,1996,8.666666666666666
US,Springfield,1,18,1996,8.777777777777777
US,Springfield,1,19,1996,-14.666666666666666
US,Springfield,1,20,1996,-9.444444444444445
US,Springfield,1,21,1996,-4.111111111111111
US,Springfield,1,22,1996,0.9999999999999984
US,Springfield,1,23,1996,3.055555555555556
US,Springfield,1,24,1996,-5.388888888888889
US,Springfield,1,25,1996,-5.777777777777777
US,Springfield,1,26,1996,2.7777777777777777
US,Springfield,1,27,1996,-6.611111111111111
US,Springfield,1,28,1996,-6.0
US,Springfield,1,29,1996,-3.166666666666666
US,Springfield,1,30,1996,-13.333333333333334
US,Springfield,1,31,1996,-19.72222222222222
US,Springfield,2,1,1996,-14.833333333333334
US,Springfield,2,2,1996,-19.11111111111111
US,Springfield,2,3,1996,-24.33333333333333
US,Springfield,2,4,1996,-22.33333333333333
US,Springfield,2,5,1996,-10.055555555555555
US,Springfield,2,6,1996,-6.0555555555555545
US,Springfield,2,7,1996,4.222222222222223
US,Springfield,2,8,1996,7.666666666666665
US,Springfield,2,9,1996,4.27777777777778
US,Springfield,2,10,1996,9.000000000000002
