Country,City,Month,Day,Year,AvgTemperature
US,West Palm Beach,1,1,1995,20.944444444444443
US,West Palm Beach,1,2,1995,20.38888888888889
US,West Palm Beach,1,3,1995,20.500000000000004
US,West Palm Beach,1,4,1995,20.0
US,West Palm Beach,1,5,1995,18.05555555555556
US,West Palm Beach,1,6,1995,22.05555555555556
US,West Palm Beach,1,7,1995,23.166666666666668
US,West Palm Beach,1,8,1995,16.72222222222222
US,West Palm Beach,1,9,1995,14.27777777777778
US,West Palm Beach,1,10,1995,15.055555555555555
US,West Palm Beach,1,11,1995,18.277777777777786
US,West Palm Beach,1,12,1995,20.38888888888889
US,West Palm Beach,1,13,1995,22.666666666666668
US,West Palm Beach,1,14,1995,22.444444444444446
US,West Palm Beach,1,15,1995,20.0
US,West Palm Beach,1,16,1995,16.11111111111111
US,West Palm Beach,1,17,1995,14.77777777777778
US,West Palm Beach,1,18,1995,17.22222222222222
US,West Palm Beach,1,19,1995,21.444444444444443
US,West Palm Beach,1,20,1995,16.555555555555557
US,West Palm Beach,1,21,1995,13.944444444444445
US,West Palm Beach,1,22,1995,14.27777777777778
US,West Palm Beach,1,23,1995,16.833333333333332
US,West Palm Beach,1,24,1995,13.777777777777777
US,West Palm Beach,1,25,1995,10.944444444444446
US,West Palm Beach,1,26,1995,12.444444444444445
US,West Palm Beach,1,27,1995,13.38888888888889
US,West Palm Beach,1,28,1995,17.88888888888889
US,West Palm Beach,1,29,1995,20.88888888888889
US,West Palm Beach,1,30,1995,18.38888888888889
US,West Palm Beach,1,31,1995,13.0
US,West Palm Beach,2,1,1995,12.555555555555555
US,West Palm Beach,2,2,1995,14.444444444444445
US,West Palm Beach,2,3,1995,15.944444444444445
US,West Palm Beach,2,4,1995,16.5
US,West Palm Beach,2,5,1995,12.111111111111107
US,West Palm Beach,2,6,1995,13.777777777777777
US,West Palm Beach,2,7,1995,11.333333333333334
US,West Palm Beach,2,8,1995,14.833333333333334
US,West Palm Beach,2,9,1995,8.88888888888889
US,West Palm Beach,2,10,1995,14.055555555555554
US,West Palm Beach,2,11,1995,19.166666666666668
US,West Palm Beach,2,12,1995,23.61111111111111
US,West Palm Beach,2,13,1995,20.83333333333333
US,West Palm Beach,2,14,1995,21.166666666666664
US,West Palm Beach,2,15,1995,23.22222222222222
US,West Palm Beach,2,16,1995,23.33333333333333
US,West Palm Beach,2,17,1995,22.444444444444446
US,West Palm Beach,2,18,1995,24.33333333333333
US,West Palm Beach,2,19,1995,23.88888888888889
US,West Palm Beach,2,20,1995,20.777777777777786
US,West Palm Beach,2,21,1995,17.11111111111111
US,West Palm Beach,2,22,1995,15.166666666666666
US,West Palm Beach,2,23,1995,17.166666666666668
US,West Palm Beach,2,24,1995,19.88888888888889
US,West Palm Beach,2,25,1995,19.222222222222214
US,West Palm Beach,2,26,1995,21.55555555555556
US,West Palm Beach,2,27,1995,21.944444444444443
US,West Palm Beach,2,28,1995,21.722222222222214
US,West Palm Beach,3,1,1995,23.666666666666664
US,West Palm Beach,3,2,1995,20.55555555555556
US,West Palm Beach,3,3,1995,19.33333333333333
US,West Palm Beach,3,4,1995,21.05555555555556
US,West Palm Beach,3,5,1995,23.000000000000004
US,West Palm Beach,3,6,1995,23.72222222222222
US,West Palm Beach,3,7,1995,24.05555555555556
US,West Palm Beach,3,8,1995,22.88888888888889
US,West Palm Beach,3,9,1995,18.944444444444443
US,West Palm Beach,3,10,1995,17.88888888888889
US,West Palm Beach,3,11,1995,20.55555555555556
US,West Palm Beach,3,12,1995,21.22222222222222
US,West Palm Beach,3,13,1995,21.611111111111114
US,West Palm Beach,3,14,1995,21.722222222222214
US,West Palm Beach,3,15,1995,21.83333333333333
US,West Palm Beach,3,16,1995,21.944444444444443
US,West Palm Beach,3,17,1995,22.944444444444443
US,West Palm Beach,3,18,1995,19.444444444444443
US,West Palm Beach,3,19,1995,19.61111111111111
US,West Palm Beach,3,20,1995,20.27777777777778
US,West Palm Beach,3,21,1995,20.666666666666668
US,West Palm Beach,3,22,1995,20.666666666666668
US,West Palm Beach,3,23,1995,22.555555555555557
US,West Palm Beach,3,24,1995,23.38888888888889
US,West Palm Beach,3,25,1995,22.61111111111111
US,West Palm Beach,3,26,1995,21.944444444444443
US,West Palm Beach,3,27,1995,21.944444444444443
US,West Palm Beach,3,28,1995,23.000000000000004
US,West Palm Beach,3,29,1995,24.222222222222214
US,West Palm Beach,3,30,1995,26.0
US,West Palm Beach,3,31,1995,25.500000000000004
US,West Palm Beach,4,1,1995,24.66666666666667
US,West Palm Beach,4,2,1995,21.333333333333336
US,West Palm Beach,4,3,1995,19.27777777777778
US,West Palm Beach,4,4,1995,23.277777777777786
US,West Palm Beach,4,5,1995,24.27777777777778
US,West Palm Beach,4,6,1995,24.0
US,West Palm Beach,4,7,1995,21.22222222222222
US,West Palm Beach,4,8,1995,24.05555555555556
US,West Palm Beach,4,9,1995,22.666666666666668
US,West Palm Beach,4,10,1995,23.833333333333336
US,West Palm Beach,4,11,1995,25.055555555555557
US,West Palm Beach,4,12,1995,25.0
US,West Palm Beach,4,13,1995,24.55555555555556
US,West Palm Beach,4,14,1995,23.55555555555556
US,West Palm Beach,4,15,1995,21.38888888888889
US,West Palm Beach,4,16,1995,24.5
US,West Palm Beach,4,17,1995,24.166666666666668
US,West Palm Beach,4,18,1995,24.66666666666667
US,West Palm Beach,4,19,1995,25.88888888888889
US,West Palm Beach,4,20,1995,25.88888888888889
US,West Palm Beach,4,21,1995,26.38888888888889
US,West Palm Beach,4,22,1995,26.27777777777778
US,West Palm Beach,4,23,1995,25.88888888888889
US,West Palm Beach,4,24,1995,26.944444444444443
US,West Palm Beach,4,25,1995,24.61111111111111
US,West Palm Beach,4,26,1995,24.388888888888893
US,West Palm Beach,4,27,1995,25.166666666666668
US,West Palm Beach,4,28,1995,22.666666666666668
US,West Palm Beach,4,29,1995,23.61111111111111
US,West Palm Beach,4,30,1995,24.55555555555556
US,West Palm Beach,5,1,1995,24.55555555555556
US,West Palm Beach,5,2,1995,25.88888888888889
US,West Palm Beach,5,3,1995,25.444444444444443
