Country,City,Month,Day,Year,AvgTemperature
US,Wilmington,1,1,1995,4.888888888888888
US,Wilmington,1,2,1995,2.666666666666665
US,Wilmington,1,3,1995,-3.3888888888888897
US,Wilmington,1,4,1995,-1.0555555555555547
US,Wilmington,1,5,1995,-7.333333333333333
US,Wilmington,1,6,1995,-3.8333333333333326
US,Wilmington,1,7,1995,2.5
US,Wilmington,1,8,1995,0.777777777777777
US,Wilmington,1,9,1995,0.3333333333333341
US,Wilmington,1,10,1995,-1.9444444444444444
US,Wilmington,1,11,1995,0.2777777777777778
US,Wilmington,1,12,1995,5.055555555555556
US,Wilmington,1,13,1995,10.0
US,Wilmington,1,14,1995,12.166666666666666
US,Wilmington,1,15,1995,14.38888888888889
US,Wilmington,1,16,1995,11.555555555555554
US,Wilmington,1,17,1995,8.222222222222221
US,Wilmington,1,18,1995,6.555555555555554
US,Wilmington,1,19,1995,5.1111111111111125
US,Wilmington,1,20,1995,8.666666666666666
US,Wilmington,1,21,1995,4.500000000000001
US,Wilmington,1,22,1995,0.777777777777777
US,Wilmington,1,23,1995,-0.7222222222222227
US,Wilmington,1,24,1995,0.166666666666665
US,Wilmington,1,25,1995,2.722222222222221
US,Wilmington,1,26,1995,-0.4999999999999992
US,Wilmington,1,27,1995,-1.4444444444444453
US,Wilmington,1,28,1995,-1.1111111111111112
US,Wilmington,1,29,1995,-2.8888888888888884
US,Wilmington,1,30,1995,-0.4999999999999992
US,Wilmington,1,31,1995,-0.5555555555555556
US,Wilmington,2,1,1995,2.944444444444443
US,Wilmington,2,2,1995,4.111111111111111
US,Wilmington,2,3,1995,-4.222222222222223
US,Wilmington,2,4,1995,-1.277777777777778
US,Wilmington,2,5,1995,-5.611111111111112
US,Wilmington,2,6,1995,-11.77777777777778
US,Wilmington,2,7,1995,-8.222222222222221
US,Wilmington,2,8,1995,-7.111111111111111
US,Wilmington,2,9,1995,-7.000000000000001
US,Wilmington,2,10,1995,-0.5555555555555556
US,Wilmington,2,11,1995,2.5
US,Wilmington,2,12,1995,-5.833333333333333
US,Wilmington,2,13,1995,-7.944444444444445
US,Wilmington,2,14,1995,-4.444444444444445
US,Wilmington,2,15,1995,-2.555555555555556
US,Wilmington,2,16,1995,2.555555555555556
US,Wilmington,2,17,1995,3.277777777777777
US,Wilmington,2,18,1995,1.722222222222223
US,Wilmington,2,19,1995,2.2222222222222223
US,Wilmington,2,20,1995,5.666666666666668
US,Wilmington,2,21,1995,4.444444444444445
US,Wilmington,2,22,1995,1.888888888888888
US,Wilmington,2,23,1995,3.4999999999999982
US,Wilmington,2,24,1995,5.444444444444443
US,Wilmington,2,25,1995,-0.166666666666667
US,Wilmington,2,26,1995,-0.3333333333333341
US,Wilmington,2,27,1995,0.3333333333333341
US,Wilmington,2,28,1995,4.388888888888888
US,Wilmington,3,1,1995,5.277777777777778
US,Wilmington,3,2,1995,0.8888888888888897
US,Wilmington,3,3,1995,0.2777777777777778
US,Wilmington,3,4,1995,1.833333333333332
US,Wilmington,3,5,1995,5.444444444444443
US,Wilmington,3,6,1995,5.944444444444446
US,Wilmington,3,7,1995,7.5
US,Wilmington,3,8,1995,11.222222222222223
US,Wilmington,3,9,1995,0.5555555555555556
US,Wilmington,3,10,1995,-2.722222222222221
US,Wilmington,3,11,1995,2.555555555555556
US,Wilmington,3,12,1995,6.833333333333332
US,Wilmington,3,13,1995,-72.77777777777777
US,Wilmington,3,14,1995,16.0
US,Wilmington,3,15,1995,9.833333333333336
US,Wilmington,3,16,1995,14.000000000000002
US,Wilmington,3,17,1995,13.11111111111111
US,Wilmington,3,18,1995,8.61111111111111
US,Wilmington,3,19,1995,8.277777777777779
US,Wilmington,3,20,1995,8.055555555555555
