Country,City,Month,Day,Year,AvgTemperature
United Arab Emirates,Abu Dhabi,1,1,1995,17.77777777777778
United Arab Emirates,Abu Dhabi,1,2,1995,19.5
United Arab Emirates,Abu Dhabi,1,3,1995,19.222222222222214
United Arab Emirates,Abu Dhabi,1,4,1995,18.33333333333333
United Arab Emirates,Abu Dhabi,1,5,1995,19.27777777777778
United Arab Emirates,Abu Dhabi,1,6,1995,18.111111111111107
United Arab Emirates,Abu Dhabi,1,7,1995,17.666666666666668
United Arab Emirates,Abu Dhabi,1,8,1995,17.944444444444443
United Arab Emirates,Abu Dhabi,1,9,1995,17.38888888888889
United Arab Emirates,Abu Dhabi,1,10,1995,17.555555555555557
United Arab Emirates,Abu Dhabi,1,11,1995,18.88888888888889
United Arab Emirates,Abu Dhabi,1,12,1995,19.77777777777777
United Arab Emirates,Abu Dhabi,1,13,1995,20.55555555555556
United Arab Emirates,Abu Dhabi,1,14,1995,19.66666666666667
United Arab Emirates,Abu Dhabi,1,15,1995,19.944444444444446
United Arab Emirates,Abu Dhabi,1,16,1995,20.444444444444443
United Arab Emirates,Abu Dhabi,1,17,1995,21.22222222222222
United Arab Emirates,Abu Dhabi,1,18,1995,20.88888888888889
United Arab Emirates,Abu Dhabi,1,19,1995,20.55555555555556
United Arab Emirates,Abu Dhabi,1,20,1995,19.27777777777778
United Arab Emirates,Abu Dhabi,1,21,1995,19.66666666666667
United Arab Emirates,Abu Dhabi,1,22,1995,18.38888888888889
United Arab Emirates,Abu Dhabi,1,23,1995,18.277777777777786
United Arab Emirates,Abu Dhabi,1,24,1995,18.000000000000004
United Arab Emirates,Abu Dhabi,1,25,1995,18.55555555555556
United Arab Emirates,Abu Dhabi,1,26,1995,19.27777777777778
United Arab Emirates,Abu Dhabi,1,27,1995,18.88888888888889
United Arab Emirates,Abu Dhabi,1,28,1995,17.88888888888889
United Arab Emirates,Abu Dhabi,1,29,1995,16.88888888888889
United Arab Emirates,Abu Dhabi,1,30,1995,17.333333333333332
United Arab Emirates,Abu Dhabi,1,31,1995,17.38888888888889
United Arab Emirates,Abu Dhabi,2,1,1995,18.277777777777786
United Arab Emirates,Abu Dhabi,2,2,1995,19.111111111111114
United Arab Emirates,Abu Dhabi,2,3,1995,20.88888888888889
United Arab Emirates,Abu Dhabi,2,4,1995,23.33333333333333
United Arab Emirates,Abu Dhabi,2,5,1995,25.666666666666668
United Arab Emirates,Abu Dhabi,2,6,1995,25.27777777777778
United Arab Emirates,Abu Dhabi,2,7,1995,24.222222222222214
United Arab Emirates,Abu Dhabi,2,8,1995,24.222222222222214
United Arab Emirates,Abu Dhabi,2,9,1995,21.5
United Arab Emirates,Abu Dhabi,2,10,1995,19.166666666666668
United Arab Emirates,Abu Dhabi,2,11,1995,18.5
United Arab Emirates,Abu Dhabi,2,12,1995,18.72222222222222
United Arab Emirates,Abu Dhabi,2,13,1995,18.38888888888889
United Arab Emirates,Abu Dhabi,2,14,1995,18.77777777777778
United Arab Emirates,Abu Dhabi,2,15,1995,19.388888888888893
United Arab Emirates,Abu Dhabi,2,16,1995,19.444444444444443
United Arab Emirates,Abu Dhabi,2,17,1995,18.444444444444443
United Arab Emirates,Abu Dhabi,2,18,1995,20.055555555555557
United Arab Emirates,Abu Dhabi,2,19,1995,21.38888888888889
United Arab Emirates,Abu Dhabi,2,20,1995,18.000000000000004
United Arab Emirates,Abu Dhabi,2,21,1995,18.277777777777786
United Arab Emirates,Abu Dhabi,2,22,1995,18.5
United Arab Emirates,Abu Dhabi,2,23,1995,24.388888888888893
United Arab Emirates,Abu Dhabi,2,24,1995,20.055555555555557
United Arab Emirates,Abu Dhabi,2,25,1995,18.72222222222222
United Arab Emirates,Abu Dhabi,2,26,1995,18.111111111111107
United Arab Emirates,Abu Dhabi,2,27,1995,19.111111111111114
United Arab Emirates,Abu Dhabi,2,28,1995,19.388888888888893
United Arab Emirates,Abu Dhabi,3,1,1995,19.111111111111114
United Arab Emirates,Abu Dhabi,3,2,1995,21.11111111111111
United Arab Emirates,Abu Dhabi,3,3,1995,21.333333333333336
United Arab Emirates,Abu Dhabi,3,4,1995,20.38888888888889
United Arab Emirates,Abu Dhabi,3,5,1995,20.55555555555556
United Arab Emirates,Abu Dhabi,3,6,1995,20.11111111111111
United Arab Emirates,Abu Dhabi,3,7,1995,19.0
United Arab Emirates,Abu Dhabi,3,8,1995,19.388888888888893
United Arab Emirates,Abu Dhabi,3,9,1995,19.33333333333333
United Arab Emirates,Abu Dhabi,3,10,1995,20.0
United Arab Emirates,Abu Dhabi,3,11,1995,22.77777777777778
United Arab Emirates,Abu Dhabi,3,12,1995,22.61111111111111
United Arab Emirates,Abu Dhabi,3,13,1995,18.5
United Arab Emirates,Abu Dhabi,3,14,1995,19.222222222222214
United Arab Emirates,Abu Dhabi,3,15,1995,19.83333333333333
United Arab Emirates,Abu Dhabi,3,16,1995,19.77777777777777
United Arab Emirates,Abu Dhabi,3,17,1995,23.33333333333333
United Arab Emirates,Abu Dhabi,3,18,1995,24.5
United Arab Emirates,Abu Dhabi,3,19,1995,25.33333333333333
United Arab Emirates,Abu Dhabi,3,20,1995,25.611111111111107
United Arab Emirates,Abu Dhabi,3,21,1995,24.72222222222222
United Arab Emirates,Abu Dhabi,3,22,1995,23.166666666666668
United Arab Emirates,Abu Dhabi,3,23,1995,22.16666666666667
United Arab Emirates,Abu Dhabi,3,24,1995,21.77777777777778
United Arab Emirates,Abu Dhabi,3,25,1995,22.33333333333333
United Arab Emirates,Abu Dhabi,3,26,1995,24.05555555555556
United Arab Emirates,Abu Dhabi,3,27,1995,22.5
United Arab Emirates,Abu Dhabi,3,28,1995,20.666666666666668
United Arab Emirates,Abu Dhabi,3,29,1995,20.055555555555557
United Arab Emirates,Abu Dhabi,3,30,1995,21.666666666666668
United Arab Emirates,Abu Dhabi,3,31,1995,21.27777777777778
United Arab Emirates,Abu Dhabi,4,1,1995,21.27777777777778
United Arab Emirates,Abu Dhabi,4,2,1995,22.27777777777777
United Arab Emirates,Abu Dhabi,4,3,1995,26.83333333333333
United Arab Emirates,Abu Dhabi,4,4,1995,26.22222222222222
United Arab Emirates,Abu Dhabi,4,5,1995,26.11111111111111
United Arab Emirates,Abu Dhabi,4,6,1995,23.000000000000004
United Arab Emirates,Abu Dhabi,4,7,1995,22.27777777777777
United Arab Emirates,Abu Dhabi,4,8,1995,21.22222222222222
United Arab Emirates,Abu Dhabi,4,9,1995,21.11111111111111
United Arab Emirates,Abu Dhabi,4,10,1995,22.22222222222222
United Arab Emirates,Abu Dhabi,4,11,1995,26.944444444444443
United Arab Emirates,Abu Dhabi,4,12,1995,25.944444444444443
United Arab Emirates,Abu Dhabi,4,13,1995,26.166666666666664
United Arab Emirates,Abu Dhabi,4,14,1995,26.27777777777778
United Arab Emirates,Abu Dhabi,4,15,1995,27.77777777777778
United Arab Emirates,Abu Dhabi,4,16,1995,26.666666666666668
United Arab Emirates,Abu Dhabi,4,17,1995,25.38888888888889
United Arab Emirates,Abu Dhabi,4,18,1995,27.0
United Arab Emirates,Abu Dhabi,4,19,1995,31.5
United Arab Emirates,Abu Dhabi,4,20,1995,31.666666666666668
United Arab Emirates,Abu Dhabi,4,21,1995,30.38888888888889
United Arab Emirates,Abu Dhabi,4,22,1995,29.22222222222222
United Arab Emirates,Abu Dhabi,4,23,1995,31.666666666666668
United Arab Emirates,Abu Dhabi,4,24,1995,26.944444444444443
United Arab Emirates,Abu Dhabi,4,25,1995,24.72222222222222
United Arab Emirates,Abu Dhabi,4,26,1995,24.222222222222214
United Arab Emirates,Abu Dhabi,4,27,1995,24.72222222222222
United Arab Emirates,Abu Dhabi,4,28,1995,25.83333333333333
United Arab Emirates,Abu Dhabi,4,29,1995,26.77777777777778
United Arab Emirates,Abu Dhabi,4,30,1995,26.27777777777778
United Arab Emirates,Abu Dhabi,5,1,1995,25.777777777777786
United Arab Emirates,Abu Dhabi,5,2,1995,26.05555555555556
United Arab Emirates,Abu Dhabi,5,3,1995,27.61111111111111
United Arab Emirates,Abu Dhabi,5,4,1995,28.83333333333333
United Arab Emirates,Abu Dhabi,5,5,1995,28.22222222222222
United Arab Emirates,Abu Dhabi,5,6,1995,28.72222222222222
United Arab Emirates,Abu Dhabi,5,7,1995,30.38888888888889
United Arab Emirates,Abu Dhabi,5,8,1995,30.61111111111111
United Arab Emirates,Abu Dhabi,5,9,1995,30.33333333333333
United Arab Emirates,Abu Dhabi,5,10,1995,27.5
United Arab Emirates,Abu Dhabi,5,11,1995,27.666666666666668
United Arab Emirates,Abu Dhabi,5,12,1995,28.55555555555556
United Arab Emirates,Abu Dhabi,5,13,1995,30.38888888888889
United Arab Emirates,Abu Dhabi,5,14,1995,30.444444444444443
United Arab Emirates,Abu Dhabi,5,15,1995,29.5
