Country,City,Month,Day,Year,AvgTemperature
United Arab Emirates,Dubai,1,1,1995,19.83333333333333
United Arab Emirates,Dubai,1,2,1995,19.388888888888893
United Arab Emirates,Dubai,1,3,1995,18.72222222222222
United Arab Emirates,Dubai,1,4,1995,19.33333333333333
United Arab Emirates,Dubai,1,5,1995,20.27777777777778
United Arab Emirates,Dubai,1,6,1995,19.77777777777777
United Arab Emirates,Dubai,1,7,1995,18.944444444444443
United Arab Emirates,Dubai,1,8,1995,18.944444444444443
United Arab Emirates,Dubai,1,9,1995,18.38888888888889
United Arab Emirates,Dubai,1,10,1995,18.666666666666664
United Arab Emirates,Dubai,1,11,1995,19.61111111111111
United Arab Emirates,Dubai,1,12,1995,20.11111111111111
United Arab Emirates,Dubai,1,13,1995,20.500000000000004
United Arab Emirates,Dubai,1,14,1995,19.388888888888893
United Arab Emirates,Dubai,1,15,1995,19.77777777777777
United Arab Emirates,Dubai,1,16,1995,20.11111111111111
United Arab Emirates,Dubai,1,17,1995,20.72222222222222
United Arab Emirates,Dubai,1,18,1995,21.11111111111111
United Arab Emirates,Dubai,1,19,1995,21.11111111111111
United Arab Emirates,Dubai,1,20,1995,20.38888888888889
United Arab Emirates,Dubai,1,21,1995,19.27777777777778
United Arab Emirates,Dubai,1,22,1995,18.61111111111111
United Arab Emirates,Dubai,1,23,1995,18.77777777777778
United Arab Emirates,Dubai,1,24,1995,18.22222222222222
United Arab Emirates,Dubai,1,25,1995,19.444444444444443
United Arab Emirates,Dubai,1,26,1995,20.222222222222225
United Arab Emirates,Dubai,1,27,1995,18.33333333333333
United Arab Emirates,Dubai,1,28,1995,18.38888888888889
United Arab Emirates,Dubai,1,29,1995,18.22222222222222
United Arab Emirates,Dubai,1,30,1995,18.000000000000004
United Arab Emirates,Dubai,1,31,1995,18.33333333333333
United Arab Emirates,Dubai,2,1,1995,19.166666666666668
United Arab Emirates,Dubai,2,2,1995,19.88888888888889
United Arab Emirates,Dubai,2,3,1995,19.83333333333333
United Arab Emirates,Dubai,2,4,1995,23.000000000000004
United Arab Emirates,Dubai,2,5,1995,25.27777777777778
United Arab Emirates,Dubai,2,6,1995,24.66666666666667
United Arab Emirates,Dubai,2,7,1995,25.055555555555557
United Arab Emirates,Dubai,2,8,1995,24.444444444444443
United Arab Emirates,Dubai,2,9,1995,22.33333333333333
United Arab Emirates,Dubai,2,10,1995,20.444444444444443
United Arab Emirates,Dubai,2,11,1995,19.55555555555556
United Arab Emirates,Dubai,2,12,1995,17.77777777777778
United Arab Emirates,Dubai,2,13,1995,18.61111111111111
United Arab Emirates,Dubai,2,14,1995,18.833333333333336
United Arab Emirates,Dubai,2,15,1995,20.611111111111107
United Arab Emirates,Dubai,2,16,1995,20.666666666666668
United Arab Emirates,Dubai,2,17,1995,19.5
United Arab Emirates,Dubai,2,18,1995,19.72222222222222
United Arab Emirates,Dubai,2,19,1995,21.55555555555556
United Arab Emirates,Dubai,2,20,1995,17.5
United Arab Emirates,Dubai,2,21,1995,18.55555555555556
United Arab Emirates,Dubai,2,22,1995,19.111111111111114
United Arab Emirates,Dubai,2,23,1995,22.27777777777777
United Arab Emirates,Dubai,2,24,1995,20.72222222222222
United Arab Emirates,Dubai,2,25,1995,20.11111111111111
United Arab Emirates,Dubai,2,26,1995,20.11111111111111
United Arab Emirates,Dubai,2,27,1995,20.88888888888889
United Arab Emirates,Dubai,2,28,1995,20.611111111111107
United Arab Emirates,Dubai,3,1,1995,19.77777777777777
United Arab Emirates,Dubai,3,2,1995,21.27777777777778
United Arab Emirates,Dubai,3,3,1995,20.38888888888889
United Arab Emirates,Dubai,3,4,1995,21.444444444444443
United Arab Emirates,Dubai,3,5,1995,20.83333333333333
United Arab Emirates,Dubai,3,6,1995,21.22222222222222
United Arab Emirates,Dubai,3,7,1995,21.0
United Arab Emirates,Dubai,3,8,1995,20.88888888888889
United Arab Emirates,Dubai,3,9,1995,21.05555555555556
United Arab Emirates,Dubai,3,10,1995,20.944444444444443
United Arab Emirates,Dubai,3,11,1995,22.944444444444443
United Arab Emirates,Dubai,3,12,1995,18.944444444444443
United Arab Emirates,Dubai,3,13,1995,18.61111111111111
United Arab Emirates,Dubai,3,14,1995,18.61111111111111
United Arab Emirates,Dubai,3,15,1995,19.66666666666667
United Arab Emirates,Dubai,3,16,1995,20.0
United Arab Emirates,Dubai,3,17,1995,22.38888888888889
United Arab Emirates,Dubai,3,18,1995,24.388888888888893
United Arab Emirates,Dubai,3,19,1995,24.83333333333333
United Arab Emirates,Dubai,3,20,1995,24.388888888888893
United Arab Emirates,Dubai,3,21,1995,23.77777777777778
United Arab Emirates,Dubai,3,22,1995,22.77777777777778
United Arab Emirates,Dubai,3,23,1995,22.33333333333333
United Arab Emirates,Dubai,3,24,1995,22.666666666666668
United Arab Emirates,Dubai,3,25,1995,22.83333333333333
United Arab Emirates,Dubai,3,26,1995,23.55555555555556
United Arab Emirates,Dubai,3,27,1995,22.61111111111111
United Arab Emirates,Dubai,3,28,1995,21.166666666666664
United Arab Emirates,Dubai,3,29,1995,21.166666666666664
United Arab Emirates,Dubai,3,30,1995,20.83333333333333
United Arab Emirates,Dubai,3,31,1995,21.166666666666664
United Arab Emirates,Dubai,4,1,1995,22.05555555555556
United Arab Emirates,Dubai,4,2,1995,22.944444444444443
United Arab Emirates,Dubai,4,3,1995,26.27777777777778
United Arab Emirates,Dubai,4,4,1995,26.22222222222222
United Arab Emirates,Dubai,4,5,1995,26.666666666666668
United Arab Emirates,Dubai,4,6,1995,23.5
United Arab Emirates,Dubai,4,7,1995,22.33333333333333
United Arab Emirates,Dubai,4,8,1995,21.11111111111111
United Arab Emirates,Dubai,4,9,1995,21.5
United Arab Emirates,Dubai,4,10,1995,22.5
United Arab Emirates,Dubai,4,11,1995,26.83333333333333
United Arab Emirates,Dubai,4,12,1995,26.722222222222214
United Arab Emirates,Dubai,4,13,1995,27.38888888888889
United Arab Emirates,Dubai,4,14,1995,26.11111111111111
United Arab Emirates,Dubai,4,15,1995,26.38888888888889
United Arab Emirates,Dubai,4,16,1995,26.166666666666664
United Arab Emirates,Dubai,4,17,1995,23.166666666666668
United Arab Emirates,Dubai,4,18,1995,25.611111111111107
United Arab Emirates,Dubai,4,19,1995,29.61111111111111
United Arab Emirates,Dubai,4,20,1995,30.33333333333333
United Arab Emirates,Dubai,4,21,1995,30.83333333333333
United Arab Emirates,Dubai,4,22,1995,30.61111111111111
United Arab Emirates,Dubai,4,23,1995,29.83333333333333
United Arab Emirates,Dubai,4,24,1995,26.22222222222222
United Arab Emirates,Dubai,4,25,1995,24.55555555555556
United Arab Emirates,Dubai,4,26,1995,24.166666666666668
United Arab Emirates,Dubai,4,27,1995,25.27777777777778
United Arab Emirates,Dubai,4,28,1995,26.27777777777778
United Arab Emirates,Dubai,4,29,1995,27.722222222222225
United Arab Emirates,Dubai,4,30,1995,26.83333333333333
United Arab Emirates,Dubai,5,1,1995,25.55555555555556
United Arab Emirates,Dubai,5,2,1995,27.22222222222222
United Arab Emirates,Dubai,5,3,1995,28.111111111111107
United Arab Emirates,Dubai,5,4,1995,29.77777777777778
United Arab Emirates,Dubai,5,5,1995,28.33333333333333
United Arab Emirates,Dubai,5,6,1995,29.0
United Arab Emirates,Dubai,5,7,1995,30.33333333333333
United Arab Emirates,Dubai,5,8,1995,30.27777777777778
United Arab Emirates,Dubai,5,9,1995,30.61111111111111
United Arab Emirates,Dubai,5,10,1995,27.61111111111111
United Arab Emirates,Dubai,5,11,1995,26.333333333333336
United Arab Emirates,Dubai,5,12,1995,28.77777777777778
United Arab Emirates,Dubai,5,13,1995,31.5
United Arab Emirates,Dubai,5,14,1995,31.05555555555556
United Arab Emirates,Dubai,5,15,1995,28.166666666666668
United Arab Emirates,Dubai,5,16,1995,27.33333333333333
United Arab Emirates,Dubai,5,17,1995,27.88888888888889
United Arab Emirates,Dubai,5,18,1995,29.0
United Arab Emirates,Dubai,5,19,1995,30.33333333333333
United Arab Emirates,Dubai,5,20,1995,31.444444444444443
United Arab Emirates,Dubai,5,21,1995,31.444444444444443
United Arab Emirates,Dubai,5,22,1995,30.05555555555556
United Arab Emirates,Dubai,5,23,1995,29.88888888888889
United Arab Emirates,Dubai,5,24,1995,34.666666666666664
United Arab Emirates,Dubai,5,25,1995,34.77777777777778
United Arab Emirates,Dubai,5,26,1995,32.94444444444444
United Arab Emirates,Dubai,5,27,1995,32.666666666666664
United Arab Emirates,Dubai,5,28,1995,32.888888888888886
United Arab Emirates,Dubai,5,29,1995,33.333333333333336
United Arab Emirates,Dubai,5,30,1995,31.444444444444443
United Arab Emirates,Dubai,5,31,1995,31.72222222222222
United Arab Emirates,Dubai,6,1,1995,31.72222222222222
United Arab Emirates,Dubai,6,2,1995,32.05555555555556
United Arab Emirates,Dubai,6,3,1995,33.166666666666664
United Arab Emirates,Dubai,6,4,1995,34.166666666666664
United Arab Emirates,Dubai,6,5,1995,31.55555555555556
United Arab Emirates,Dubai,6,6,1995,30.27777777777778
United Arab Emirates,Dubai,6,7,1995,30.38888888888889
United Arab Emirates,Dubai,6,8,1995,31.444444444444443
United Arab Emirates,Dubai,6,9,1995,31.38888888888889
United Arab Emirates,Dubai,6,10,1995,33.111111111111114
United Arab Emirates,Dubai,6,11,1995,32.888888888888886
United Arab Emirates,Dubai,6,12,1995,31.944444444444443
United Arab Emirates,Dubai,6,13,1995,31.88888888888889
United Arab Emirates,Dubai,6,14,1995,31.22222222222222
United Arab Emirates,Dubai,6,15,1995,31.444444444444443
United Arab Emirates,Dubai,6,16,1995,30.88888888888889
United Arab Emirates,Dubai,6,17,1995,30.61111111111111
United Arab Emirates,Dubai,6,18,1995,30.83333333333333
United Arab Emirates,Dubai,6,19,1995,32.27777777777778
United Arab Emirates,Dubai,6,20,1995,33.05555555555556
United Arab Emirates,Dubai,6,21,1995,36.0
United Arab Emirates,Dubai,6,22,1995,35.44444444444444
United Arab Emirates,Dubai,6,23,1995,33.666666666666664
United Arab Emirates,Dubai,6,24,1995,30.944444444444443
United Arab Emirates,Dubai,6,25,1995,31.55555555555556
United Arab Emirates,Dubai,6,26,1995,32.05555555555556
United Arab Emirates,Dubai,6,27,1995,31.61111111111111
United Arab Emirates,Dubai,6,28,1995,33.166666666666664
United Arab Emirates,Dubai,6,29,1995,32.888888888888886
United Arab Emirates,Dubai,6,30,1995,31.88888888888889
United Arab Emirates,Dubai,7,1,1995,32.0
United Arab Emirates,Dubai,7,2,1995,32.166666666666664
United Arab Emirates,Dubai,7,3,1995,32.22222222222222
United Arab Emirates,Dubai,7,4,1995,35.22222222222222
United Arab Emirates,Dubai,7,5,1995,34.05555555555556
United Arab Emirates,Dubai,7,6,1995,33.22222222222222
United Arab Emirates,Dubai,7,7,1995,32.94444444444444
United Arab Emirates,Dubai,7,8,1995,32.27777777777778
United Arab Emirates,Dubai,7,9,1995,33.44444444444444
United Arab Emirates,Dubai,7,10,1995,33.333333333333336
United Arab Emirates,Dubai,7,11,1995,33.111111111111114
United Arab Emirates,Dubai,7,12,1995,33.05555555555556
United Arab Emirates,Dubai,7,13,1995,33.111111111111114
United Arab Emirates,Dubai,7,14,1995,33.22222222222222
United Arab Emirates,Dubai,7,15,1995,32.44444444444444
United Arab Emirates,Dubai,7,16,1995,32.166666666666664
United Arab Emirates,Dubai,7,17,1995,32.666666666666664
United Arab Emirates,Dubai,7,18,1995,32.44444444444444
United Arab Emirates,Dubai,7,19,1995,32.72222222222222
United Arab Emirates,Dubai,7,20,1995,33.166666666666664
United Arab Emirates,Dubai,7,21,1995,34.833333333333336
United Arab Emirates,Dubai,7,22,1995,30.5
United Arab Emirates,Dubai,7,23,1995,28.111111111111107
United Arab Emirates,Dubai,7,24,1995,29.444444444444443
United Arab Emirates,Dubai,7,25,1995,33.111111111111114
United Arab Emirates,Dubai,7,26,1995,34.388888888888886
United Arab Emirates,Dubai,7,27,1995,33.5
United Arab Emirates,Dubai,7,28,1995,34.388888888888886
United Arab Emirates,Dubai,7,29,1995,34.55555555555556
United Arab Emirates,Dubai,7,30,1995,36.16666666666666
United Arab Emirates,Dubai,7,31,1995,35.166666666666664
United Arab Emirates,Dubai,8,1,1995,36.388888888888886
United Arab Emirates,Dubai,8,2,1995,36.16666666666666
United Arab Emirates,Dubai,8,3,1995,35.111111111111114
United Arab Emirates,Dubai,8,4,1995,36.77777777777778
United Arab Emirates,Dubai,8,5,1995,38.72222222222222
United Arab Emirates,Dubai,8,6,1995,36.94444444444444
United Arab Emirates,Dubai,8,7,1995,35.833333333333336
United Arab Emirates,Dubai,8,8,1995,33.388888888888886
United Arab Emirates,Dubai,8,9,1995,36.0
United Arab Emirates,Dubai,8,10,1995,36.66666666666666
United Arab Emirates,Dubai,8,11,1995,35.666666666666664
United Arab Emirates,Dubai,8,12,1995,35.0
United Arab Emirates,Dubai,8,13,1995,35.333333333333336
United Arab Emirates,Dubai,8,14,1995,34.05555555555556
United Arab Emirates,Dubai,8,15,1995,35.77777777777778
United Arab Emirates,Dubai,8,16,1995,37.888888888888886
United Arab Emirates,Dubai,8,17,1995,37.05555555555556
United Arab Emirates,Dubai,8,18,1995,35.72222222222222
United Arab Emirates,Dubai,8,19,1995,34.77777777777778
United Arab Emirates,Dubai,8,20,1995,34.72222222222222
United Arab Emirates,Dubai,8,21,1995,32.55555555555556
United Arab Emirates,Dubai,8,22,1995,35.22222222222222
United Arab Emirates,Dubai,8,23,1995,35.27777777777778
United Arab Emirates,Dubai,8,24,1995,33.666666666666664
United Arab Emirates,Dubai,8,25,1995,33.94444444444444
United Arab Emirates,Dubai,8,26,1995,33.666666666666664
United Arab Emirates,Dubai,8,27,1995,34.166666666666664
United Arab Emirates,Dubai,8,28,1995,34.94444444444444
United Arab Emirates,Dubai,8,29,1995,34.72222222222222
United Arab Emirates,Dubai,8,30,1995,35.0
United Arab Emirates,Dubai,8,31,1995,33.666666666666664
United Arab Emirates,Dubai,9,1,1995,33.27777777777778
United Arab Emirates,Dubai,9,2,1995,34.05555555555556
United Arab Emirates,Dubai,9,3,1995,34.22222222222222
United Arab Emirates,Dubai,9,4,1995,33.44444444444444
United Arab Emirates,Dubai,9,5,1995,33.05555555555556
United Arab Emirates,Dubai,9,6,1995,32.0
United Arab Emirates,Dubai,9,7,1995,32.111111111111114
United Arab Emirates,Dubai,9,8,1995,32.44444444444444
United Arab Emirates,Dubai,9,9,1995,33.5
United Arab Emirates,Dubai,9,10,1995,32.55555555555556
United Arab Emirates,Dubai,9,11,1995,31.72222222222222
