Country,City,Month,Day,Year,AvgTemperature
Vietnam,Hanoi,1,1,1995,14.666666666666666
Vietnam,Hanoi,1,2,1995,12.555555555555555
Vietnam,Hanoi,1,3,1995,11.72222222222222
Vietnam,Hanoi,1,4,1995,14.61111111111111
Vietnam,Hanoi,1,5,1995,14.666666666666666
Vietnam,Hanoi,1,6,1995,14.38888888888889
Vietnam,Hanoi,1,7,1995,16.555555555555557
Vietnam,Hanoi,1,8,1995,17.444444444444443
Vietnam,Hanoi,1,9,1995,18.72222222222222
Vietnam,Hanoi,1,10,1995,20.611111111111107
Vietnam,Hanoi,1,11,1995,20.611111111111107
Vietnam,Hanoi,1,12,1995,14.555555555555555
Vietnam,Hanoi,1,13,1995,14.22222222222222
Vietnam,Hanoi,1,14,1995,13.38888888888889
Vietnam,Hanoi,1,15,1995,13.944444444444445
Vietnam,Hanoi,1,16,1995,15.11111111111111
Vietnam,Hanoi,1,17,1995,16.166666666666668
Vietnam,Hanoi,1,18,1995,18.5
Vietnam,Hanoi,1,19,1995,20.777777777777786
Vietnam,Hanoi,1,20,1995,20.83333333333333
Vietnam,Hanoi,1,21,1995,22.11111111111111
Vietnam,Hanoi,1,22,1995,22.77777777777778
Vietnam,Hanoi,1,23,1995,15.72222222222222
Vietnam,Hanoi,1,24,1995,11.77777777777778
Vietnam,Hanoi,1,25,1995,11.444444444444445
Vietnam,Hanoi,1,26,1995,12.22222222222222
Vietnam,Hanoi,1,27,1995,12.611111111111112
Vietnam,Hanoi,1,28,1995,14.166666666666666
Vietnam,Hanoi,1,29,1995,13.666666666666666
Vietnam,Hanoi,1,30,1995,11.833333333333332
Vietnam,Hanoi,1,31,1995,12.111111111111107
Vietnam,Hanoi,2,1,1995,11.444444444444445
Vietnam,Hanoi,2,2,1995,13.22222222222222
Vietnam,Hanoi,2,3,1995,13.444444444444446
Vietnam,Hanoi,2,4,1995,13.777777777777777
Vietnam,Hanoi,2,5,1995,14.11111111111111
Vietnam,Hanoi,2,6,1995,14.61111111111111
Vietnam,Hanoi,2,7,1995,14.555555555555555
Vietnam,Hanoi,2,8,1995,15.88888888888889
Vietnam,Hanoi,2,9,1995,17.22222222222222
Vietnam,Hanoi,2,10,1995,18.88888888888889
Vietnam,Hanoi,2,11,1995,19.944444444444446
Vietnam,Hanoi,2,12,1995,20.0
Vietnam,Hanoi,2,13,1995,21.22222222222222
