Country,City,Month,Day,Year,AvgTemperature
Zambia,Lusaka,1,1,1995,23.000000000000004
Zambia,Lusaka,1,2,1995,21.333333333333336
Zambia,Lusaka,1,3,1995,22.61111111111111
Zambia,Lusaka,1,4,1995,24.61111111111111
Zambia,Lusaka,1,5,1995,24.88888888888889
Zambia,Lusaka,1,6,1995,23.833333333333336
Zambia,Lusaka,1,7,1995,24.55555555555556
Zambia,Lusaka,1,8,1995,25.55555555555556
Zambia,Lusaka,1,9,1995,25.33333333333333
Zambia,Lusaka,1,10,1995,25.055555555555557
Zambia,Lusaka,1,11,1995,22.27777777777777
Zambia,Lusaka,1,12,1995,24.77777777777777
Zambia,Lusaka,1,13,1995,22.11111111111111
Zambia,Lusaka,1,14,1995,22.11111111111111
Zambia,Lusaka,1,15,1995,22.666666666666668
Zambia,Lusaka,1,16,1995,22.27777777777777
Zambia,Lusaka,1,17,1995,22.16666666666667
Zambia,Lusaka,1,18,1995,23.72222222222222
Zambia,Lusaka,1,19,1995,21.666666666666668
Zambia,Lusaka,1,20,1995,23.833333333333336
Zambia,Lusaka,1,21,1995,23.61111111111111
Zambia,Lusaka,1,22,1995,21.55555555555556
Zambia,Lusaka,1,23,1995,24.944444444444446
Zambia,Lusaka,1,24,1995,24.944444444444446
Zambia,Lusaka,1,25,1995,24.33333333333333
Zambia,Lusaka,1,26,1995,21.05555555555556
Zambia,Lusaka,1,27,1995,25.0
Zambia,Lusaka,1,28,1995,21.166666666666664
Zambia,Lusaka,1,29,1995,22.5
Zambia,Lusaka,1,30,1995,24.61111111111111
Zambia,Lusaka,1,31,1995,26.5
Zambia,Lusaka,2,1,1995,24.66666666666667
Zambia,Lusaka,2,2,1995,26.166666666666664
Zambia,Lusaka,2,3,1995,23.111111111111107
Zambia,Lusaka,2,4,1995,24.72222222222222
Zambia,Lusaka,2,5,1995,24.61111111111111
Zambia,Lusaka,2,6,1995,24.388888888888893
Zambia,Lusaka,2,7,1995,22.5
Zambia,Lusaka,2,8,1995,21.38888888888889
Zambia,Lusaka,2,9,1995,22.0
Zambia,Lusaka,2,10,1995,22.27777777777777
Zambia,Lusaka,2,11,1995,21.333333333333336
Zambia,Lusaka,2,12,1995,22.05555555555556
Zambia,Lusaka,2,13,1995,21.888888888888893
Zambia,Lusaka,2,14,1995,23.444444444444443
Zambia,Lusaka,2,15,1995,25.0
Zambia,Lusaka,2,16,1995,23.22222222222222
Zambia,Lusaka,2,17,1995,23.444444444444443
Zambia,Lusaka,2,18,1995,20.72222222222222
Zambia,Lusaka,2,19,1995,-72.77777777777777
Zambia,Lusaka,2,20,1995,23.666666666666664
Zambia,Lusaka,2,21,1995,22.666666666666668
Zambia,Lusaka,2,22,1995,21.888888888888893
Zambia,Lusaka,2,23,1995,20.83333333333333
Zambia,Lusaka,2,24,1995,23.22222222222222
Zambia,Lusaka,2,25,1995,21.444444444444443
Zambia,Lusaka,2,26,1995,-72.77777777777777
Zambia,Lusaka,2,27,1995,23.61111111111111
Zambia,Lusaka,2,28,1995,23.166666666666668
Zambia,Lusaka,3,1,1995,21.83333333333333
Zambia,Lusaka,3,2,1995,23.5
Zambia,Lusaka,3,3,1995,20.611111111111107
Zambia,Lusaka,3,4,1995,22.666666666666668
Zambia,Lusaka,3,5,1995,22.722222222222225
Zambia,Lusaka,3,6,1995,22.05555555555556
Zambia,Lusaka,3,7,1995,22.5
Zambia,Lusaka,3,8,1995,24.0
Zambia,Lusaka,3,9,1995,24.166666666666668
Zambia,Lusaka,3,10,1995,23.277777777777786
Zambia,Lusaka,3,11,1995,23.444444444444443
Zambia,Lusaka,3,12,1995,25.166666666666668
Zambia,Lusaka,3,13,1995,24.05555555555556
Zambia,Lusaka,3,14,1995,24.0
Zambia,Lusaka,3,15,1995,23.55555555555556
Zambia,Lusaka,3,16,1995,22.0
Zambia,Lusaka,3,17,1995,22.83333333333333
Zambia,Lusaka,3,18,1995,25.222222222222225
Zambia,Lusaka,3,19,1995,26.722222222222214
Zambia,Lusaka,3,20,1995,26.22222222222222
Zambia,Lusaka,3,21,1995,27.16666666666667
Zambia,Lusaka,3,22,1995,24.5
Zambia,Lusaka,3,23,1995,23.61111111111111
Zambia,Lusaka,3,24,1995,22.38888888888889
Zambia,Lusaka,3,25,1995,23.166666666666668
Zambia,Lusaka,3,26,1995,23.166666666666668
Zambia,Lusaka,3,27,1995,23.444444444444443
Zambia,Lusaka,3,28,1995,24.5
Zambia,Lusaka,3,29,1995,22.77777777777778
Zambia,Lusaka,3,30,1995,23.77777777777778
Zambia,Lusaka,3,31,1995,25.166666666666668
Zambia,Lusaka,4,1,1995,25.72222222222222
Zambia,Lusaka,4,2,1995,20.55555555555556
Zambia,Lusaka,4,3,1995,23.22222222222222
Zambia,Lusaka,4,4,1995,22.5
Zambia,Lusaka,4,5,1995,22.555555555555557
Zambia,Lusaka,4,6,1995,21.666666666666668
Zambia,Lusaka,4,7,1995,20.27777777777778
Zambia,Lusaka,4,8,1995,20.222222222222225
Zambia,Lusaka,4,9,1995,20.055555555555557
Zambia,Lusaka,4,10,1995,24.166666666666668
Zambia,Lusaka,4,11,1995,19.66666666666667
Zambia,Lusaka,4,12,1995,18.55555555555556
Zambia,Lusaka,4,13,1995,18.72222222222222
Zambia,Lusaka,4,14,1995,20.72222222222222
Zambia,Lusaka,4,15,1995,24.27777777777778
Zambia,Lusaka,4,16,1995,23.88888888888889
Zambia,Lusaka,4,17,1995,21.888888888888893
Zambia,Lusaka,4,18,1995,18.833333333333336
Zambia,Lusaka,4,19,1995,21.666666666666668
Zambia,Lusaka,4,20,1995,23.277777777777786
Zambia,Lusaka,4,21,1995,25.500000000000004
Zambia,Lusaka,4,22,1995,23.55555555555556
Zambia,Lusaka,4,23,1995,26.666666666666668
Zambia,Lusaka,4,24,1995,24.222222222222214
Zambia,Lusaka,4,25,1995,24.55555555555556
Zambia,Lusaka,4,26,1995,-72.77777777777777
Zambia,Lusaka,4,27,1995,28.88888888888889
Zambia,Lusaka,4,28,1995,-72.77777777777777
Zambia,Lusaka,4,29,1995,24.33333333333333
Zambia,Lusaka,4,30,1995,24.5
Zambia,Lusaka,5,1,1995,22.27777777777777
Zambia,Lusaka,5,2,1995,19.166666666666668
Zambia,Lusaka,5,3,1995,22.16666666666667
Zambia,Lusaka,5,4,1995,24.111111111111114
Zambia,Lusaka,5,5,1995,19.61111111111111
Zambia,Lusaka,5,6,1995,24.5
Zambia,Lusaka,5,7,1995,26.5
Zambia,Lusaka,5,8,1995,25.83333333333333
Zambia,Lusaka,5,9,1995,22.444444444444446
Zambia,Lusaka,5,10,1995,20.83333333333333
Zambia,Lusaka,5,11,1995,20.83333333333333
Zambia,Lusaka,5,12,1995,21.0
Zambia,Lusaka,5,13,1995,21.611111111111114
Zambia,Lusaka,5,14,1995,17.944444444444443
Zambia,Lusaka,5,15,1995,19.27777777777778
Zambia,Lusaka,5,16,1995,20.166666666666668
Zambia,Lusaka,5,17,1995,19.388888888888893
Zambia,Lusaka,5,18,1995,17.666666666666668
Zambia,Lusaka,5,19,1995,20.166666666666668
Zambia,Lusaka,5,20,1995,22.33333333333333
Zambia,Lusaka,5,21,1995,22.5
Zambia,Lusaka,5,22,1995,24.111111111111114
Zambia,Lusaka,5,23,1995,25.27777777777778
Zambia,Lusaka,5,24,1995,20.777777777777786
Zambia,Lusaka,5,25,1995,18.33333333333333
Zambia,Lusaka,5,26,1995,20.0
Zambia,Lusaka,5,27,1995,15.944444444444445
Zambia,Lusaka,5,28,1995,18.277777777777786
Zambia,Lusaka,5,29,1995,17.333333333333332
Zambia,Lusaka,5,30,1995,19.944444444444446
Zambia,Lusaka,5,31,1995,-72.77777777777777
Zambia,Lusaka,6,1,1995,19.55555555555556
Zambia,Lusaka,6,2,1995,-72.77777777777777
Zambia,Lusaka,6,3,1995,16.555555555555557
Zambia,Lusaka,6,4,1995,15.666666666666666
Zambia,Lusaka,6,5,1995,17.944444444444443
Zambia,Lusaka,6,6,1995,18.111111111111107
Zambia,Lusaka,6,7,1995,19.66666666666667
Zambia,Lusaka,6,8,1995,16.88888888888889
Zambia,Lusaka,6,9,1995,16.0
Zambia,Lusaka,6,10,1995,16.5
Zambia,Lusaka,6,11,1995,17.5
Zambia,Lusaka,6,12,1995,16.38888888888889
Zambia,Lusaka,6,13,1995,19.88888888888889
Zambia,Lusaka,6,14,1995,14.555555555555555
Zambia,Lusaka,6,15,1995,18.22222222222222
Zambia,Lusaka,6,16,1995,20.72222222222222
Zambia,Lusaka,6,17,1995,18.944444444444443
Zambia,Lusaka,6,18,1995,15.77777777777778
Zambia,Lusaka,6,19,1995,15.444444444444445
Zambia,Lusaka,6,20,1995,17.27777777777778
Zambia,Lusaka,6,21,1995,14.666666666666666
Zambia,Lusaka,6,22,1995,17.555555555555557
Zambia,Lusaka,6,23,1995,17.77777777777778
Zambia,Lusaka,6,24,1995,19.33333333333333
Zambia,Lusaka,6,25,1995,17.83333333333333
Zambia,Lusaka,6,26,1995,17.38888888888889
Zambia,Lusaka,6,27,1995,16.77777777777778
Zambia,Lusaka,6,28,1995,12.22222222222222
Zambia,Lusaka,6,29,1995,-72.77777777777777
Zambia,Lusaka,6,30,1995,19.66666666666667
Zambia,Lusaka,7,1,1995,19.444444444444443
Zambia,Lusaka,7,2,1995,10.27777777777778
Zambia,Lusaka,7,3,1995,19.27777777777778
Zambia,Lusaka,7,4,1995,18.55555555555556
Zambia,Lusaka,7,5,1995,16.0
Zambia,Lusaka,7,6,1995,18.444444444444443
Zambia,Lusaka,7,7,1995,16.27777777777778
Zambia,Lusaka,7,8,1995,18.833333333333336
Zambia,Lusaka,7,9,1995,16.11111111111111
Zambia,Lusaka,7,10,1995,18.55555555555556
Zambia,Lusaka,7,11,1995,19.77777777777777
Zambia,Lusaka,7,12,1995,18.22222222222222
Zambia,Lusaka,7,13,1995,18.833333333333336
Zambia,Lusaka,7,14,1995,17.555555555555557
Zambia,Lusaka,7,15,1995,15.88888888888889
Zambia,Lusaka,7,16,1995,15.88888888888889
Zambia,Lusaka,7,17,1995,17.944444444444443
Zambia,Lusaka,7,18,1995,18.61111111111111
Zambia,Lusaka,7,19,1995,17.27777777777778
Zambia,Lusaka,7,20,1995,16.444444444444443
Zambia,Lusaka,7,21,1995,15.77777777777778
Zambia,Lusaka,7,22,1995,23.38888888888889
Zambia,Lusaka,7,23,1995,20.88888888888889
Zambia,Lusaka,7,24,1995,19.111111111111114
Zambia,Lusaka,7,25,1995,18.61111111111111
Zambia,Lusaka,7,26,1995,19.444444444444443
Zambia,Lusaka,7,27,1995,19.61111111111111
Zambia,Lusaka,7,28,1995,21.333333333333336
Zambia,Lusaka,7,29,1995,19.77777777777777
Zambia,Lusaka,7,30,1995,20.222222222222225
Zambia,Lusaka,7,31,1995,21.333333333333336
Zambia,Lusaka,8,1,1995,22.88888888888889
Zambia,Lusaka,8,2,1995,19.05555555555556
Zambia,Lusaka,8,3,1995,19.444444444444443
Zambia,Lusaka,8,4,1995,20.33333333333333
Zambia,Lusaka,8,5,1995,22.5
Zambia,Lusaka,8,6,1995,23.38888888888889
Zambia,Lusaka,8,7,1995,24.27777777777778
Zambia,Lusaka,8,8,1995,17.61111111111111
Zambia,Lusaka,8,9,1995,18.944444444444443
Zambia,Lusaka,8,10,1995,22.444444444444446
Zambia,Lusaka,8,11,1995,22.722222222222225
Zambia,Lusaka,8,12,1995,19.5
Zambia,Lusaka,8,13,1995,18.000000000000004
Zambia,Lusaka,8,14,1995,19.0
Zambia,Lusaka,8,15,1995,18.33333333333333
Zambia,Lusaka,8,16,1995,20.777777777777786
